Starting Key,Perfect Mix,-1 Mix,+1 Mix,Energy Boost,Scale Change,Diagonal Mix,Jaw's Mix,Mood Shifter
1A,1A,12A,2A,3A,1B,12B,8A,4B
2A,2A,1A,3A,4A,2B,1B,9A,5B
3A,3A,2A,4A,5A,3B,2B,10A,6B
4A,4A,3A,5A,6A,4B,3B,11A,7B
5A,5A,4A,6A,7A,5B,4B,12A,8B
6A,6A,5A,7A,8A,6B,5B,1A,9B
7A,7A,6A,8A,9A,7B,6B,2A,10B
8A,8A,7A,9A,10A,8B,7B,3A,11B
9A,9A,8A,10A,11A,9B,8B,4A,12B
10A,10A,9A,11A,12A,10B,9B,5A,1B
11A,11A,10A,12A,1A,11B,10B,6A,2B
12A,12A,11A,1A,2A,12B,11B,7A,3B
1B,1B,12B,2B,3B,1A,2A,8B,10A
2B,2B,1B,3B,4B,2A,3A,9B,11A
3B,3B,2B,4B,5B,3A,4A,10B,12A
4B,4B,3B,5B,6B,4A,5A,11B,1A
5B,5B,4B,6B,7B,5A,6A,12B,2A
6B,6B,5B,7B,8B,6A,7A,1B,3A
7B,7B,6B,8B,9B,7A,8A,2B,4A
8B,8B,7B,9B,10B,8A,9A,3B,5A
9B,9B,8B,10B,11B,9A,10A,4B,6A
10B,10B,9B,11B,12B,10A,11A,5B,7A
11B,11B,10B,12B,1B,11A,12A,6B,8A
12B,12B,11B,1B,2B,12A,1A,7B,9A
