#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Squonk - Live in Paris","Genesis",89,11B,54,2026-07-19,06:36,38,"progressive rock, art rock","Seconds Out (Live)",1977-10-21,44,11,0,14,0,80,-12,A Major,4,5k9PWIkHRCKtWYeHWIWmSh,USAT20621367,no
2,"The Carpet Crawlers - Live in Paris","Genesis",65,10B,26,2026-07-19,05:20,42,"progressive rock, art rock","Seconds Out (Live)",1977-10-21,38,79,0,14,0,70,-19,D Major,4,6TJ8V3WLj10vqycYW2amLb,GBAAA9400517,no
3,"Robbery, Assault and Battery - Live in Paris","Genesis",133,4B,49,2026-07-19,06:03,35,"progressive rock, art rock","Seconds Out (Live)",1977-10-21,49,20,0,64,0,70,-16,G#/A♭ Major,4,3mFHLGEAH7MkXCIDEg1E3w,USAT20700587,no
4,"Afterglow - Live in Paris","Genesis",128,9B,35,2026-07-19,04:24,36,"progressive rock, art rock","Seconds Out (Live)",1977-10-21,29,1,0,17,0,90,-14,G Major,4,57ydzJ2LQRRN2NTxnVBpDr,USAT20700584,no
5,"Firth of Fifth - Live in Paris","Genesis",79,1B,48,2026-07-19,08:55,38,"progressive rock, art rock","Seconds Out (Live)",1977-10-21,26,9,10,28,0,80,-14,B Major,4,3EUgeab9fMgKoYbvxK2HUh,USAT20700585,no
6,"I Know What I Like (In Your Wardrobe) - Live in Paris","Genesis",86,10B,59,2026-07-19,08:41,36,"progressive rock, art rock","Seconds Out (Live)",1977-10-21,44,3,2,44,0,90,-16,D Major,4,4Q0G914Bvy1RNUl6y6ioBc,GBAAA9400519,no
7,"The Lamb Lies Down on Broadway - Live in Paris","Genesis",132,12B,51,2026-07-19,04:59,35,"progressive rock, art rock","Seconds Out (Live)",1977-10-21,36,48,1,26,0,30,-16,E Major,4,7qsxfQtjxW71omrFoDQLVM,USAT20700588,no
8,"The Musical Box (Closing Section) - Live in Paris","Genesis",134,1B,34,2026-07-19,03:19,35,"progressive rock, art rock","Seconds Out (Live)",1977-10-21,24,16,31,19,0,60,-15,B Major,4,1et9YdZy2tHz4ngfNvpMEE,GBAAA9400520,no
9,"Supper's Ready - Live in Paris","Genesis",141,9B,35,2026-07-19,24:32,37,"progressive rock, art rock","Seconds Out (Live)",1977-10-21,35,33,0,11,0,90,-14,G Major,4,7LlV2UxBOaIkkIdEsKfQPN,USAT20700589,no
10,"Cinema Show - Live in Paris","Genesis",145,10B,43,2026-07-19,10:58,35,"progressive rock, art rock","Seconds Out (Live)",1977-10-21,31,59,49,20,0,70,-13,D Major,4,3qBSU8X3uKARgBem2GHJlz,USAT20700586,no
11,"Dance on a Volcano - Live in Paris","Genesis",127,5B,52,2026-07-19,04:22,33,"progressive rock, art rock","Seconds Out (Live)",1977-10-21,35,5,2,59,0,30,-16,D#/E♭ Major,4,1h3kqAwEqF5Tk15dsy5gZ1,GBAAA9400521,no
12,"Los Endos - Live in Paris","Genesis",87,10B,76,2026-07-19,07:16,35,"progressive rock, art rock","Seconds Out (Live)",1977-10-21,29,1,50,22,0,80,-12,D Major,4,2nHKSoU1OHlEGy7uc3owB8,USAT20700590,no
13,"Dancing with the Moonlit Knight - 2007 Stereo Mix","Genesis",86,10B,54,2026-07-19,08:00,53,"progressive rock, art rock","Selling England by the Pound (2007 Stereo Mix)",1973-10-12,30,8,0,19,0,0,-10,D Major,4,1a1xoTlWpndO6azw57dKdJ,GBAAA0701757,no
14,"I Know What I Like (In Your Wardrobe) - 2007 Stereo Mix","Genesis",85,10B,82,2026-07-19,04:10,55,"progressive rock, art rock","Selling England by the Pound (2007 Stereo Mix)",1973-10-12,49,8,0,33,10,10,-9,D Major,4,31VLSfg86NJN74rUHQi7e8,GBAAA0701760,no
15,"Firth of Fifth - 2007 Stereo Mix","Genesis",86,1B,61,2026-07-19,09:30,56,"progressive rock, art rock","Selling England by the Pound (2007 Stereo Mix)",1973-10-12,27,2,9,30,0,10,-10,B Major,4,6UpMG6BDOd5xecMTu5r3sj,GBAAA0701761,no
16,"More Fool Me - 2007 Stereo Mix","Genesis",137,1A,13,2026-07-19,03:10,46,"progressive rock, art rock","Selling England by the Pound (2007 Stereo Mix)",1973-10-12,44,86,0,23,0,10,-12,G#/A♭ Minor,4,4EoKbid1MFccC0VCtO5ehz,GBAAA0701763,no
17,"The Battle of Epping Forest - 2007 Stereo Mix","Genesis",136,1B,66,2026-07-19,11:43,44,"progressive rock, art rock","Selling England by the Pound (2007 Stereo Mix)",1973-10-12,46,3,0,51,0,0,-10,B Major,1,0GSNE8polfFfxGWnyx4knV,GBAAA0701764,no
18,"After the Ordeal - 2007 Stereo Mix","Genesis",127,9B,41,2026-07-19,04:15,44,"progressive rock, art rock","Selling England by the Pound (2007 Stereo Mix)",1973-10-12,44,16,44,28,0,10,-11,G Major,4,61NCzmaWiG6eF5cbWvRiU8,GBAAA0701765,no
19,"The Cinema Show - 2007 Stereo Mix","Genesis",66,10B,67,2026-07-19,10:48,48,"progressive rock, art rock","Selling England by the Pound (2007 Stereo Mix)",1973-10-12,21,18,1,23,0,10,-9,D Major,3,5k10LV4157WEzdFmB97NQR,GBAAA0701766,no
20,"Aisle of Plenty - 2007 Stereo Mix","Genesis",122,12A,32,2026-07-19,01:58,43,"progressive rock, art rock","Selling England by the Pound (2007 Stereo Mix)",1973-10-12,41,54,0,66,0,10,-15,C♯/D♭ Minor,4,2a0HWU7HrAPfYmW0pUGMTJ,GBAAA0701767,no
21,"Invisible Touch - 2007 Remaster","Genesis",131,8B,93,2026-07-19,03:28,77,"progressive rock, art rock","Invisible Touch (2007 Remaster)",1986-06-09,62,19,0,85,0,10,-7,C Major,4,0xpBr84T3FTm9j4D1MdPtk,GBAAA0700779,no
22,"Tonight, Tonight, Tonight - 2007 Remaster","Genesis",98,9B,50,2026-07-19,08:50,61,"progressive rock, art rock","Invisible Touch (2007 Remaster)",1986-06-09,57,2,1,32,0,0,-14,G Major,4,3qmYlsTbC9CD9SGoVmaEDa,USAT21001804,no
23,"Land of Confusion - 2007 Remaster","Genesis",115,3B,93,2026-07-19,04:45,69,"progressive rock, art rock","Invisible Touch (2007 Remaster)",1986-06-09,61,2,0,67,0,30,-8,C♯/D♭ Major,4,6twIBPybEvGydyNzNz89FT,GBAAA0700780,no
