#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"P.Y.T. (Pretty Young Thing)","Michael Jackson",127,10A,67,2026-06-11,03:58,89,"","Thriller",1982-11-30,89,17,0,96,0,0,-9,B Minor,4,1CgmY8fVN7kstVDZmsdM5k,USSM19902993,no
2,"The Way You Make Me Feel - 2012 Remaster","Michael Jackson",114,3B,85,2026-06-11,04:58,79,"","Bad 25th Anniversary",2012-09-18,88,5,0,54,10,10,-5,C♯/D♭ Major,4,0sKlV58cODrjxGFOyf9IXY,USSM11204981,no
3,"They Don't Care About Us","Michael Jackson",90,5A,91,2026-06-11,04:44,92,"","HIStory - PAST, PRESENT AND FUTURE - BOOK I",1995-06-16,86,21,1,73,10,30,-6,C Minor,4,3wuCCNCnBhJlwkIJTBZFiv,USSM19500629,no
4,"You Rock My World","Michael Jackson",95,9A,71,2026-06-11,05:07,79,"","The Essential Michael Jackson",2005-07-19,82,3,0,94,10,0,-4,E Minor,4,3T59S3Vh3DOatsmTD8clqP,USSM10109858,no
5,"Dangerous - Immortal Version","Michael Jackson",113,8A,68,2026-06-11,02:41,53,"","Immortal",2011-11-21,94,4,0,40,10,10,-7,A Minor,4,72QXcbzrCVYnWav6Xtuvaw,USSM11105961,no
6,"Hollow (feat. Emma Louise)","Flume,Emma Louise",105,4A,58,2026-06-11,03:53,45,"future bass, ","Palaces",2022-05-20,53,7,0,50,10,20,-5,F Minor,4,5gmJlzd7GyggoqLedD7vKV,AUFF02200009,no
7,"Is It Real (feat. Ravyn Lenae)","Flume,JPEGMAFIA,Ravyn Lenae",151,8B,78,2026-06-11,02:49,44,"future bass, experimental hip hop, alternative hip hop, experimental, alternative r&b, indie soul","We Live In A Society",2025-05-02,45,2,1,47,10,30,-5,C Major,3,3tYxKs4D1Xqyt9xR8soVdr,US38Y2516905,no
8,"Drop The Game","Flume,Chet Faker",79,9B,67,2026-06-11,03:41,69,"future bass, ","Lockjaw",2013-11-22,56,59,0,43,0,10,-5,G Major,4,3wFFW1B6WAmAFGOwdEOOZR,AUFF01300488,no
9,"Kacey Talk","YoungBoy Never Broke Again",127,3A,61,2026-06-11,02:31,67,"","Top",2020-09-11,88,54,0,77,10,10,-8,A#/B♭ Minor,4,1SF8piqsZWn86DajVKih8F,USAT22005042,yes
10,"Love You","SiR",72,6B,46,2026-06-11,03:06,38,"alternative r&b, neo soul","Seven Sundays",2015-07-31,50,72,0,32,50,20,-15,A#/B♭ Major,4,7p8GWclbwHuUxwom7c1oRz,usdy41547764,no
