#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"I Know What I Like (In Your Wardrobe) - 2007 Stereo Mix","Genesis",85,10B,82,2026-07-15,04:10,55,"progressive rock, art rock","Selling England by the Pound (2007 Stereo Mix)",1973-10-12,49,8,0,33,10,10,-9,D Major,4,31VLSfg86NJN74rUHQi7e8,GBAAA0701760,no
2,"Cuckoo Cocoon - 2007 Stereo Mix","Genesis",82,9A,32,2026-07-15,02:12,38,"progressive rock, art rock","The Lamb Lies Down on Broadway (2007 Stereo Mix)",1974-11-18,31,97,0,21,0,10,-11,E Minor,4,7tN2IV0WjRFVgi9ybajwYQ,GBAAA0701779,no
3,"Let's Go Crazy","Prince",196,1B,93,2026-07-16,04:39,71,"funk rock, funk","Purple Rain",1984-06-25,31,2,0,38,10,10,-6,B Major,4,6FMIVQPZg9cmMY8hPxAacD,USWB19903188,no
4,"Beaches In Tennessee","Cage The Elephant",114,9A,91,2026-07-16,03:16,65,"","Beaches In Tennessee",2026-07-10,68,4,0,62,0,30,-3,E Minor,4,20TOJbuP4XyGBEFbwB8Vbm,USUG12605674,no
5,"Do I Ever Belong?","Two Feet",150,2B,59,2026-07-16,02:50,53,"","Do I Ever Belong?",2026-07-10,59,14,1,37,0,50,-7,F#/G♭ Major,4,7iy66dzNBRSu0DRj1ZThTa,QMBZ92668775,no
6,"If You Could Talk","Dexter and The Moonrocks",188,3A,62,2026-07-16,03:55,0,"","If You Could Talk",2026-07-15,58,9,0,54,0,0,-5,A#/B♭ Minor,4,6VeZUUTHx67EmtTM4682eA,USUG12606700,no
7,"Hospital Beds","Cold War Kids",96,11B,67,2026-07-16,04:39,49,"","Robbers & Cowards",2007-05-11,54,14,8,13,0,10,-5,A Major,4,4Zhnwb8jvP09aIRAzQMG08,USCJ80600051,no
8,"Staring at the Sun","Elderbrook,Rules",123,4B,74,2026-07-16,03:32,0,"deep house, stutter house","Staring at the Sun",2026-07-16,37,1,1,7,0,10,-8,G#/A♭ Major,4,2bqWo67hUC1mXH3HycjtOj,GBCFB2600413,no
9,"Lucky Dimes","The Temper Trap",84,9A,96,2026-07-16,03:28,45,"","Sungazer",2026-07-10,23,6,1,50,20,30,-3,E Minor,3,6nyXEkO61ijAnNJ77Bid5o,AULI02563610,no
10,"Into The Wild","The Temper Trap",118,1B,63,2026-07-16,03:41,43,"","Sungazer",2026-07-10,56,4,0,22,0,10,-4,B Major,4,0MO5nScLDab8HHZyvYh4Mr,AULI02565970,no
11,"These Arms","The Temper Trap",130,12A,74,2026-07-16,04:17,43,"","Sungazer",2026-07-10,53,0,16,23,0,0,-5,C♯/D♭ Minor,4,0qx9BUk40KSvaCA3rpUkCN,AULI02566700,no
12,"Bird on a Wire","The Temper Trap",172,4B,81,2026-07-16,04:32,43,"","Sungazer",2026-07-10,49,1,0,56,0,10,-3,G#/A♭ Major,4,4zYgyzWuDtd9P2fP54qeJ0,AULI02566710,yes
13,"Giving Up Air","The Temper Trap",126,5A,78,2026-07-16,04:47,43,"","Sungazer",2026-07-10,53,0,0,23,0,10,-6,C Minor,4,1hUgRKylrpLNBKjblt3ZW9,AULI02564220,no
14,"Sungazer","The Temper Trap",160,10A,71,2026-07-16,04:34,41,"","Sungazer",2026-07-10,43,5,0,21,0,0,-7,B Minor,4,6srwN44pQgxa8ifFKtHWLV,AULI02566460,no
15,"Lifeline","The Temper Trap",152,7A,67,2026-07-16,04:53,42,"","Sungazer",2026-07-10,50,1,0,27,0,0,-6,D Minor,4,1apm5UngnEDzAIk6NsWUWz,AULI02566720,no
16,"Runaways","The Temper Trap",126,6A,58,2026-07-16,04:19,55,"","Sungazer",2026-07-10,47,1,81,26,0,10,-7,G Minor,4,3fQLQSOhijzOC6W1NPhYle,AULI02566730,no
17,"Halfway","The Temper Trap",147,9B,78,2026-07-16,02:54,40,"","Sungazer",2026-07-10,55,0,1,34,0,10,-5,G Major,4,1Hss0zKxdrpCxIrK4AUAOF,AULI02566740,no
18,"Dystopia Radio","The Temper Trap",159,12A,98,2026-07-16,03:14,41,"","Sungazer",2026-07-10,43,0,0,42,0,10,-4,C♯/D♭ Minor,4,6AAqKzWTDyeITtZg0EsPs0,AULI02566750,no
19,"Kuru","The Temper Trap",129,3B,45,2026-07-16,05:25,38,"","Sungazer",2026-07-10,30,56,9,6,0,10,-8,C♯/D♭ Major,4,1Kssqm7IyY21qXKoei29ok,AULI02566760,no
20,"Call Your Mom","Noah Kahan",172,8B,22,2026-07-16,04:38,78,"","Stick Season (We'll All Be Here Forever)",2023-06-09,49,70,0,16,0,10,-12,C Major,4,3yn01PcU95PTbiZ3xvop2j,USUM72307686,no
21,"Tom Sawyer","Rush",88,11B,90,2026-07-16,04:36,75,"progressive rock, classic rock, hard rock, rock, aor","Moving Pictures (2011 Remaster)",1981-02-12,54,0,2,67,0,0,-7,A Major,4,3QZ7uX97s82HFYSmQUAN1D,USMR18180103,no
22,"Fly By Night","Rush",139,9B,70,2026-07-16,03:22,65,"progressive rock, classic rock, hard rock, rock, aor","Fly By Night",1975-02-15,50,9,0,58,0,0,-9,G Major,4,54TaGh2JKs1pO9daXNXI5q,USWWW0201912,no
23,"25 or 6 to 4","Chicago",148,9B,87,2026-07-16,04:53,51,"yacht rock, soft rock","Chicago IX: Chicago's Greatest Hits",1975-11-10,61,24,4,77,0,0,-10,G Major,4,65eRcjlStTnk8opG5eIQ8Z,USRH10904151,no
24,"Shine On You Crazy Diamond (Pts. 1-5)","Pink Floyd",138,6A,29,2026-07-16,13:32,75,"progressive rock, psychedelic rock, classic rock, art rock, rock","Wish You Were Here",1975-09-12,26,77,69,4,0,10,-12,G Minor,3,6pnwfWyaWjQiHCKTiZLItr,GBN9Y1100085,no
25,"Shine On You Crazy Diamond (Pts. 6-9)","Pink Floyd",136,6A,49,2026-07-16,12:23,65,"progressive rock, psychedelic rock, classic rock, art rock, rock","Wish You Were Here",1975-09-12,29,58,90,12,0,30,-13,G Minor,3,21j1PsCiTaO8ZW88UZrh3A,GBN9Y1100089,no
26,"Me and Bobby McGee","Janis Joplin",93,10B,46,2026-07-16,04:31,72,"classic rock, acid rock, psychedelic rock","Pearl (Legacy Edition)",1971-01-11,43,30,0,66,0,10,-11,D Major,4,1IqFh00G2kvvMm8pRMpehA,USSM17000790,no
27,"You're No Good","Linda Ronstadt",105,4B,52,2026-07-16,03:44,65,"country rock, mariachi","Heart Like A Wheel",1974-00-00,67,25,1,63,0,10,-10,G#/A♭ Major,4,23DZLSxCK6kM8FF2RlzKDl,USCA28500304,no
