#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Speak to Me","Pink Floyd",120,3B,2,2026-04-09,01:04,65,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Dark Side of the Moon",1973-03-01,59,36,84,3,0,10,-33,C♯/D♭ Major,4,574y1r7o2tRA009FW0LE7v,GBN9Y1100076,yes
2,"Breathe (In the Air)","Pink Floyd",128,10A,37,2026-04-09,02:49,81,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Dark Side of the Moon",1973-03-01,43,39,73,25,0,10,-15,B Minor,4,2ctvdKmETyOzPb2GiJJT53,GBN9Y1100077,no
3,"On the Run","Pink Floyd",165,11B,56,2026-04-09,03:36,66,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Dark Side of the Moon",1973-03-01,39,65,90,13,0,10,-21,A Major,4,73OIUNKRi2y24Cu9cOLrzM,GBN9Y1100078,no
4,"Time","Pink Floyd",120,11B,48,2026-04-09,07:02,80,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Dark Side of the Moon",1973-03-01,36,52,0,36,0,10,-12,A Major,4,3TO7bbrUKrOSPGRTB5MeCz,GBN9Y1100079,no
5,"The Great Gig in the Sky","Pink Floyd",116,7B,22,2026-04-09,04:44,78,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Dark Side of the Moon",1973-03-01,27,77,90,18,0,0,-14,F Major,4,2TjdnqlpwOjhijHCwHCP2d,GBN9Y1100080,no
6,"Money","Pink Floyd",126,10A,54,2026-04-09,06:20,79,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Dark Side of the Moon",1973-03-01,47,2,0,79,10,20,-10,B Minor,1,0vFOzaXqZHahrZp6enQwQb,GBN9Y1100081,yes
7,"Us and Them","Pink Floyd",73,10B,30,2026-04-09,07:52,73,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Dark Side of the Moon",1973-03-01,36,86,56,14,0,60,-15,D Major,4,1TKTiKp3zbNgrBH2IwSwIx,GBN9Y1100082,no
8,"Any Colour You Like","Pink Floyd",151,8B,67,2026-04-09,03:25,69,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Dark Side of the Moon",1973-03-01,28,20,94,51,0,40,-13,C Major,4,6FBPOJLxUZEair6x4kLDhf,GBN9Y1100083,no
9,"Brain Damage","Pink Floyd",134,10B,27,2026-04-09,03:50,74,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Dark Side of the Moon",1973-03-01,32,7,34,21,0,30,-13,D Major,4,05uGBKRCuePsf43Hfm0JwX,GBN9Y1100140,no
10,"Eclipse","Pink Floyd",68,6B,58,2026-04-09,02:06,69,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Dark Side of the Moon",1973-03-01,36,6,75,14,0,0,-11,A#/B♭ Major,4,1tDWVeCR9oWGX8d5J9rswk,GBN9Y1100084,no
11,"Do I Wanna Know?","Arctic Monkeys",85,7B,53,2026-04-09,04:32,90,"indie, garage rock","AM",2013-09-09,55,19,0,41,0,20,-8,F Major,4,5FVd6KXrgO9B3JPmC8OPst,GBCEL1300362,no
12,"R U Mine?","Arctic Monkeys",97,11A,76,2026-04-09,03:21,84,"indie, garage rock","AM",2013-09-09,29,1,0,62,0,30,-6,F#/G♭ Minor,4,2AT8iROs4FQueDv2c8q2KE,GBCEL1300363,no
