group_key,group_count,track_id,artist,song,raw_key,normalized_by_ignore_remaster,normalized_by_ignore_year_version
fleetwood mac|dreams,2,1lbXEepatjRVjoG8pZMtdp,Fleetwood Mac,Dreams,Fleetwood Mac|Dreams,1,1
fleetwood mac|dreams,2,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Fleetwood Mac|Dreams - 2004 Remaster,1,1
fleetwood mac|go your own way,2,15rjQH7nTcTomKwfVMd4xl,Fleetwood Mac,Go Your Own Way,Fleetwood Mac|Go Your Own Way,1,1
fleetwood mac|go your own way,2,4xh7W7tlNMIczFhupCPniY,Fleetwood Mac,Go Your Own Way - 2004 Remaster,Fleetwood Mac|Go Your Own Way - 2004 Remaster,1,1
"frank sinatra,count basie|the best is yet to come",2,0ixibp47KfmqFlOJ9V4FZs,"Frank Sinatra,Count Basie",The Best Is Yet To Come,"Frank Sinatra,Count Basie|The Best Is Yet To Come",1,1
"frank sinatra,count basie|the best is yet to come",2,0mF3Ysmjl4QluLh4sZVnzf,"Frank Sinatra,Count Basie",The Best Is Yet To Come - 2008 Remastered,"Frank Sinatra,Count Basie|The Best Is Yet To Come - 2008 Remastered",1,1
frank sinatra|my way,2,6lTTzSk1hRrxp4VMwXBp2l,Frank Sinatra,My Way,Frank Sinatra|My Way,1,1
frank sinatra|my way,2,2YkIDPL5lGhRhomCq4S2RO,Frank Sinatra,My Way - 2008 Remastered,Frank Sinatra|My Way - 2008 Remastered,1,1
frank sinatra|summer wind,2,5ZXHIeyneAhJHjR1JQ2cYs,Frank Sinatra,Summer Wind,Frank Sinatra|Summer Wind,1,1
frank sinatra|summer wind,2,2vXVfpRRCin0m7b26He4aw,Frank Sinatra,Summer Wind - 2008 Remastered,Frank Sinatra|Summer Wind - 2008 Remastered,1,1
"frank sinatra|theme from new york, new york",2,4ODWgs1CVAZKDbryEodjiz,Frank Sinatra,"Theme From New York, New York","Frank Sinatra|Theme From New York, New York",1,1
"frank sinatra|theme from new york, new york",2,0K2WjMLZYr09LKwurGRYRE,Frank Sinatra,"Theme From New York, New York - 2008 Remastered","Frank Sinatra|Theme From New York, New York - 2008 Remastered",1,1
james blunt|high,2,13yEuYLJYxPCLJR0KNOqpk,James Blunt,High,James Blunt|High,1,1
james blunt|high,2,6iuhtmQY3IOKRHx2ZiBYmK,James Blunt,High - 2024 Remaster,James Blunt|High - 2024 Remaster,1,1
joy division|disorder,2,5fbQCQt91LsVgXusFS0CCD,Joy Division,Disorder - 2007 Remaster,Joy Division|Disorder - 2007 Remaster,1,1
joy division|disorder,2,2OPmhk5vO4qiYE4LEAC9hs,Joy Division,Disorder - 2019 Digital Master,Joy Division|Disorder - 2019 Digital Master,1,1
led zeppelin|going to california,2,55sjCMeQM26VxbNHhMtj2b,Led Zeppelin,Going to California - 1990 Remaster,Led Zeppelin|Going to California - 1990 Remaster,1,1
led zeppelin|going to california,2,70gbuMqwNBE2Y5rkQJE9By,Led Zeppelin,Going to California - Remaster,Led Zeppelin|Going to California - Remaster,1,1
oasis|stand by me,2,5WTPhYmwwojFP73O7p3Izi,Oasis,Stand By Me - Remastered,Oasis|Stand By Me - Remastered,1,1
oasis|stand by me,2,3Mitz1jYppBNT258IJNLYE,Oasis,Stand by Me - Remastered,Oasis|Stand by Me - Remastered,1,1
"stevie nicks,don henley|leather and lace",2,6L5c6wFGDQswebVAS3BmUw,"Stevie Nicks,Don Henley",Leather and Lace,"Stevie Nicks,Don Henley|Leather and Lace",1,1
"stevie nicks,don henley|leather and lace",2,7kXM2obnaUVl014k00cdhF,"Stevie Nicks,Don Henley",Leather and Lace - 2016 Remaster,"Stevie Nicks,Don Henley|Leather and Lace - 2016 Remaster",1,1
taking back sunday|cute without the 'e' (cut from the team),2,26vHnoxnnK4piNZf5qWGk4,Taking Back Sunday,Cute Without The 'E' (Cut From The Team),Taking Back Sunday|Cute Without The 'E' (Cut From The Team),1,1
taking back sunday|cute without the 'e' (cut from the team),2,6OyKBwLzq4h15XmxeWf5n4,Taking Back Sunday,Cute Without The 'E' (Cut From The Team) - Remastered 2019,Taking Back Sunday|Cute Without The 'E' (Cut From The Team) - Remastered 2019,1,1
the black keys|gold on the ceiling,2,5lN1EH25gdiqT1SFALMAq1,The Black Keys,Gold on the Ceiling,The Black Keys|Gold on the Ceiling,1,1
the black keys|gold on the ceiling,2,54bO2CHOgGN44oWmAqib0I,The Black Keys,Gold on the Ceiling - 2021 Remaster,The Black Keys|Gold on the Ceiling - 2021 Remaster,1,1
the black keys|lonely boy,2,5G1sTBGbZT5o4PNRc75RKI,The Black Keys,Lonely Boy,The Black Keys|Lonely Boy,1,1
the black keys|lonely boy,2,6OQWPkRPWVMzTQsHOjIZVD,The Black Keys,Lonely Boy - 2021 Remaster,The Black Keys|Lonely Boy - 2021 Remaster,1,1
the cure|lovesong,2,7K71priwuwcWwbgfHVQJdq,The Cure,Lovesong,The Cure|Lovesong,1,1
the cure|lovesong,2,0X5C4WjQNubRysTkHOubz3,The Cure,Lovesong - 2010 Remaster,The Cure|Lovesong - 2010 Remaster,1,1
the doors|break on through (to the other side),2,6ToM0uwxtPKo9CMpbPGYvM,The Doors,Break on Through (To the Other Side),The Doors|Break on Through (To the Other Side),1,1
the doors|break on through (to the other side),2,2OluDx9K9BUT7I38AtYjND,The Doors,Break on Through (To the Other Side) - 2017 Remaster,The Doors|Break on Through (To the Other Side) - 2017 Remaster,1,1
