track_id,song,artist,album,added_at,album_date,playlist_name,owner_latest_keep_in_library,kept_by_other_user,eligible_for_delete,in_music_library_db,your_decision,notes
6lUXneXZ9jc3HSMHgd8oqh,How Can You Mend a Broken Heart,Al Green,Let's Stay Together,2025-11-19,,detective_work,0,no,yes,yes,,
3YuaBvuZqcwN3CEAyyoaei,Like a Stone,Audioslave,Audioslave,2026-03-30,2002-11-17 00:00:00,liked_songs,0,no,yes,yes,,
6RJoqL7C1kEN6IL8zV6auG,Sunday Best,Augustana,All The Stars and Boulevards,2026-01-29,,the_ultimate_concert_playlist,0,no,yes,yes,,
05sp2EySV6DXsKLeBnjaK0,Anywhere for You,Backstreet Boys,Backstreet Boys,2025-12-30,,backstreet_boys,0,no,yes,yes,,
1xiZcrzUUtdy7kr2zp9zsu,Darlin',Backstreet Boys,Backstreet Boys,2025-12-30,,backstreet_boys,0,no,yes,yes,,
44yi3VSeP3uWM7A1OtYm6Y,Shattered,Backstreet Boys,This Is Us,2025-12-30,2009-10-06 00:00:00,backstreet_boys,0,no,yes,yes,,
6YcEWhjxFqALvaRYtZVAqS,Spanish Eyes,Backstreet Boys,Millennium,2025-12-30,1999-05-18 00:00:00,backstreet_boys,0,no,yes,yes,,
5jym9AK0j4z3lWjXUF8JdG,All Over Me,Blake Shelton,Blake Shelton,2026-01-29,2001-07-31 00:00:00,the_ultimate_concert_playlist,0,no,yes,yes,,
25ZqQokIirbPOaNhxwHd45,Problems at Home,Blake Shelton,Blake Shelton,2026-01-29,2001-07-31 00:00:00,the_ultimate_concert_playlist,0,no,yes,yes,,
6xpDh0dXrkVp0Po1qrHUd8,Adam's Song,blink-182,Enema Of The State,2025-11-03,1999-06-01 00:00:00,twinning,0,no,yes,yes,,
4TofVhKSYwFXRtbYo5M3h4,Going Away To College,blink-182,Enema Of The State,2024-09-01,1999-06-01 00:00:00,my_cd_collection,0,no,yes,yes,,
5j5BbIMBUdamtTMsGVX1e4,Jaws Theme Swimming,Brand New,Deja Entendu,2025-03-04,2003-06-17 00:00:00,resilience,0,no,yes,yes,,
2Uwjr7EnHRXMgmL9SmX1Gj,Omaha,Counting Crows,August And Everything After,2026-01-29,1993-09-14 00:00:00,the_ultimate_concert_playlist,0,no,yes,yes,,
0m1KYWlT6LhFRBDVq9UNx4,HYFR (Hell Ya Fucking Right),"Drake,Lil Wayne",Take Care (Deluxe),2025-11-18,2011-11-15 00:00:00,detective_work,0,no,yes,yes,,
7kNlRLC9PEH8nXMVawssMx,Won't Back Down,"Eminem,P!nk",Recovery,2026-07-12,2010-06-18,,0,no,yes,yes,,
2X0iV2Y6GDo6jSoueZJDLK,If I Should Fall Behind,Faith Hill,Breathe,2024-09-01,1999-11-09 00:00:00,my_cd_collection,0,no,yes,yes,,
3acRlI6blIFTqSLdPNoWPG,It Will Be Me,Faith Hill,Breathe,2024-09-01,1999-11-09 00:00:00,my_cd_collection,0,no,yes,yes,,
7Gjj6NxSsVwXfOXUjvjCXv,Sisters of the Moon - 2015 Remaster,Fleetwood Mac,Tusk (Deluxe Edition),2026-04-26,1979-10-12 00:00:00,feisty,0,no,yes,yes,,
7FCwiuWa5tvFc73c13fBJ2,Light In Your Eyes,Flyleaf,Remember To Live,2025-02-22,2010-01-01 00:00:00,existential_outcasts,0,no,yes,yes,,
74KI6d8jEM2zwOAo3luayU,Shimmer,Fuel,Sunburn,2024-09-04,,my_cd_collection,0,no,yes,yes,,
7xgRurvaLwTMdgCXrivL1X,These Things,Fuel,Natural Selection,2024-09-04,2003-09-23 00:00:00,my_cd_collection,0,no,yes,yes,,
