#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Cold","Dead Poet Society",138,9A,92,2026-08-13,03:23,64,"","Cold",2026-08-06,41,0,0,42,0,30,-4,E Minor,4,3TaeBT5aGh7qxbxTPoLpf1,GBPVV2600042,yes
2,".intoodeep.","Dead Poet Society",125,4B,68,2026-08-13,03:39,60,"","-!- (Deluxe)",2021-12-03,60,0,0,49,0,30,-6,G#/A♭ Major,4,54jvLVojOWiQRubRfKmZ2k,GBUM72003959,yes
3,"Running In Circles","Dead Poet Society",142,5B,84,2026-08-13,03:53,66,"","FISSION",2024-01-26,62,0,0,64,0,30,-3,D#/E♭ Major,4,4pEU0NT64oiem9lDT7nuJn,GBPVV2305351,yes
4,"Trouble’s Coming","Royal Blood",112,12A,69,2026-08-13,03:48,66,"garage rock, rock","Typhoons",2021-04-30,78,5,0,81,0,30,-5,C♯/D♭ Minor,4,6voIJ7OWwRabSZDC77D5Hp,GBAHT2000193,no
5,"Don't Miss","The Blue Stones",136,3A,67,2026-08-13,03:07,57,"blues rock","Pretty Monster",2022-11-04,58,2,0,48,0,0,-7,A#/B♭ Minor,4,1ggbqc7jhg454UpFfSmdam,CAK472202101,no
6,"White Flower","Rafferty",143,10A,83,2026-08-13,03:44,59,"","White Flower - EP",2018-01-17,50,8,0,60,10,30,-4,B Minor,4,68bLpWhZivilbacdheOIQz,TCADK1748276,no
7,"When the Love is Gone","Des Rocs",142,9A,82,2026-08-13,03:20,19,"","Fall Together",2026-04-15,46,0,62,49,0,20,-4,E Minor,4,7DHdCB4fCWeIgNkUJBaaRq,USFYZ2557602,no
8,"Don't Speak","Culture Wars",154,1A,90,2026-08-13,03:43,62,"","Don't Speak",2026-04-10,40,3,0,47,0,10,-2,G#/A♭ Minor,4,2YB7LLj8xZcd4pDs0UBM6i,QM4TX2683818,no
9,"Your Chaos","NOMARKMORE",124,2B,45,2026-08-13,03:45,51,"","Exhibition Number Zero",2025-12-01,74,11,0,65,0,30,-7,F#/G♭ Major,4,5N7Cdi5Te9E3rejjuyRwll,QT6ET2567792,yes
10,"Event Horizon","NOMARKMORE",140,4A,32,2026-08-13,03:15,30,"","Exhibition Number Zero",2025-12-01,74,16,0,56,0,10,-10,F Minor,4,6hzj2O98TysOt0tu6Yc9OJ,QT6ET2567789,yes
11,"All I Need Is You","NOMARKMORE",176,1A,53,2026-08-13,03:18,46,"","Exhibition Number Zero",2025-12-01,47,23,0,66,0,0,-8,G#/A♭ Minor,4,3A5rfmGdSmfcNqIURUJt4z,QT6ET2567791,yes
12,"High Horse","Black Pistol Fire",80,3B,69,2026-08-13,02:48,47,"blues rock, modern blues, garage rock","Flagrant Act of Bliss",2026-01-23,63,4,0,69,0,30,-5,C♯/D♭ Major,4,5UiwpYH8hfVR6CAvzzrP7B,QZWH32500584,no
13,"Where The Silence Goes","LEAP",170,9B,91,2026-08-13,02:53,63,"","One Million Pieces",2022-06-03,47,0,23,40,20,0,-7,G Major,4,6SkGAtFv38tQjouh7UeNpu,GBKPL2022542,no
14,"Life's a Dream","Modest Mouse",109,11B,84,2026-08-13,05:31,54,"indie rock, indie, alternative rock","An Eraser And A Maze",2026-06-05,52,0,64,26,0,20,-7,A Major,4,7aKPErDLvieg4nJTWqCrNc,USA2P2609802,no
15,"Words As Weapons","Seether",110,4A,90,2026-08-13,04:00,71,"post-grunge, alternative metal, rock","Isolate And Medicate (Deluxe Edition)",2014-01-01,59,1,0,61,0,0,-6,F Minor,4,0aYQsp1vZZcX0JBEJvKF7N,QMFMK1400003,no
16,"Typical Ways","Culture Wars",123,4A,74,2026-08-13,02:39,66,"","Don't Speak",2026-04-10,72,11,0,97,0,0,-4,F Minor,4,7fq0XZP4zQ54Hhq1szMit2,QZHN72552171,no
17,"Not a Mistake","NOMARKMORE",120,3B,88,2026-08-13,03:07,37,"","Not a Mistake",2026-07-24,54,0,0,54,0,80,-7,C♯/D♭ Major,4,6cAFXLvw1L4DJEmQF07KDm,QT6EX2676214,no
18,"BURNER PHONE","cleopatrick",136,9A,91,2026-08-13,03:21,42,"","SCRAP",2025-12-05,44,0,18,46,0,30,-5,E Minor,4,1nUC2uuKUl49tDwQ1m4A1J,CAJXF2500023,no
19,"Not Your Fault","AWOLNATION",144,7B,74,2026-08-13,04:02,53,"","Megalithic Symphony",2011-03-15,59,0,0,64,0,0,-5,F Major,4,31hUonEmUsEVd0FMRv1s5r,USP6L1000057,no
20,"Good Things Go","Linkin Park",127,7A,76,2026-08-13,03:29,71,"nu metal, rap metal, rock, alternative metal","From Zero",2024-11-15,54,1,0,31,0,10,-5,D Minor,4,6aCBjSb87RizdH8lVBIRW7,USWB12403473,yes
21,"The Emptiness Machine","Linkin Park",184,9B,87,2026-08-13,03:10,86,"nu metal, rap metal, rock, alternative metal","From Zero",2024-11-15,47,2,0,81,0,10,-3,G Major,4,1EDPVGbyPKJPeGqATwXZvN,USWB12403464,yes
22,"Absolution","Switchfoot",91,11B,87,2026-08-13,04:05,46,"christian rock, christian alternative rock, ccm, christian","Absolution",2026-05-15,54,2,0,27,10,10,-6,A Major,4,3jfHclM5oNBSUvuBS7OgPj,QMRSZ2600425,no
23,"Third Side of the Moon","Modest Mouse",171,12B,71,2026-08-13,04:27,54,"indie rock, indie, alternative rock","An Eraser And A Maze",2026-06-05,48,2,24,61,0,10,-5,E Major,4,7fa34IepKo01jV34GTMxQC,USA2P2609803,yes
24,"Snap Out Of It","Arctic Monkeys",130,4A,64,2026-08-13,03:13,84,"indie, garage rock","AM",2013-09-09,73,25,0,87,0,10,-6,F Minor,4,0NdTUS4UiNYCNn5FgVqKQY,GBCEL1300371,no
25,"Backseat","Balu Brigada",126,3B,81,2026-08-13,06:23,79,"","Portal",2025-08-29,35,0,0,22,10,60,-5,C♯/D♭ Major,4,7j6PWLaubVavCLE4peea8S,AUWA02500140,no
26,"SCARING ME","cleopatrick",135,12A,66,2026-08-13,03:51,39,"","DOOM",2022-10-21,59,11,1,14,0,10,-8,C♯/D♭ Minor,4,35Bv4QuokBrmWya208VcK2,CAJXF2200009,no
27,"Upside Down & Inside Out","OK Go",93,8B,82,2026-08-13,03:07,52,"","Hungry Ghosts",2014-10-14,56,0,0,54,10,80,-5,C Major,4,5jGxeAkNbep75x8JLeb52H,QMRSZ1401257,no
28,"Oxygen","Catfish and the Bottlemen",125,12A,84,2026-08-13,02:49,59,"indie, indie rock","The Ride",2016-05-27,47,0,0,28,0,10,-5,C♯/D♭ Minor,4,1kDc700KN1jUerY6t09FNm,GBUM71600841,no
29,"Red","Catfish and the Bottlemen",135,6A,85,2026-08-13,03:48,50,"indie, indie rock","The Ride",2016-05-27,54,0,9,17,0,0,-5,G Minor,4,6ThVbNunEIjQxRNn0gk6Yg,GBUM71600838,no
30,"7","Catfish and the Bottlemen",155,6B,71,2026-08-13,04:16,70,"indie, indie rock","The Ride",2016-05-27,53,0,0,28,0,10,-5,A#/B♭ Major,4,5ykbOijJEfRhuo2Td1m0Qd,GBUM71600834,no
31,"Twice","Catfish and the Bottlemen",137,8B,82,2026-08-13,03:16,60,"indie, indie rock","The Ride",2016-05-27,41,0,3,29,0,40,-5,C Major,4,2sewj0rFvlr3aEM3bGy12n,GBUM71600835,yes
