rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,5iItYl3Q6wCnKVfpK1uNVf,The Suburbs,Arcade Fire,The Suburbs (Deluxe),currently_listening,118.00,185.00,69.00,62.00,54.00,11A,1,2026-08-30T09:14:52.919Z,https://open.spotify.com/track/5iItYl3Q6wCnKVfpK1uNVf
2,0NdTUS4UiNYCNn5FgVqKQY,Snap Out Of It,Arctic Monkeys,AM,currently_listening,130.00,224.00,64.00,73.00,87.00,4A,1,2026-08-30T09:14:52.863Z,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY
3,3YuaBvuZqcwN3CEAyyoaei,Like a Stone,Audioslave,Audioslave,currently_listening,108.00,170.00,57.00,61.00,52.00,6A,1,2026-08-30T09:14:52.902Z,https://open.spotify.com/track/3YuaBvuZqcwN3CEAyyoaei
4,1Qdnvn4XlmZANCVy3XjrQo,Show Me How to Live,Audioslave,Audioslave,currently_listening,89.00,165.00,85.00,43.00,37.00,11B,1,2026-08-30T09:14:52.902Z,https://open.spotify.com/track/1Qdnvn4XlmZANCVy3XjrQo
5,0cZDC7uxNK8lqQ3GgyvCnD,Nobody's Home,Avril Lavigne,Under My Skin,currently_listening,185.00,144.00,91.00,35.00,18.00,4A,1,2026-08-30T09:14:52.913Z,https://open.spotify.com/track/0cZDC7uxNK8lqQ3GgyvCnD
6,6RSVgjjYRtKg4FDyx2Lj1u,The Best,AWOLNATION,Angel Miners & The Lightning Riders,currently_listening,111.00,156.00,87.00,64.00,5.00,7A,1,2026-08-30T09:14:52.887Z,https://open.spotify.com/track/6RSVgjjYRtKg4FDyx2Lj1u
7,31hUonEmUsEVd0FMRv1s5r,Not Your Fault,AWOLNATION,Megalithic Symphony,currently_listening,144.00,197.00,74.00,59.00,64.00,7B,1,2026-08-30T09:14:52.859Z,https://open.spotify.com/track/31hUonEmUsEVd0FMRv1s5r
8,0QVqdSLCPskZiJpcYQTgvi,Family,Badflower,Family,currently_listening,150.00,169.00,67.00,61.00,41.00,2A,1,2026-08-30T09:14:52.887Z,https://open.spotify.com/track/0QVqdSLCPskZiJpcYQTgvi
9,7j6PWLaubVavCLE4peea8S,Backseat,Balu Brigada,Portal,currently_listening,126.00,138.00,81.00,35.00,22.00,3B,1,2026-08-30T09:14:52.863Z,https://open.spotify.com/track/7j6PWLaubVavCLE4peea8S
10,5PntSbMHC1ud6Vvl8x56qd,Loser,Beck,Mellow Gold,currently_listening,85.00,205.00,61.00,65.00,79.00,10B,1,2026-08-30T09:14:52.888Z,https://open.spotify.com/track/5PntSbMHC1ud6Vvl8x56qd
11,49z5WQuzLqWZGe3TD8xySU,Dope,Beware Of Darkness,Are You Real?,currently_listening,204.00,194.00,68.00,51.00,75.00,2A,1,2026-08-30T09:14:52.894Z,https://open.spotify.com/track/49z5WQuzLqWZGe3TD8xySU
12,3V3JJZVln8sC8V6raJNmKk,Muthafucka,Beware Of Darkness,Are You Real?,currently_listening,140.00,147.00,80.00,37.00,30.00,11B,1,2026-08-30T09:14:52.893Z,https://open.spotify.com/track/3V3JJZVln8sC8V6raJNmKk
