rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,35Bv4QuokBrmWya208VcK2,SCARING ME,cleopatrick,DOOM,currently_listening,135.00,139.00,66.00,59.00,14.00,12A,1,2026-09-14T07:30:55.331Z,https://open.spotify.com/track/35Bv4QuokBrmWya208VcK2
2,7KCVv4G214JjjAz2B9eM7H,Wonderful Wonderful,The Killers,Wonderful Wonderful,currently_listening,140.00,141.00,75.00,45.00,21.00,4B,1,2026-09-14T07:30:55.371Z,https://open.spotify.com/track/7KCVv4G214JjjAz2B9eM7H
3,21vwWfS6qvxh8TN3lgHvZr,Baby,Bishop Briggs,Baby,currently_listening,140.00,146.00,59.00,66.00,21.00,11A,1,2026-09-14T07:30:55.412Z,https://open.spotify.com/track/21vwWfS6qvxh8TN3lgHvZr
4,3V3JJZVln8sC8V6raJNmKk,Muthafucka,Beware Of Darkness,Are You Real?,currently_listening,140.00,147.00,80.00,37.00,30.00,11B,1,2026-09-14T07:30:55.364Z,https://open.spotify.com/track/3V3JJZVln8sC8V6raJNmKk
5,6FOpPA0a80RuBqqgDozvja,So Far Away,Staind,14 Shades of Grey,currently_listening,139.00,147.00,90.00,41.00,16.00,2B,1,2026-09-14T07:30:55.377Z,https://open.spotify.com/track/6FOpPA0a80RuBqqgDozvja
6,74kL9FdoVoKqEjtU3M5LiX,Eyes Of The Devil,Seether,Johnny’s Favs and a Few Deep Cuts,currently_listening,144.00,150.00,93.00,41.00,16.00,4A,1,2026-09-14T07:30:55.343Z,https://open.spotify.com/track/74kL9FdoVoKqEjtU3M5LiX
7,5ykbOijJEfRhuo2Td1m0Qd,7,Catfish and the Bottlemen,The Ride,currently_listening,155.00,152.00,71.00,53.00,28.00,6B,1,2026-09-14T07:30:55.332Z,https://open.spotify.com/track/5ykbOijJEfRhuo2Td1m0Qd
8,6r2EjEQh33dR5Ofxf5r79T,One-Eighty By Summer,Taking Back Sunday,Where You Want To Be,currently_listening,152.00,161.00,96.00,32.00,33.00,9B,1,2026-09-14T07:30:55.368Z,https://open.spotify.com/track/6r2EjEQh33dR5Ofxf5r79T
9,7pme6B95kKItToxKNCGIY8,Sad In Carolina,Dexter and The Moonrocks,"Sad In Carolina (Live From Ft. Worth, TX)",currently_listening,153.00,163.00,82.00,45.00,36.00,12A,1,2026-09-14T07:30:55.401Z,https://open.spotify.com/track/7pme6B95kKItToxKNCGIY8
10,0JEzP25OqBOWbm5U7pC9f2,Adelaide,MEG MYERS,Daughter in the Choir,currently_listening,150.00,167.00,84.00,56.00,27.00,8B,1,2026-09-14T07:30:55.334Z,https://open.spotify.com/track/0JEzP25OqBOWbm5U7pC9f2
11,0QVqdSLCPskZiJpcYQTgvi,Family,Badflower,Family,currently_listening,150.00,169.00,67.00,61.00,41.00,2A,1,2026-09-14T07:30:55.355Z,https://open.spotify.com/track/0QVqdSLCPskZiJpcYQTgvi
12,6ttg1sxtU12beFZkjoc6j5,Gold Lion,Yeah Yeah Yeahs,Show Your Bones,currently_listening,159.00,167.00,85.00,52.00,30.00,11B,1,2026-09-14T07:30:55.348Z,https://open.spotify.com/track/6ttg1sxtU12beFZkjoc6j5
13,27xKntLxqf0HDGVdcNIkcY,Fluctuate,Catfish and the Bottlemen,The Balance,currently_listening,160.00,162.00,89.00,41.00,32.00,4B,1,2026-09-14T07:30:55.365Z,https://open.spotify.com/track/27xKntLxqf0HDGVdcNIkcY
14,6hzj2O98TysOt0tu6Yc9OJ,Event Horizon,NOMARKMORE,Exhibition Number Zero,currently_listening,140.00,162.00,32.00,74.00,56.00,4A,1,2026-09-14T07:30:55.323Z,https://open.spotify.com/track/6hzj2O98TysOt0tu6Yc9OJ
15,7DHdCB4fCWeIgNkUJBaaRq,When the Love is Gone,Des Rocs,Fall Together,currently_listening,141.00,172.00,81.00,44.00,47.00,9A,1,2026-09-14T07:30:55.321Z,https://open.spotify.com/track/7DHdCB4fCWeIgNkUJBaaRq
16,3pavDZo8o2ctgkVhERSzy6,Driven Under,Seether,Disclaimer,currently_listening,131.00,167.00,86.00,56.00,25.00,8A,1,2026-09-14T07:30:55.343Z,https://open.spotify.com/track/3pavDZo8o2ctgkVhERSzy6
17,3LirkthakHFNj98PIO9oan,Mission,Catfish and the Bottlemen,The Balance,currently_listening,128.00,165.00,84.00,40.00,41.00,1A,1,2026-09-14T07:30:55.366Z,https://open.spotify.com/track/3LirkthakHFNj98PIO9oan
18,7yoBjKO6cCnK3zV8gr1k4e,Lydia,Highly Suspect,Mister Asylum,currently_listening,128.00,164.00,71.00,42.00,51.00,11A,1,2026-09-14T07:30:55.352Z,https://open.spotify.com/track/7yoBjKO6cCnK3zV8gr1k4e
19,6aCBjSb87RizdH8lVBIRW7,Good Things Go,Linkin Park,From Zero,currently_listening,127.00,161.00,76.00,54.00,31.00,7A,1,2026-09-14T07:30:55.328Z,https://open.spotify.com/track/6aCBjSb87RizdH8lVBIRW7
20,1kDc700KN1jUerY6t09FNm,Oxygen,Catfish and the Bottlemen,The Ride,currently_listening,125.00,159.00,84.00,47.00,28.00,12A,1,2026-09-14T07:30:55.332Z,https://open.spotify.com/track/1kDc700KN1jUerY6t09FNm
21,46wRnA088QBoXWYd1O9hUJ,Bullet With Butterfly Wings,Des Rocs,Bullet With Butterfly Wings,currently_listening,125.00,155.00,79.00,49.00,27.00,3A,1,2026-09-14T07:30:55.351Z,https://open.spotify.com/track/46wRnA088QBoXWYd1O9hUJ
22,1HtrQWNpyEbGMEiwCjmPdi,Curbstomp,MEG MYERS,Daughter in the Choir,currently_listening,123.00,153.00,67.00,68.00,18.00,6A,1,2026-09-14T07:30:55.334Z,https://open.spotify.com/track/1HtrQWNpyEbGMEiwCjmPdi
23,2SaWT781xr3hHLdbVt5DB7,Freakin’ Out,Dexter and The Moonrocks,Freakin’ Out,currently_listening,124.00,148.00,82.00,55.00,11.00,9B,1,2026-09-14T07:30:55.373Z,https://open.spotify.com/track/2SaWT781xr3hHLdbVt5DB7
24,5vollujufHY0jMZxx77VWr,All These Things That I've Done,The Killers,Hot Fuss,currently_listening,118.00,145.00,70.00,54.00,21.00,2B,1,2026-09-14T07:30:55.369Z,https://open.spotify.com/track/5vollujufHY0jMZxx77VWr
25,7j6PWLaubVavCLE4peea8S,Backseat,Balu Brigada,Portal,currently_listening,126.00,138.00,81.00,35.00,22.00,3B,1,2026-09-14T07:30:55.330Z,https://open.spotify.com/track/7j6PWLaubVavCLE4peea8S
26,6Yh4ZKQolEOvjgWuceT6pd,King is Dead,"Bryce Fox,King Green",King is Dead,currently_listening,133.00,128.00,69.00,53.00,6.00,11A,1,2026-09-14T07:30:55.385Z,https://open.spotify.com/track/6Yh4ZKQolEOvjgWuceT6pd
27,2ssHVnC8IEkQouNXfPDfAe,Hexagons,Muse,The Wow! Signal,currently_listening,141.00,123.00,80.00,18.00,25.00,9A,1,2026-09-14T07:30:55.347Z,https://open.spotify.com/track/2ssHVnC8IEkQouNXfPDfAe
28,32rGbTvS1MXQ8ipl0Ap8e2,See Out Loud,Interpol,This Mirror Weighs a Ton,currently_listening,132.00,150.00,98.00,36.00,16.00,10A,1,2026-09-14T07:30:55.392Z,https://open.spotify.com/track/32rGbTvS1MXQ8ipl0Ap8e2
29,27QCaXOhT6qY0NT6tv5IZ6,Bukowski,Modest Mouse,Good News For People Who Love Bad News,currently_listening,130.00,155.00,41.00,62.00,52.00,4B,1,2026-09-14T07:30:55.361Z,https://open.spotify.com/track/27QCaXOhT6qY0NT6tv5IZ6
