rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,7zscdQe9CjzXnqT3P1Ey7K,If You Want Blood (You've Got It),AC/DC,Highway to Hell,currently_listening,141.00,196.00,93.00,49.00,54.00,10B,1,2026-08-16T09:04:20.591Z,https://open.spotify.com/track/7zscdQe9CjzXnqT3P1Ey7K
2,4KfSdst7rW39C0sfhArdrz,Barracuda,Heart,Little Queen,currently_listening,137.00,191.00,69.00,55.00,67.00,9A,1,2026-08-16T09:04:20.630Z,https://open.spotify.com/track/4KfSdst7rW39C0sfhArdrz
3,4f3RDq9nYPBeR1yMSgnmBm,You've Got Another Thing Comin',Judas Priest,Screaming For Vengeance (Expanded Edition),currently_listening,138.00,188.00,83.00,52.00,53.00,11A,1,2026-08-16T09:04:20.660Z,https://open.spotify.com/track/4f3RDq9nYPBeR1yMSgnmBm
4,7nemcVsXVFZF01iqpIIo2Y,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,High Voltage,currently_listening,136.00,185.00,86.00,46.00,53.00,5B,1,2026-08-16T09:04:20.623Z,https://open.spotify.com/track/7nemcVsXVFZF01iqpIIo2Y
5,2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,Jimi Hendrix,Electric Ladyland,currently_listening,113.00,181.00,81.00,44.00,56.00,4B,1,2026-08-16T09:04:20.655Z,https://open.spotify.com/track/2aoo2jlRnM3A0NyLQqMN2f
6,1CQqupcyMg7176PPmIVmSj,Renegade,Styx,Pieces Of Eight,currently_listening,106.00,170.00,55.00,49.00,66.00,6A,1,2026-08-16T09:04:20.647Z,https://open.spotify.com/track/1CQqupcyMg7176PPmIVmSj
7,2KmSnPWWCIsEomVsKnbE1a,Big Balls,AC/DC,Dirty Deeds Done Dirt Cheap,currently_listening,107.00,167.00,63.00,62.00,42.00,11B,1,2026-08-16T09:04:20.622Z,https://open.spotify.com/track/2KmSnPWWCIsEomVsKnbE1a
8,0ZXkKRO789QKBR6ME7pIDF,Goodbye Cruel World,Pink Floyd,The Wall,currently_listening,103.00,154.00,100.00,47.00,7.00,10B,1,2026-08-16T09:04:20.608Z,https://open.spotify.com/track/0ZXkKRO789QKBR6ME7pIDF
9,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,Kansas,Point Of Know Return (Expanded Edition),currently_listening,94.00,119.00,32.00,48.00,39.00,9B,1,2026-08-16T09:04:20.646Z,https://open.spotify.com/track/6zeE5tKyr8Nu882DQhhSQI
10,4rAnSE0E0f33unxXsQa5Fr,Lunatic Fringe,Red Rider,As Far As Siam,currently_listening,98.00,116.00,46.00,49.00,21.00,12B,1,2026-08-16T09:04:20.651Z,https://open.spotify.com/track/4rAnSE0E0f33unxXsQa5Fr
11,75AhlGB9aFWTxDfbmbdiCH,Cut My Hair,The Who,Quadrophenia (Super Deluxe Edition),currently_listening,139.00,137.00,49.00,47.00,41.00,8B,1,2026-08-16T09:04:20.636Z,https://open.spotify.com/track/75AhlGB9aFWTxDfbmbdiCH
12,4ZuC5MfGjRQs3pZtPxqMYP,Shadowplay - 2007 Remaster,Joy Division,Unknown Pleasures (Collector's Edition),currently_listening,145.00,131.00,76.00,43.00,12.00,11B,1,2026-08-16T09:04:20.640Z,https://open.spotify.com/track/4ZuC5MfGjRQs3pZtPxqMYP
13,52m7IQitPjIy1PrULHhS9F,Wanted Dead Or Alive,Bon Jovi,Slippery When Wet (Deluxe Edition),currently_listening,150.00,131.00,80.00,25.00,26.00,9B,1,2026-08-16T09:04:20.647Z,https://open.spotify.com/track/52m7IQitPjIy1PrULHhS9F
14,7txxAtOMwLLnQTpKeBL6bp,Mother,Danzig,Danzig,currently_listening,148.00,147.00,76.00,37.00,34.00,10A,1,2026-08-16T09:04:20.652Z,https://open.spotify.com/track/7txxAtOMwLLnQTpKeBL6bp
15,3ieDOGcOqVxScs2VZBzidt,Learning to Fly,Pink Floyd,A Momentary Lapse of Reason,currently_listening,167.00,148.00,56.00,44.00,48.00,8B,1,2026-08-16T09:04:20.655Z,https://open.spotify.com/track/3ieDOGcOqVxScs2VZBzidt
16,0jrRDpGv6FFizspjJJoH5i,10:15 Saturday Night - 2005 Remaster,The Cure,Three Imaginary Boys,currently_listening,175.00,146.00,44.00,66.00,36.00,8B,1,2026-08-16T09:04:20.638Z,https://open.spotify.com/track/0jrRDpGv6FFizspjJJoH5i
17,7w04gIWA7mIbqR03Ghyrkl,Night Prowler,AC/DC,Highway to Hell,currently_listening,197.00,146.00,73.00,25.00,48.00,2B,1,2026-08-16T09:04:20.626Z,https://open.spotify.com/track/7w04gIWA7mIbqR03Ghyrkl
18,4X5nq5swAfwEMqDOOJpEA8,Biko,Peter Gabriel,Peter Gabriel 3: Melt (Remastered Version),currently_listening,179.00,106.00,36.00,53.00,17.00,9B,1,2026-08-16T09:04:20.619Z,https://open.spotify.com/track/4X5nq5swAfwEMqDOOJpEA8
