rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,0qM7QW0hUI8Lez3MAI3P5U,Gold,Sir Sly,You Haunt Me,currently_listening,90.00,162.00,86.00,49.00,27.00,3A,1,2026-07-13T00:40:09.998Z,https://open.spotify.com/track/0qM7QW0hUI8Lez3MAI3P5U
2,6Lto2Xj8y0U2bes2hmRMZu,Wonderful Nothing,Glass Animals,I Love You So F***ing Much,currently_listening,89.00,162.00,49.00,65.00,48.00,11A,1,2026-07-12T23:52:35.055Z,https://open.spotify.com/track/6Lto2Xj8y0U2bes2hmRMZu
3,3jfHclM5oNBSUvuBS7OgPj,Absolution,Switchfoot,Absolution,currently_listening,91.00,168.00,87.00,54.00,27.00,11B,1,2026-07-13T00:00:58.266Z,https://open.spotify.com/track/3jfHclM5oNBSUvuBS7OgPj
4,58hzFlHm1gKIJzRMSt0vWV,Carry On,"The Score,AWOLNATION",Carry On,currently_listening,92.00,169.00,74.00,55.00,40.00,8B,1,2026-07-13T00:56:42.127Z,https://open.spotify.com/track/58hzFlHm1gKIJzRMSt0vWV
5,5lZJxYTRlmSP7DTvcHRfbE,Illusion,Foreign Air,Good Morning Stranger,currently_listening,84.00,171.00,59.00,56.00,56.00,1A,1,2026-07-13T00:23:18.516Z,https://open.spotify.com/track/5lZJxYTRlmSP7DTvcHRfbE
6,1Z4bpgy49F5P9mQrp29OVK,Locked In A Cage,Brick + Mortar,Bangs,currently_listening,83.00,176.00,84.00,56.00,36.00,7B,1,2026-07-12T21:27:15.288Z,https://open.spotify.com/track/1Z4bpgy49F5P9mQrp29OVK
7,4ODBthPIrDroujDxRS7cWu,GREAT LAKES,cleopatrick,BUMMER,currently_listening,75.00,176.00,79.00,45.00,52.00,2B,1,2026-07-12T00:57:56.210Z,https://open.spotify.com/track/4ODBthPIrDroujDxRS7cWu
8,3IaAYtmN8T0YIYVqnxNnVz,Bad Guy,Eminem,The Marshall Mathers LP2 (Deluxe),currently_listening,83.00,165.00,80.00,50.00,35.00,8B,1,2026-07-12T20:18:57.734Z,https://open.spotify.com/track/3IaAYtmN8T0YIYVqnxNnVz
9,2wZBb1r0BYixj88W9VsrTl,Motel,MEG MYERS,Sorry,currently_listening,80.00,153.00,74.00,50.00,29.00,8B,1,2026-07-13T00:35:03.970Z,https://open.spotify.com/track/2wZBb1r0BYixj88W9VsrTl
10,3wWEuiTXp26PM2yZY98Yb4,Run,Rainbow Kitten Surprise,RKS,currently_listening,78.00,142.00,62.00,35.00,45.00,3A,1,2026-07-12T20:53:30.006Z,https://open.spotify.com/track/3wWEuiTXp26PM2yZY98Yb4
11,7a2UznTMFRCL7c1sscXDEv,SVO,Rainbow Kitten Surprise,Love Hate Music Box,currently_listening,76.00,138.00,49.00,59.00,30.00,2B,1,2026-07-13T00:57:33.581Z,https://open.spotify.com/track/7a2UznTMFRCL7c1sscXDEv
12,22MuigRpnwPjbAtUSTexb8,Jealous Sea,MEG MYERS,Take Me To The Disco,currently_listening,79.00,137.00,64.00,53.00,20.00,11A,1,2026-07-13T00:31:55.654Z,https://open.spotify.com/track/22MuigRpnwPjbAtUSTexb8
13,3nEotpBFeXq0OJstuHzwDP,God Needs The Devil,Jonah Kagen,God Needs The Devil,currently_listening,81.00,137.00,53.00,55.00,29.00,8A,1,2026-07-12T19:44:39.228Z,https://open.spotify.com/track/3nEotpBFeXq0OJstuHzwDP
14,6s3aITK4gMINveYvaD7qxs,Take Me To The Disco,MEG MYERS,Take Me To The Disco,currently_listening,87.00,124.00,56.00,48.00,20.00,5A,1,2026-07-13T00:32:19.134Z,https://open.spotify.com/track/6s3aITK4gMINveYvaD7qxs
15,5aramQ0GUxy5EMs7XI94GP,Hospital Beds - Live Rising,Cold War Kids,Hospital Beds (Live Rising),currently_listening,98.00,140.00,48.00,45.00,47.00,12B,1,2026-07-13T00:54:29.486Z,https://open.spotify.com/track/5aramQ0GUxy5EMs7XI94GP
