rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,5zNZZ7TD1bsx0s7zdEHHRW,Streets of Gold,3OH!3,Streets Of Gold,favorites_archive,123.00,148.00,65.00,57.00,26.00,3A,1,2026-07-12T00:59:01.983Z,https://open.spotify.com/track/5zNZZ7TD1bsx0s7zdEHHRW
2,1x075F39Q0zOhjPzPKgG8E,Baby By Me,"50 Cent,Ne-Yo",Before I Self-Destruct,favorites_archive,190.00,180.00,83.00,61.00,36.00,5A,1,2026-07-12T20:17:49.591Z,https://open.spotify.com/track/1x075F39Q0zOhjPzPKgG8E
3,4fF34Yf5KsfUbCORyLGpEj,Aaron's Party (Come Get It),Aaron Carter,Aaron's Party (Come Get It),favorites_archive,117.00,274.00,89.00,94.00,91.00,3B,1,2026-07-12T05:57:13.377Z,https://open.spotify.com/track/4fF34Yf5KsfUbCORyLGpEj
4,5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know,Arctic Monkeys,AM,favorites_archive,85.00,149.00,53.00,55.00,41.00,7B,1,2026-07-12T06:49:52.482Z,https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst
5,1sSNrDbb7hEptYOXaiOnUm,Climbing the Walls,Backstreet Boys,Never Gone,favorites_archive,91.00,159.00,87.00,49.00,23.00,7B,1,2026-07-12T06:31:47.779Z,https://open.spotify.com/track/1sSNrDbb7hEptYOXaiOnUm
6,4PvD06Pmbm2rHG2JjSlElF,Beggin For Thread,BANKS,Goddess (Deluxe),favorites_archive,108.00,170.00,70.00,60.00,40.00,4A,1,2026-07-13T00:30:09.178Z,https://open.spotify.com/track/4PvD06Pmbm2rHG2JjSlElF
7,6eO78rJBtNGmKDdVS0USVT,Heat Stroke,Black Math,Black Math,favorites_archive,120.00,182.00,85.00,73.00,24.00,4B,1,2026-07-12T20:40:04.168Z,https://open.spotify.com/track/6eO78rJBtNGmKDdVS0USVT
8,2WQAknZHrJAEQOFXe0F44P,Austin,Blake Shelton,Blake Shelton,favorites_archive,120.00,150.00,61.00,61.00,28.00,9B,1,2026-07-12T20:17:32.557Z,https://open.spotify.com/track/2WQAknZHrJAEQOFXe0F44P
9,3XHrTm6WE2BOHafLwTT3GR,Eyes on Fire,Blue Foundation,Life Of A Ghost,favorites_archive,145.00,129.00,38.00,54.00,37.00,2A,1,2026-07-12T19:36:45.819Z,https://open.spotify.com/track/3XHrTm6WE2BOHafLwTT3GR
10,4mbscHErDrJvBYZNRNjeSj,Hate Me,Blue October,Foiled,favorites_archive,93.00,134.00,69.00,46.00,19.00,9A,1,2026-07-12T20:09:01.541Z,https://open.spotify.com/track/4mbscHErDrJvBYZNRNjeSj
11,1lK5iIMKifrxERzS3iimJH,Breathe on Me,Britney Spears,In The Zone,favorites_archive,112.00,184.00,56.00,71.00,57.00,4A,1,2026-07-12T20:36:01.332Z,https://open.spotify.com/track/1lK5iIMKifrxERzS3iimJH
12,5vmRQ3zELMLUQPo2FLQ76x,Smalltown Boy,Bronski Beat,The Age of Consent,favorites_archive,135.00,221.00,58.00,69.00,94.00,4A,1,2026-07-12T21:43:14.942Z,https://open.spotify.com/track/5vmRQ3zELMLUQPo2FLQ76x
13,7vOLJwP5O0woITaIQWOoUX,Why,Bronski Beat,The Age of Consent,favorites_archive,138.00,196.00,78.00,57.00,61.00,4A,1,2026-07-12T21:43:21.200Z,https://open.spotify.com/track/7vOLJwP5O0woITaIQWOoUX
14,1Yi8XPnCPoimWwqxwm3uz9,Longshot,Catfish and the Bottlemen,Longshot,favorites_archive,103.00,172.00,77.00,48.00,47.00,9B,1,2026-07-13T00:25:35.366Z,https://open.spotify.com/track/1Yi8XPnCPoimWwqxwm3uz9
15,1Au3FoCGdYXtecmFc5s2l1,Coincide,Catfish and the Bottlemen,The Balance,favorites_archive,140.00,180.00,86.00,50.00,44.00,11A,1,2026-07-13T00:27:01.041Z,https://open.spotify.com/track/1Au3FoCGdYXtecmFc5s2l1
16,21slhimb1blAmvpjq0l8rh,Conversation,Catfish and the Bottlemen,The Balance,favorites_archive,99.00,174.00,89.00,50.00,35.00,1B,1,2026-07-13T00:25:01.073Z,https://open.spotify.com/track/21slhimb1blAmvpjq0l8rh
17,3LirkthakHFNj98PIO9oan,Mission,Catfish and the Bottlemen,The Balance,favorites_archive,128.00,165.00,84.00,40.00,41.00,1A,1,2026-07-13T00:24:25.168Z,https://open.spotify.com/track/3LirkthakHFNj98PIO9oan
18,5ykbOijJEfRhuo2Td1m0Qd,7,Catfish and the Bottlemen,The Ride,favorites_archive,155.00,152.00,71.00,53.00,28.00,6B,1,2026-07-12T04:38:34.978Z,https://open.spotify.com/track/5ykbOijJEfRhuo2Td1m0Qd
19,5j4hSQH0KaAc8f6cimnXIT,Fire Away,Chris Stapleton,Traveller,favorites_archive,116.00,104.00,30.00,56.00,18.00,11B,1,2026-07-12T20:39:45.849Z,https://open.spotify.com/track/5j4hSQH0KaAc8f6cimnXIT
20,3qsLiIMrQAq12sY3kWAoWm,Low Life,Crobot,Motherbrain,favorites_archive,76.00,222.00,91.00,55.00,76.00,2B,1,2026-07-12T00:58:17.643Z,https://open.spotify.com/track/3qsLiIMrQAq12sY3kWAoWm
21,0grO1Y8vkaJqWu4im2fZy2,All I Wanted,Daughter,Music From Before The Storm,favorites_archive,166.00,81.00,19.00,51.00,11.00,3B,1,2026-07-12T20:16:51.996Z,https://open.spotify.com/track/0grO1Y8vkaJqWu4im2fZy2
22,0ue1SRXyvMme9iCSSWcuWb,Numbers,Daughter,Not to Disappear,favorites_archive,131.00,134.00,71.00,42.00,21.00,11A,1,2026-07-12T01:09:37.567Z,https://open.spotify.com/track/0ue1SRXyvMme9iCSSWcuWb
23,2X8DqCikgiVk3214hbHEpz,Doing The Right Thing,Daughter,Not To Disappear,favorites_archive,136.00,118.00,65.00,41.00,12.00,5A,1,2026-07-12T01:10:22.016Z,https://open.spotify.com/track/2X8DqCikgiVk3214hbHEpz
24,2LadlqFWLPRJAQu3PEe9CN,Be On Your Way,Daughter,Stereo Mind Game,favorites_archive,102.00,127.00,57.00,47.00,23.00,9A,1,2026-07-12T20:35:06.110Z,https://open.spotify.com/track/2LadlqFWLPRJAQu3PEe9CN
25,14iMoEpgyNjJ3y7bYJ9TTG,Future Lover,Daughter,Stereo Mind Game,favorites_archive,158.00,212.00,70.00,59.00,83.00,9A,1,2026-07-12T19:39:50.436Z,https://open.spotify.com/track/14iMoEpgyNjJ3y7bYJ9TTG
26,4bTkbxCPOgyzHmiApGNtKd,Home,Daughter,Wild Youth,favorites_archive,104.00,136.00,43.00,68.00,25.00,6A,1,2026-07-12T21:45:30.093Z,https://open.spotify.com/track/4bTkbxCPOgyzHmiApGNtKd
27,3Myb5tcPivRHsoz1jw8GKr,Codes and Keys,Death Cab for Cutie,Codes and Keys,favorites_archive,119.00,191.00,87.00,57.00,47.00,8B,1,2026-07-12T06:34:45.039Z,https://open.spotify.com/track/3Myb5tcPivRHsoz1jw8GKr
28,7DkTneByAopqOjXFG6XlZK,No Room in Frame,Death Cab for Cutie,Kintsugi,favorites_archive,125.00,180.00,72.00,64.00,44.00,12B,1,2026-07-12T06:34:57.790Z,https://open.spotify.com/track/7DkTneByAopqOjXFG6XlZK
29,5Ar7TB13XZYF6sDb6RoyWz,Fish Paste,Die Antwoord,$O$,favorites_archive,95.00,198.00,49.00,87.00,62.00,2B,1,2026-07-13T09:06:03.540Z,https://open.spotify.com/track/5Ar7TB13XZYF6sDb6RoyWz
30,15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,"Eminem,Rihanna",Recovery,favorites_archive,87.00,232.00,93.00,75.00,64.00,6B,1,2026-07-12T21:30:29.881Z,https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED
31,6KRi6CBUitENJB4HQbSVSD,Escape,Enrique Iglesias,Escape,favorites_archive,126.00,251.00,85.00,78.00,88.00,1B,1,2026-07-12T06:52:25.797Z,https://open.spotify.com/track/6KRi6CBUitENJB4HQbSVSD
32,1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - 2005 Remaster,"Eurythmics,Annie Lennox,Dave Stewart",Sweet Dreams (Are Made Of This),favorites_archive,125.00,228.00,71.00,69.00,88.00,5A,1,2026-07-12T21:42:53.731Z,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS
33,3y4LxiYMgDl4RethdzpmNe,Breathe,Faith Hill,Breathe,favorites_archive,137.00,131.00,50.00,53.00,28.00,9B,1,2026-07-12T20:35:46.122Z,https://open.spotify.com/track/3y4LxiYMgDl4RethdzpmNe
34,6EfZCB2wudriyD1vDjuAZ9,Bird Song,Florence + The Machine,Lungs (Deluxe Edition),favorites_archive,120.00,124.00,53.00,46.00,25.00,8B,1,2026-07-12T01:02:33.977Z,https://open.spotify.com/track/6EfZCB2wudriyD1vDjuAZ9
35,32CpKhS5v5SFgfbXmdpsi7,Hospital Beds,Florence + The Machine,Lungs (Deluxe Edition),favorites_archive,96.00,144.00,46.00,67.00,31.00,10A,1,2026-07-15T20:34:33.792Z,https://open.spotify.com/track/32CpKhS5v5SFgfbXmdpsi7
36,3GS8qG28p2RF6M7S5rFdx5,Howl,Florence + The Machine,Lungs (Deluxe Edition),favorites_archive,130.00,172.00,85.00,58.00,29.00,8B,1,2026-07-12T21:45:15.613Z,https://open.spotify.com/track/3GS8qG28p2RF6M7S5rFdx5
37,5l8oNQsDDPNFUIV5M4lzRJ,Free Animal,Foreign Air,Free Animal,favorites_archive,80.00,155.00,58.00,58.00,39.00,4A,1,2026-07-12T19:39:27.487Z,https://open.spotify.com/track/5l8oNQsDDPNFUIV5M4lzRJ
38,0Hsc0sIaxOxXBZbT3ms2oj,In The Wee Small Hours Of The Morning - Remastered 1998,Frank Sinatra,In The Wee Small Hours,favorites_archive,118.00,45.00,9.00,29.00,7.00,8B,1,2026-07-12T21:33:19.119Z,https://open.spotify.com/track/0Hsc0sIaxOxXBZbT3ms2oj
39,7Eb9i3xmiLuY5MiY6AhzzL,Last One To Know,Gavin Adcock,Last One To Know,favorites_archive,102.00,202.00,66.00,78.00,58.00,4B,1,2026-07-12T21:35:05.019Z,https://open.spotify.com/track/7Eb9i3xmiLuY5MiY6AhzzL
40,22YvUcGzVLjtK3u2fSMAZr,Need To,Gavin Adcock,Own Worst Enemy,favorites_archive,146.00,170.00,40.00,77.00,53.00,10B,1,2026-07-12T21:34:14.414Z,https://open.spotify.com/track/22YvUcGzVLjtK3u2fSMAZr
41,0No5Hr1LxZjJHGsQSTy2bm,I Can't Dance - 2007 Remaster,Genesis,We Can't Dance (2007 Remaster),favorites_archive,108.00,235.00,53.00,91.00,91.00,5B,1,2026-07-12T21:29:45.082Z,https://open.spotify.com/track/0No5Hr1LxZjJHGsQSTy2bm
42,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,Dreamland,favorites_archive,81.00,182.00,53.00,76.00,53.00,1B,1,2026-07-12T21:05:00.878Z,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
43,7LbfuQVct78YoghmoPtsQ8,Casey Jones - 2013 Remaster,Grateful Dead,Workingman's Dead,favorites_archive,100.00,191.00,41.00,67.00,83.00,8B,1,2026-07-12T06:33:30.602Z,https://open.spotify.com/track/7LbfuQVct78YoghmoPtsQ8
44,6HJxf2Vnveoo5Hm7sZ7qOp,Crash,Gwen Stefani,Love. Angel. Music. Baby. (Deluxe Version),favorites_archive,126.00,265.00,93.00,79.00,93.00,11B,1,2026-07-12T20:37:56.939Z,https://open.spotify.com/track/6HJxf2Vnveoo5Hm7sZ7qOp
45,74RBxG1kzNOYOgDGn5RO8S,Greenback Boogie,Ima Robot,Greenback Boogie,favorites_archive,143.00,137.00,54.00,55.00,28.00,6B,1,2026-07-12T19:47:20.144Z,https://open.spotify.com/track/74RBxG1kzNOYOgDGn5RO8S
46,7mMlbJlXXo2mRtQ4R9sIzD,Hide and Seek,Imogen Heap,Speak for Yourself,favorites_archive,121.00,71.00,17.00,45.00,9.00,11B,1,2026-07-12T21:05:52.122Z,https://open.spotify.com/track/7mMlbJlXXo2mRtQ4R9sIzD
47,15TRZ6Lpfts7Oowxh7Ic8a,Losing Keys,Jack Johnson,Sleep Through The Static,favorites_archive,73.00,95.00,8.00,69.00,18.00,8B,1,2026-07-12T21:33:57.938Z,https://open.spotify.com/track/15TRZ6Lpfts7Oowxh7Ic8a
48,4OI0mQIFAvlHFm2PPSOG0R,Did You Get My Message,Jason Mraz,Mr. A-Z,favorites_archive,170.00,193.00,75.00,53.00,65.00,3B,1,2026-07-12T06:39:23.979Z,https://open.spotify.com/track/4OI0mQIFAvlHFm2PPSOG0R
49,6VeZ970uI0Yi6sjBgyFBrp,Cheeseburger In Paradise,Jimmy Buffett,Son Of A Son Of A Sailor,favorites_archive,140.00,236.00,69.00,70.00,97.00,10B,1,2026-07-12T06:05:58.412Z,https://open.spotify.com/track/6VeZ970uI0Yi6sjBgyFBrp
50,3nEotpBFeXq0OJstuHzwDP,God Needs The Devil,Jonah Kagen,God Needs The Devil,favorites_archive,81.00,137.00,53.00,55.00,29.00,8A,1,2026-07-12T19:44:39.228Z,https://open.spotify.com/track/3nEotpBFeXq0OJstuHzwDP
51,3k3FEwVuaokMi13Ud4nnYm,Blood In The Cut,K.Flay,Crush Me,favorites_archive,130.00,207.00,66.00,77.00,64.00,10A,1,2026-07-12T20:35:28.415Z,https://open.spotify.com/track/3k3FEwVuaokMi13Ud4nnYm
