packet_index,slot,seed_track_id,track_id,tier,name,artists,album,bpm,mood_score,key_step,distance,spotify_url
1,1,1kDc700KN1jUerY6t09FNm,1kDc700KN1jUerY6t09FNm,yes,Oxygen,Catfish and the Bottlemen,The Ride,125.000,159.000,1,0.000000,https://open.spotify.com/track/1kDc700KN1jUerY6t09FNm
1,2,1kDc700KN1jUerY6t09FNm,5fpZBXuorlUCC9SP6LVuw3,yes,West Coast,Lana Del Rey,Ultraviolence,123.000,158.000,1,0.094002,https://open.spotify.com/track/5fpZBXuorlUCC9SP6LVuw3
1,3,1kDc700KN1jUerY6t09FNm,3LirkthakHFNj98PIO9oan,yes,Mission,Catfish and the Bottlemen,The Balance,128.000,165.000,1,0.239306,https://open.spotify.com/track/3LirkthakHFNj98PIO9oan
1,4,1kDc700KN1jUerY6t09FNm,0fFPWoqcdEDfIpS7wk6shV,yes,Holy Ghost,The Neighbourhood,(((((ultraSOUND))))),125.000,148.000,1,0.366107,https://open.spotify.com/track/0fFPWoqcdEDfIpS7wk6shV
2,1,6aCBjSb87RizdH8lVBIRW7,6aCBjSb87RizdH8lVBIRW7,on_repeat,Good Things Go,Linkin Park,From Zero,127.000,161.000,1,0.000000,https://open.spotify.com/track/6aCBjSb87RizdH8lVBIRW7
2,2,6aCBjSb87RizdH8lVBIRW7,1owBzz8aYKe0bDJlAJt2Yn,yes,Breakin' up,The Palms,Sway,130.000,163.000,1,0.146900,https://open.spotify.com/track/1owBzz8aYKe0bDJlAJt2Yn
2,3,6aCBjSb87RizdH8lVBIRW7,1HtrQWNpyEbGMEiwCjmPdi,yes,Curbstomp,MEG MYERS,Daughter in the Choir,123.000,153.000,1,0.317653,https://open.spotify.com/track/1HtrQWNpyEbGMEiwCjmPdi
2,4,6aCBjSb87RizdH8lVBIRW7,3850dYVgOFIXJh5U4BFEWH,yes,Hung Up,Madonna,Confessions on a Dance Floor,125.000,171.000,1,0.342884,https://open.spotify.com/track/3850dYVgOFIXJh5U4BFEWH
3,1,2A73XBDBQgmdXO8VsXPWIs,2A73XBDBQgmdXO8VsXPWIs,yes,Rumour Has It,Adele,21,120.000,193.000,1,0.000000,https://open.spotify.com/track/2A73XBDBQgmdXO8VsXPWIs
3,2,2A73XBDBQgmdXO8VsXPWIs,1BXDOKw1wayAznyNIfHmv7,yes,Grey,Two Feet,Grey,120.000,186.000,1,0.230998,https://open.spotify.com/track/1BXDOKw1wayAznyNIfHmv7
3,3,2A73XBDBQgmdXO8VsXPWIs,0TkKxuAP37iUqSzQMi3CsL,yes,Poison,MEG MYERS,Daughter in the Choir,123.000,200.000,1,0.265208,https://open.spotify.com/track/0TkKxuAP37iUqSzQMi3CsL
3,4,2A73XBDBQgmdXO8VsXPWIs,39bEAYKI9sRQ1OvPYPmFvq,yes,"Lessons In Love (All Day, All Night)","Neon Trees,Kaskade",Picture Show,128.000,199.000,1,0.399895,https://open.spotify.com/track/39bEAYKI9sRQ1OvPYPmFvq
4,1,1nUC2uuKUl49tDwQ1m4A1J,1nUC2uuKUl49tDwQ1m4A1J,on_repeat,BURNER PHONE,cleopatrick,SCRAP,136.000,181.000,1,0.000000,https://open.spotify.com/track/1nUC2uuKUl49tDwQ1m4A1J
4,2,1nUC2uuKUl49tDwQ1m4A1J,7jjX6UPbGwK9AMGjkeSwPj,yes,Are You Ten Years Ago,Tegan and Sara,The Con,138.000,185.000,1,0.157354,https://open.spotify.com/track/7jjX6UPbGwK9AMGjkeSwPj
4,3,1nUC2uuKUl49tDwQ1m4A1J,5iRv1aH4eNai45KfhjtJ6n,yes,When the Love is Gone,Des Rocs,When the Love is Gone,141.000,172.000,1,0.366338,https://open.spotify.com/track/5iRv1aH4eNai45KfhjtJ6n
4,4,1nUC2uuKUl49tDwQ1m4A1J,2mNGL7mZILSqZHxGboJaO9,yes,COMË N GO,Yeat,DANGEROUS SUMMER,145.000,179.000,1,0.394108,https://open.spotify.com/track/2mNGL7mZILSqZHxGboJaO9
5,1,2d4e45fmUnguxh6yqC7gNT,2d4e45fmUnguxh6yqC7gNT,yes,Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,136.000,209.000,1,0.000000,https://open.spotify.com/track/2d4e45fmUnguxh6yqC7gNT
5,2,2d4e45fmUnguxh6yqC7gNT,0babKgXwpYCxbmgTc2Ikrh,on_repeat,The Way She Looks,Two Feet,The Way She Looks,135.000,212.000,1,0.107075,https://open.spotify.com/track/0babKgXwpYCxbmgTc2Ikrh
