packet_index,slot,seed_track_id,track_id,tier,name,artists,album,bpm,mood_score,key_step,distance,spotify_url
60,1,2QhURnm7mQDxBb5jWkbDug,2QhURnm7mQDxBb5jWkbDug,maybe,Don't Panic,Coldplay,Parachutes,122.000,166.000,1,0.000000,https://open.spotify.com/track/2QhURnm7mQDxBb5jWkbDug
60,2,2QhURnm7mQDxBb5jWkbDug,1N96ja5vHzX8cFr8rExKED,maybe,The Weight Of Love,Snow Patrol,Fallen Empires,124.000,167.000,1,0.143454,https://open.spotify.com/track/1N96ja5vHzX8cFr8rExKED
60,3,2QhURnm7mQDxBb5jWkbDug,21fq2CKL93mfnYHItpitxg,maybe,What You Wanted,OneRepublic,Native,120.000,164.000,1,0.155362,https://open.spotify.com/track/21fq2CKL93mfnYHItpitxg
60,4,2QhURnm7mQDxBb5jWkbDug,2ZJ0357KXCl3WTCwsPQWdQ,maybe,Story - Non-LP Version,Maroon 5,The B-Side Collection,120.000,170.000,1,0.195884,https://open.spotify.com/track/2ZJ0357KXCl3WTCwsPQWdQ
61,1,5weqqLD5pDadqumvcrRCVA,5weqqLD5pDadqumvcrRCVA,maybe,Kelsey,Metro Station,Metro Station,120.000,198.000,1,0.000000,https://open.spotify.com/track/5weqqLD5pDadqumvcrRCVA
61,2,5weqqLD5pDadqumvcrRCVA,6OqdF0vHI9xkqswI7EK0cD,maybe,Cowboy Casanova,Carrie Underwood,Play On,120.000,200.000,1,0.067729,https://open.spotify.com/track/6OqdF0vHI9xkqswI7EK0cD
61,3,5weqqLD5pDadqumvcrRCVA,3Myb5tcPivRHsoz1jw8GKr,maybe,Codes and Keys,Death Cab for Cutie,Codes and Keys,119.000,191.000,1,0.246711,https://open.spotify.com/track/3Myb5tcPivRHsoz1jw8GKr
61,4,5weqqLD5pDadqumvcrRCVA,2j0zExWFB0PowLOeoZosjK,maybe,Touch Too Much,AC/DC,Highway to Hell,123.000,204.000,1,0.288696,https://open.spotify.com/track/2j0zExWFB0PowLOeoZosjK
62,1,6dzBzOOeBpTvv5iotTf2HJ,6dzBzOOeBpTvv5iotTf2HJ,maybe,Kiss,Presley Regier,Kiss,125.000,224.000,1,0.000000,https://open.spotify.com/track/6dzBzOOeBpTvv5iotTf2HJ
62,2,6dzBzOOeBpTvv5iotTf2HJ,1TfqLAPs4K3s2rJMoCokcS,maybe,Sweet Dreams (Are Made of This) - 2005 Remaster,"Eurythmics,Annie Lennox,Dave Stewart",Sweet Dreams (Are Made Of This),125.000,228.000,1,0.134328,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS
62,3,6dzBzOOeBpTvv5iotTf2HJ,1SF8piqsZWn86DajVKih8F,maybe,Kacey Talk,YoungBoy Never Broke Again,Top,127.000,226.000,1,0.150073,https://open.spotify.com/track/1SF8piqsZWn86DajVKih8F
62,4,6dzBzOOeBpTvv5iotTf2HJ,3eNSlXKgFkmekLIvyYTRKy,maybe,You're Not in on the Joke,Cobra Starship,Hot Mess,130.000,224.000,1,0.335513,https://open.spotify.com/track/3eNSlXKgFkmekLIvyYTRKy
63,1,7a2utEMamL25CDBoCz5aGr,7a2utEMamL25CDBoCz5aGr,maybe,Found You Out,Sir Sly,You Haunt Me,127.000,185.000,1,0.000000,https://open.spotify.com/track/7a2utEMamL25CDBoCz5aGr
63,2,7a2utEMamL25CDBoCz5aGr,2h5bz3snLAvbXJhMIrTmSY,maybe,Most Of All,Fuel,Natural Selection,127.000,184.000,1,0.035019,https://open.spotify.com/track/2h5bz3snLAvbXJhMIrTmSY
63,3,7a2utEMamL25CDBoCz5aGr,5VJe8OKFcPBBjNEAPUeDuJ,maybe,Devil Like Me,Rainbow Kitten Surprise,Seven + Mary,123.000,187.000,1,0.272396,https://open.spotify.com/track/5VJe8OKFcPBBjNEAPUeDuJ
63,4,7a2utEMamL25CDBoCz5aGr,2YYjiwYdhHGVoTy12yjuwh,maybe,Heavy Rotation,Ciara,Basic Instinct,132.000,183.000,1,0.336419,https://open.spotify.com/track/2YYjiwYdhHGVoTy12yjuwh
64,1,1NrJYpdAi7uosDRPmSYrsG,1NrJYpdAi7uosDRPmSYrsG,maybe,Apologize,OneRepublic,Dreaming Out Loud,118.000,183.000,1,0.000000,https://open.spotify.com/track/1NrJYpdAi7uosDRPmSYrsG
64,2,1NrJYpdAi7uosDRPmSYrsG,55lijDD6OAjLFFUHU9tcDm,maybe,WHERE IS MY HUSBAND,RAYE,WHERE IS MY HUSBAND!,116.000,180.000,1,0.165249,https://open.spotify.com/track/55lijDD6OAjLFFUHU9tcDm
64,3,1NrJYpdAi7uosDRPmSYrsG,6itF8MROxH2MKs5oBuvUTz,maybe,We Fly High - Ballin',Jim Jones,M.O.B. Members of Byrdgang,120.000,186.000,1,0.165249,https://open.spotify.com/track/6itF8MROxH2MKs5oBuvUTz
64,4,1NrJYpdAi7uosDRPmSYrsG,4g5MorMCNI2aOwEBSov4RT,maybe,Malt Liquor,Lewis Del Mar,Lewis Del Mar,122.000,178.000,1,0.310194,https://open.spotify.com/track/4g5MorMCNI2aOwEBSov4RT
65,1,7HXzuAd8UNJj2yCAS0NWbB,7HXzuAd8UNJj2yCAS0NWbB,maybe,Opening Night,"Arctic Monkeys,War Child Records",Opening Night,123.000,183.000,1,0.000000,https://open.spotify.com/track/7HXzuAd8UNJj2yCAS0NWbB
65,2,7HXzuAd8UNJj2yCAS0NWbB,5hlePSjUllP2HQrhRyjdio,maybe,Hermit the Frog,MARINA,The Family Jewels,122.000,181.000,1,0.092442,https://open.spotify.com/track/5hlePSjUllP2HQrhRyjdio
65,3,7HXzuAd8UNJj2yCAS0NWbB,6XcfKZvJio9Z0fQy11GnNX,maybe,broken,lovelytheband,finding it hard to smile,123.000,191.000,1,0.269600,https://open.spotify.com/track/6XcfKZvJio9Z0fQy11GnNX
65,4,7HXzuAd8UNJj2yCAS0NWbB,3EB5N4DHgM7Ktk8yy1EgYY,maybe,Stockholm,Atlas Genius,Stockholm,125.000,173.000,1,0.359972,https://open.spotify.com/track/3EB5N4DHgM7Ktk8yy1EgYY
66,1,5wU6jk9kxYzFGUpeE6T2Q5,5wU6jk9kxYzFGUpeE6T2Q5,maybe,Crystals,Of Monsters and Men,Beneath The Skin,132.000,166.000,1,0.000000,https://open.spotify.com/track/5wU6jk9kxYzFGUpeE6T2Q5
