rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
1,6Lto2Xj8y0U2bes2hmRMZu,Wonderful Nothing,Glass Animals,I Love You So F***ing Much,on_repeat,162.00,49.00,65.00,48.00,89.00,11A,1,3.07,3.000,0.9072,0.1386,1.0371,4.9540,https://open.spotify.com/track/6Lto2Xj8y0U2bes2hmRMZu
2,0ue1SRXyvMme9iCSSWcuWb,Numbers,Daughter,Not to Disappear,on_repeat,134.00,71.00,42.00,21.00,131.00,11A,1,0.00,3.000,0.9999,0.1386,0.9711,4.7738,https://open.spotify.com/track/0ue1SRXyvMme9iCSSWcuWb
3,2X8DqCikgiVk3214hbHEpz,Doing The Right Thing,Daughter,Not To Disappear,on_repeat,118.00,65.00,41.00,12.00,136.00,5A,1,3.09,3.000,0.9067,0.1386,0.9906,4.7311,https://open.spotify.com/track/2X8DqCikgiVk3214hbHEpz
4,4Mqs0h95KAeNiGp7u4udlt,Love Reign O'er Me,The Who,Quadrophenia (Super Deluxe Edition),on_repeat,124.00,72.00,30.00,22.00,116.00,3B,1,3.05,3.000,0.9078,0.1386,0.9725,4.6461,https://open.spotify.com/track/4Mqs0h95KAeNiGp7u4udlt
5,7w57O4o0xCTn9YpKuaPZDd,The Great Beyond,R.E.M.,In Time: The Best Of R.E.M. 1988-2003,on_repeat,126.00,75.00,33.00,18.00,110.00,6B,1,3.09,3.000,0.9066,0.1386,0.9624,4.5960,https://open.spotify.com/track/7w57O4o0xCTn9YpKuaPZDd
6,54g63GAn77x9NcjiLzy7cW,Queen Of Spades,Styx,Pieces Of Eight,on_repeat,83.00,45.00,26.00,12.00,135.00,12A,1,3.05,3.000,0.9078,0.1386,0.9610,4.5911,https://open.spotify.com/track/54g63GAn77x9NcjiLzy7cW
7,5HAjss9faCAowGY8dM24r6,Is There Anybody Out There,Pink Floyd,The Wall,on_repeat,42.00,7.00,31.00,4.00,119.00,8A,1,3.05,3.000,0.9078,0.1386,0.9589,4.5811,https://open.spotify.com/track/5HAjss9faCAowGY8dM24r6
8,3TO7bbrUKrOSPGRTB5MeCz,Time,Pink Floyd,The Dark Side of the Moon,on_repeat,120.00,48.00,36.00,36.00,120.00,11B,1,3.09,3.000,0.9067,0.1386,0.9522,4.5475,https://open.spotify.com/track/3TO7bbrUKrOSPGRTB5MeCz
9,35Bv4QuokBrmWya208VcK2,SCARING ME,cleopatrick,DOOM,on_repeat,139.00,66.00,59.00,14.00,135.00,12A,1,10.11,3.000,0.7480,0.1386,0.9581,4.3479,https://open.spotify.com/track/35Bv4QuokBrmWya208VcK2
10,4B0cJGASxVICLW2AsBZhiE,LABOUR - the cacophony,Paris Paloma,LABOUR (the cacophony),on_repeat,161.00,79.00,53.00,29.00,168.00,10A,1,9.73,3.000,0.7551,0.1386,0.9554,4.3456,https://open.spotify.com/track/4B0cJGASxVICLW2AsBZhiE
