rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
1,1nUC2uuKUl49tDwQ1m4A1J,BURNER PHONE,cleopatrick,SCRAP,on_repeat,181.00,91.00,44.00,46.00,136.00,9A,1,3.04,3.000,0.9080,0.1386,1.0487,5.0107,https://open.spotify.com/track/1nUC2uuKUl49tDwQ1m4A1J
2,4xigPf2sigSPmuFH3qCelB,Genius,"Sia,Diplo,Labrinth,LSD","LABRINTH, SIA & DIPLO PRESENT... LSD",on_repeat,178.00,62.00,60.00,56.00,159.00,10A,1,5.78,3.000,0.8384,0.1386,1.0344,4.8342,https://open.spotify.com/track/4xigPf2sigSPmuFH3qCelB
3,0QVqdSLCPskZiJpcYQTgvi,Family,Badflower,Family,on_repeat,169.00,67.00,61.00,41.00,150.00,2A,1,3.04,3.000,0.9080,0.1386,0.9998,4.7771,https://open.spotify.com/track/0QVqdSLCPskZiJpcYQTgvi
4,5916POJDlPQRBbe1SJc7uK,Good Girl,Paris Paloma,Good Girl,on_repeat,166.00,77.00,62.00,27.00,129.00,9B,1,3.09,3.000,0.9067,0.1386,0.9784,4.6728,https://open.spotify.com/track/5916POJDlPQRBbe1SJc7uK
5,0FaTDETtzCRxYIf3noMnsF,Dandelion,Daughter,Stereo Mind Game,on_repeat,178.00,63.00,55.00,60.00,158.00,10A,1,9.72,3.000,0.7552,0.1386,1.0205,4.6420,https://open.spotify.com/track/0FaTDETtzCRxYIf3noMnsF
6,660u9agQuREtEDmETVWSts,Three Imaginary Boys - 2005 Remaster,The Cure,Three Imaginary Boys (Deluxe Edition),on_repeat,171.00,63.00,60.00,48.00,170.00,10A,1,3.09,3.000,0.9066,0.1386,0.9696,4.6305,https://open.spotify.com/track/660u9agQuREtEDmETVWSts
7,2mpXcmYxyKLZSg41JRmJFR,Lost Your Ghost,Two Feet,Lost Your Ghost,on_repeat,166.00,79.00,53.00,34.00,125.00,5A,1,3.06,3.000,0.9073,0.1386,0.9647,4.6082,https://open.spotify.com/track/2mpXcmYxyKLZSg41JRmJFR
8,5fbQCQt91LsVgXusFS0CCD,Disorder - 2007 Remaster,Joy Division,Unknown Pleasures (Collector's Edition),on_repeat,186.00,80.00,32.00,74.00,85.00,3A,1,3.09,3.000,0.9067,0.1386,0.9645,4.6062,https://open.spotify.com/track/5fbQCQt91LsVgXusFS0CCD
9,5N7Cdi5Te9E3rejjuyRwll,Your Chaos,NOMARKMORE,Exhibition Number Zero,on_repeat,184.00,45.00,74.00,65.00,124.00,2B,1,3.07,3.000,0.9070,0.1386,0.9640,4.6043,https://open.spotify.com/track/5N7Cdi5Te9E3rejjuyRwll
10,2mNGL7mZILSqZHxGboJaO9,COMË N GO,Yeat,DANGEROUS SUMMER,on_repeat,179.00,59.00,90.00,30.00,145.00,8A,1,3.09,3.000,0.9066,0.1386,0.9635,4.6014,https://open.spotify.com/track/2mNGL7mZILSqZHxGboJaO9
