rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
1,7vZ9v4c0ft0ro30awMw32V,Cryogen,Muse,The Wow! Signal,on_repeat,185.00,96.00,39.00,50.00,133.00,9B,1,0.05,3.000,0.9983,0.1386,1.0423,5.1210,https://open.spotify.com/track/7vZ9v4c0ft0ro30awMw32V
2,4mHEAiQ3TqXizTGJEMZrEo,Monroe,Angus & Julia Stone,Monroe,on_repeat,234.00,62.00,79.00,93.00,160.00,5A,1,0.05,3.000,0.9983,0.1386,1.0289,5.0555,https://open.spotify.com/track/4mHEAiQ3TqXizTGJEMZrEo
3,2Ojr742JINM4QEOk7vQGEh,Never Have I Ever,Rainbow Kitten Surprise,Never Have I Ever,on_repeat,195.00,71.00,68.00,56.00,130.00,12A,1,1.30,3.000,0.9586,0.1386,1.0296,4.9975,https://open.spotify.com/track/2Ojr742JINM4QEOk7vQGEh
4,5jGxeAkNbep75x8JLeb52H,Upside Down & Inside Out,OK Go,Hungry Ghosts,on_repeat,192.00,82.00,56.00,54.00,93.00,8B,1,0.05,3.000,0.9983,0.1386,1.0129,4.9765,https://open.spotify.com/track/5jGxeAkNbep75x8JLeb52H
5,6HZdbb05lEXLvcmee3ZXO2,Don't Stay,Linkin Park,Meteora,on_repeat,217.00,100.00,49.00,68.00,90.00,12A,1,1.30,3.000,0.9584,0.1386,1.0193,4.9471,https://open.spotify.com/track/6HZdbb05lEXLvcmee3ZXO2
6,6aBmVhShJV8rY9YAh4xxo6,Shadow On The Sea,CHAMPS,The Hard Interchange,on_repeat,245.00,81.00,83.00,81.00,110.00,9A,1,1.30,3.000,0.9585,0.1386,1.0156,4.9295,https://open.spotify.com/track/6aBmVhShJV8rY9YAh4xxo6
7,0NdTUS4UiNYCNn5FgVqKQY,Snap Out Of It,Arctic Monkeys,AM,on_repeat,224.00,64.00,73.00,87.00,130.00,4A,1,1.27,3.000,0.9595,0.1386,1.0074,4.8911,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY
8,1LPGwuFgIzbJoShfDdw7MY,Youth,Glass Animals,How To Be A Human Being,on_repeat,216.00,72.00,65.00,79.00,96.00,8A,1,1.28,3.000,0.9591,0.1386,1.0011,4.8600,https://open.spotify.com/track/1LPGwuFgIzbJoShfDdw7MY
9,0babKgXwpYCxbmgTc2Ikrh,The Way She Looks,Two Feet,The Way She Looks,on_repeat,212.00,90.00,54.00,68.00,135.00,11A,1,1.30,3.000,0.9584,0.1386,0.9895,4.8026,https://open.spotify.com/track/0babKgXwpYCxbmgTc2Ikrh
10,6n8TMVyFKoUmDc4apxceRD,Breaking the Habit,Linkin Park,Meteora,on_repeat,204.00,87.00,58.00,59.00,100.00,9A,1,1.30,3.000,0.9584,0.1386,0.9748,4.7310,https://open.spotify.com/track/6n8TMVyFKoUmDc4apxceRD
11,6voIJ7OWwRabSZDC77D5Hp,Trouble’s Coming,Royal Blood,Typhoons,on_repeat,228.00,69.00,78.00,81.00,112.00,12A,1,1.30,3.000,0.9585,0.1386,0.9661,4.6892,https://open.spotify.com/track/6voIJ7OWwRabSZDC77D5Hp
12,4Yf5bqU3NK4kNOypcrLYwU,Faint,Linkin Park,Meteora,on_repeat,214.00,98.00,55.00,61.00,135.00,12B,1,1.30,3.000,0.9584,0.1386,0.9566,4.6427,https://open.spotify.com/track/4Yf5bqU3NK4kNOypcrLYwU
13,2A73XBDBQgmdXO8VsXPWIs,Rumour Has It,Adele,21,yes,193.00,75.00,61.00,57.00,120.00,8B,1,0.18,1.500,0.9942,0.1386,1.0406,2.5532,https://open.spotify.com/track/2A73XBDBQgmdXO8VsXPWIs
14,1BXDOKw1wayAznyNIfHmv7,Grey,Two Feet,Grey,yes,186.00,72.00,56.00,58.00,120.00,8B,1,0.08,1.500,0.9974,0.1386,1.0385,2.5506,https://open.spotify.com/track/1BXDOKw1wayAznyNIfHmv7
15,4pEU0NT64oiem9lDT7nuJn,Running In Circles,Dead Poet Society,FISSION,yes,210.00,84.00,62.00,64.00,142.00,5B,1,1.28,1.500,0.9590,0.1386,1.0488,2.5457,https://open.spotify.com/track/4pEU0NT64oiem9lDT7nuJn
16,2d4e45fmUnguxh6yqC7gNT,Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,yes,209.00,91.00,67.00,51.00,136.00,10A,1,1.29,1.500,0.9588,0.1386,1.0483,2.5443,https://open.spotify.com/track/2d4e45fmUnguxh6yqC7gNT
17,03mN5X7xFtv6uuBGsB43aY,Sixteen,Rainbow Kitten Surprise,Sixteen,yes,199.00,85.00,52.00,62.00,143.00,3B,1,1.30,1.500,0.9586,0.1386,1.0481,2.5438,https://open.spotify.com/track/03mN5X7xFtv6uuBGsB43aY
18,1aItKhUXwDGVNQIMdsEv5u,Fake It,Seether,Finding Beauty In Negative Spaces (Bonus Track Version),yes,221.00,95.00,61.00,65.00,132.00,4B,1,1.28,1.500,0.9591,0.1386,1.0478,2.5434,https://open.spotify.com/track/1aItKhUXwDGVNQIMdsEv5u
19,6OyKBwLzq4h15XmxeWf5n4,Cute Without The 'E' (Cut From The Team) - Remastered 2019,Taking Back Sunday,Tell All Your Friends (Remastered),yes,186.00,89.00,40.00,57.00,95.00,12A,1,0.13,1.500,0.9956,0.1386,1.0357,2.5423,https://open.spotify.com/track/6OyKBwLzq4h15XmxeWf5n4
20,4jZWeEaLCnwYtLnVEN6BYV,Blue Jeans,Lana Del Rey,Born To Die,yes,190.00,84.00,56.00,50.00,118.00,5B,1,1.22,1.500,0.9609,0.1386,1.0459,2.5401,https://open.spotify.com/track/4jZWeEaLCnwYtLnVEN6BYV
21,6TjjZllUyDPIBiFuHZSVtm,Grinding Halt - 2005 Remaster,The Cure,Three Imaginary Boys,yes,211.00,74.00,71.00,66.00,173.00,11A,1,1.29,1.500,0.9589,0.1386,1.0464,2.5396,https://open.spotify.com/track/6TjjZllUyDPIBiFuHZSVtm
22,4atMrAadB7dS8xn9vfk9PQ,Fireside,Arctic Monkeys,AM,yes,223.00,95.00,54.00,74.00,100.00,8A,1,1.29,1.500,0.9586,0.1386,1.0440,2.5337,https://open.spotify.com/track/4atMrAadB7dS8xn9vfk9PQ
23,2SGyf0hCuB81F85cHXuRjl,So Cold,Balu Brigada,Portal,yes,222.00,77.00,66.00,79.00,111.00,3A,1,1.28,1.500,0.9590,0.1386,1.0436,2.5331,https://open.spotify.com/track/2SGyf0hCuB81F85cHXuRjl
24,0TkKxuAP37iUqSzQMi3CsL,Poison,MEG MYERS,Daughter in the Choir,yes,200.00,65.00,71.00,64.00,123.00,8B,1,1.29,1.500,0.9588,0.1386,1.0404,2.5251,https://open.spotify.com/track/0TkKxuAP37iUqSzQMi3CsL
25,2IGEPotTBIcmxM5SOFot6V,Lonely As You,Matt Maeson,Never Had to Leave,yes,200.00,69.00,55.00,76.00,172.00,7B,1,1.25,1.500,0.9601,0.1386,1.0357,2.5148,https://open.spotify.com/track/2IGEPotTBIcmxM5SOFot6V
26,0X5C4WjQNubRysTkHOubz3,Lovesong - 2010 Remaster,The Cure,Disintegration (Deluxe Edition),yes,224.00,81.00,61.00,82.00,140.00,8A,1,1.28,1.500,0.9591,0.1386,1.0349,2.5121,https://open.spotify.com/track/0X5C4WjQNubRysTkHOubz3
27,7D2DbbjKxGEAYwcEoG4wrI,Duet In B Minor,Pacific Air,Stop Talking (Spotify Exclusive),yes,202.00,79.00,54.00,69.00,150.00,10A,1,1.29,1.500,0.9587,0.1386,1.0306,2.5012,https://open.spotify.com/track/7D2DbbjKxGEAYwcEoG4wrI
28,7jjX6UPbGwK9AMGjkeSwPj,Are You Ten Years Ago,Tegan and Sara,The Con,yes,185.00,66.00,65.00,54.00,138.00,8A,1,1.24,1.500,0.9604,0.1386,1.0298,2.5007,https://open.spotify.com/track/7jjX6UPbGwK9AMGjkeSwPj
29,5iItYl3Q6wCnKVfpK1uNVf,The Suburbs,Arcade Fire,The Suburbs (Deluxe),yes,185.00,69.00,62.00,54.00,118.00,11A,1,1.28,1.500,0.9590,0.1386,1.0228,2.4825,https://open.spotify.com/track/5iItYl3Q6wCnKVfpK1uNVf
30,3SiFPLJReFiH2uq6Lht7Xc,The Comeback,Shout Out Louds,Howl Howl Gaff Gaff,yes,190.00,84.00,61.00,45.00,129.00,8B,1,0.07,1.500,0.9977,0.1386,1.0098,2.4802,https://open.spotify.com/track/3SiFPLJReFiH2uq6Lht7Xc
31,0aYQsp1vZZcX0JBEJvKF7N,Words As Weapons,Seether,Isolate And Medicate (Deluxe Edition),yes,210.00,90.00,59.00,61.00,110.00,4A,1,1.28,1.500,0.9591,0.1386,1.0191,2.4736,https://open.spotify.com/track/0aYQsp1vZZcX0JBEJvKF7N
32,2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,Linkin Park,The Emptiness Machine,yes,215.00,87.00,47.00,81.00,184.00,9B,1,1.24,1.500,0.9602,0.1386,1.0115,2.4561,https://open.spotify.com/track/2PnlsTsOTLE5jnBnNe2K0A
33,5fbQCQt91LsVgXusFS0CCD,Disorder - 2007 Remaster,Joy Division,Unknown Pleasures (Collector's Edition),yes,186.00,80.00,32.00,74.00,85.00,3A,1,1.29,1.500,0.9589,0.1386,1.0104,2.4524,https://open.spotify.com/track/5fbQCQt91LsVgXusFS0CCD
34,771xIRZvmPNPNw8CP82WJV,Jealousy,Phantogram,Memory Of A Day,yes,203.00,93.00,41.00,69.00,161.00,11A,1,0.05,1.500,0.9983,0.1386,0.9962,2.4472,https://open.spotify.com/track/771xIRZvmPNPNw8CP82WJV
35,6Wn3pdFtAcnYJyJVITwt7N,Girls Got Rhythm,AC/DC,Highway to Hell,yes,203.00,98.00,51.00,54.00,138.00,9A,1,1.29,1.500,0.9589,0.1386,1.0051,2.4395,https://open.spotify.com/track/6Wn3pdFtAcnYJyJVITwt7N
36,53BirqAVvxjDPQCH316BNM,Don't Dance,3OH!3,3OH!3,yes,203.00,76.00,57.00,70.00,80.00,7A,1,1.29,1.500,0.9588,0.1386,1.0017,2.4312,https://open.spotify.com/track/53BirqAVvxjDPQCH316BNM
37,2E2r97GUoaRP3jCVX3nLa5,Passion,AWOLNATION,Passion,yes,228.00,86.00,65.00,77.00,138.00,3A,1,1.27,1.500,0.9595,0.1386,1.0014,2.4310,https://open.spotify.com/track/2E2r97GUoaRP3jCVX3nLa5
38,39bEAYKI9sRQ1OvPYPmFvq,"Lessons In Love (All Day, All Night)","Neon Trees,Kaskade",Picture Show,yes,199.00,84.00,61.00,54.00,128.00,9B,1,1.22,1.500,0.9608,0.1386,0.9959,2.4186,https://open.spotify.com/track/39bEAYKI9sRQ1OvPYPmFvq
39,4E3DhWlhgxDUCUIGeLIRV6,Floor It,Bear Hands,The Key to What,yes,227.00,72.00,76.00,79.00,132.00,4B,1,1.26,1.500,0.9596,0.1386,0.9947,2.4147,https://open.spotify.com/track/4E3DhWlhgxDUCUIGeLIRV6
40,31hUonEmUsEVd0FMRv1s5r,Not Your Fault,AWOLNATION,Megalithic Symphony,yes,197.00,74.00,59.00,64.00,144.00,7B,1,0.18,1.500,0.9942,0.1386,0.9830,2.4119,https://open.spotify.com/track/31hUonEmUsEVd0FMRv1s5r
41,0A0RBBTrgfq9eClnw6ZXT7,Future Starts Slow,The Kills,Blood Pressures,yes,189.00,74.00,68.00,47.00,128.00,2B,1,0.18,1.500,0.9942,0.1386,0.9824,2.4105,https://open.spotify.com/track/0A0RBBTrgfq9eClnw6ZXT7
42,7p64m8lgMpuTl00Gd6T9gx,bones,Rainbow Kitten Surprise,bones,yes,185.00,82.00,47.00,56.00,208.00,1B,1,1.26,1.500,0.9598,0.1386,0.9925,2.4096,https://open.spotify.com/track/7p64m8lgMpuTl00Gd6T9gx
43,76GlO5H5RT6g7y0gev86Nk,Just like Heaven,The Cure,"Kiss Me, Kiss Me, Kiss Me",yes,216.00,97.00,43.00,76.00,151.00,11B,1,1.28,1.500,0.9591,0.1386,0.9887,2.3999,https://open.spotify.com/track/76GlO5H5RT6g7y0gev86Nk
44,3AiXzUyFAFZVBGVAADPN5a,Make Up Your Mind,Florence + The Machine,"How Big, How Blue, How Beautiful (Deluxe)",yes,192.00,79.00,62.00,51.00,133.00,5A,1,1.24,1.500,0.9604,0.1386,0.9870,2.3967,https://open.spotify.com/track/3AiXzUyFAFZVBGVAADPN5a
45,1LYdu02RKlGxYEYyGbQNhe,Zombie,The Neighbourhood,(((((ultraSOUND))))),yes,208.00,88.00,62.00,58.00,138.00,7B,1,1.26,1.500,0.9596,0.1386,0.9859,2.3934,https://open.spotify.com/track/1LYdu02RKlGxYEYyGbQNhe
46,358bOvBiZCS9fRzNYosw6c,Like a Boy,Ciara,The Evolution,yes,185.00,72.00,70.00,43.00,132.00,5A,1,1.24,1.500,0.9604,0.1386,0.9850,2.3919,https://open.spotify.com/track/358bOvBiZCS9fRzNYosw6c
47,4yZaGXHJ4b6ToBBAIdK25W,HIT ME HARDER,3OH!3,HIT ME HARDER,yes,226.00,87.00,64.00,75.00,123.00,3A,1,1.29,1.500,0.9588,0.1386,0.9813,2.3817,https://open.spotify.com/track/4yZaGXHJ4b6ToBBAIdK25W
48,1AQlvpcPh79BKnoKe1E6Nw,Hot Goblin,Em Beihold,Hot Goblin,yes,193.00,68.00,79.00,46.00,123.00,9A,1,1.28,1.500,0.9590,0.1386,0.9807,2.3803,https://open.spotify.com/track/1AQlvpcPh79BKnoKe1E6Nw
49,6GEIpzW14NtOjqHejbcSRE,Journal of Ardency,Class Actress,Journal of Ardency,yes,215.00,68.00,69.00,78.00,97.00,11A,1,1.28,1.500,0.9590,0.1386,0.9726,2.3606,https://open.spotify.com/track/6GEIpzW14NtOjqHejbcSRE
50,5C5gvDZsl6d8bh89URfKHr,Pork Soda,Glass Animals,How To Be A Human Being,yes,198.00,66.00,70.00,62.00,96.00,9B,1,1.28,1.500,0.9591,0.1386,0.9645,2.3412,https://open.spotify.com/track/5C5gvDZsl6d8bh89URfKHr
51,4B5lSnWRFiJx8XghHeTJhc,ZAMA ZAMA,Die Antwoord,ZAMA ZAMA,yes,213.00,83.00,76.00,54.00,175.00,3B,1,1.29,1.500,0.9588,0.1386,0.9644,2.3405,https://open.spotify.com/track/4B5lSnWRFiJx8XghHeTJhc
52,7LsDPR5Y9YdzQOauL2DP4s,Clothesline,The All-American Rejects,Sandbox,yes,206.00,82.00,56.00,68.00,145.00,8B,1,1.25,1.500,0.9600,0.1386,0.9577,2.3253,https://open.spotify.com/track/7LsDPR5Y9YdzQOauL2DP4s
53,3bd1f4vkL6NMwL4BRV31wA,Ugly Boy,Die Antwoord,Donker Mag,yes,210.00,67.00,83.00,60.00,102.00,3A,1,1.29,1.500,0.9587,0.1386,0.9580,2.3251,https://open.spotify.com/track/3bd1f4vkL6NMwL4BRV31wA
54,4addWz723II2aHsOpvmPH4,FarAway,Pacific Air,Stop Talking,yes,207.00,80.00,58.00,69.00,130.00,4B,1,1.29,1.500,0.9587,0.1386,0.9577,2.3243,https://open.spotify.com/track/4addWz723II2aHsOpvmPH4
55,6X3dsWYaXWhU5zdGj0p21G,Intrusive Thoughts,Bear Hands,The Key to What,yes,221.00,74.00,75.00,72.00,130.00,7B,1,1.26,1.500,0.9596,0.1386,0.9572,2.3237,https://open.spotify.com/track/6X3dsWYaXWhU5zdGj0p21G
56,6wNUBZNWFxdUGof6vkaykE,One For The Road,Arctic Monkeys,AM,yes,193.00,67.00,42.00,84.00,180.00,8B,1,1.28,1.500,0.9589,0.1386,0.9511,2.3085,https://open.spotify.com/track/6wNUBZNWFxdUGof6vkaykE
57,3dcn1aghjxES2RbuIxF4ea,CHOKECHAIN,3OH!3,WANT (Deluxe),maybe,203.00,83.00,65.00,55.00,146.00,3B,1,0.06,0.600,0.9979,0.1386,1.0440,1.0257,https://open.spotify.com/track/3dcn1aghjxES2RbuIxF4ea
58,49gE0a0YPRMXRp43QhnHH8,In the Dark,Cathedrals,Cathedrals - EP,maybe,199.00,85.00,60.00,54.00,133.00,1A,1,0.18,0.600,0.9941,0.1386,1.0396,1.0203,https://open.spotify.com/track/49gE0a0YPRMXRp43QhnHH8
59,5oLP3yTZ7oQlRJ8bSCWvzN,Better,OneRepublic,Oh My My,maybe,192.00,65.00,71.00,56.00,136.00,7B,1,0.07,0.600,0.9976,0.1386,1.0376,1.0194,https://open.spotify.com/track/5oLP3yTZ7oQlRJ8bSCWvzN
60,2NvnY0snMQqVMBWSJ6QjL2,Poisonous Kisses,Avi on Fire,Win,maybe,195.00,79.00,55.00,61.00,138.00,4A,1,0.08,0.600,0.9974,0.1386,1.0375,1.0192,https://open.spotify.com/track/2NvnY0snMQqVMBWSJ6QjL2
