rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
1,15y1BArk8UmePx9hqQDh42,The Sickness In You & I,Muse,The Wow! Signal,on_repeat,153.00,85.00,37.00,31.00,84.00,10B,1,0.05,3.000,0.9983,0.1386,1.0449,5.1341,https://open.spotify.com/track/15y1BArk8UmePx9hqQDh42
2,1HtrQWNpyEbGMEiwCjmPdi,Curbstomp,MEG MYERS,Daughter in the Choir,on_repeat,153.00,67.00,68.00,18.00,123.00,6A,1,0.17,3.000,0.9943,0.1386,1.0439,5.1226,https://open.spotify.com/track/1HtrQWNpyEbGMEiwCjmPdi
3,6Lto2Xj8y0U2bes2hmRMZu,Wonderful Nothing,Glass Animals,I Love You So F***ing Much,on_repeat,162.00,49.00,65.00,48.00,89.00,11A,1,1.28,3.000,0.9591,0.1386,1.0473,5.0844,https://open.spotify.com/track/6Lto2Xj8y0U2bes2hmRMZu
4,1owBzz8aYKe0bDJlAJt2Yn,Breakin' up,The Palms,Sway,on_repeat,163.00,61.00,66.00,36.00,130.00,7A,1,1.29,3.000,0.9587,0.1386,1.0399,5.0475,https://open.spotify.com/track/1owBzz8aYKe0bDJlAJt2Yn
5,0wO2H4SPvuaukEmxuAxFnF,I'll Let You Live,Taking Back Sunday,Louder Now,on_repeat,164.00,66.00,50.00,48.00,106.00,3B,1,0.06,3.000,0.9979,0.1386,1.0004,4.9147,https://open.spotify.com/track/0wO2H4SPvuaukEmxuAxFnF
6,35Bv4QuokBrmWya208VcK2,SCARING ME,cleopatrick,DOOM,on_repeat,139.00,66.00,59.00,14.00,135.00,12A,1,1.28,3.000,0.9590,0.1386,1.0117,4.9112,https://open.spotify.com/track/35Bv4QuokBrmWya208VcK2
7,4vGKLADQksmUcPAVHu7oab,Yours Forever (feat. Matt Maeson),"Bishop Briggs,Matt Maeson",Yours Forever (feat. Matt Maeson),on_repeat,131.00,57.00,49.00,25.00,143.00,6A,1,0.05,3.000,0.9983,0.1386,0.9954,4.8905,https://open.spotify.com/track/4vGKLADQksmUcPAVHu7oab
8,2ssHVnC8IEkQouNXfPDfAe,Hexagons,Muse,The Wow! Signal,on_repeat,123.00,80.00,18.00,25.00,141.00,9A,1,0.05,3.000,0.9983,0.1386,0.9935,4.8813,https://open.spotify.com/track/2ssHVnC8IEkQouNXfPDfAe
9,3ApAsbQP7d5GlFwwdExaTY,Poplar St,Glass Animals,How To Be A Human Being,on_repeat,128.00,45.00,57.00,26.00,69.00,9A,1,1.28,3.000,0.9591,0.1386,0.9966,4.8378,https://open.spotify.com/track/3ApAsbQP7d5GlFwwdExaTY
10,0Y0opRUBGuBOh7sogywclY,Dust,Augustana,"Can't Love, Can't Hurt",on_repeat,151.00,63.00,38.00,50.00,146.00,10A,1,0.19,3.000,0.9939,0.1386,0.9840,4.8280,https://open.spotify.com/track/0Y0opRUBGuBOh7sogywclY
11,5E0pS3sXgWdQZMKChqYXHE,Basic Instinct,The Acid,Liminal,on_repeat,154.00,47.00,74.00,33.00,118.00,9B,1,1.28,3.000,0.9591,0.1386,0.9817,4.7656,https://open.spotify.com/track/5E0pS3sXgWdQZMKChqYXHE
12,0ue1SRXyvMme9iCSSWcuWb,Numbers,Daughter,Not to Disappear,on_repeat,134.00,71.00,42.00,21.00,131.00,11A,1,1.28,3.000,0.9591,0.1386,0.9764,4.7397,https://open.spotify.com/track/0ue1SRXyvMme9iCSSWcuWb
13,6tW4k4hJRYTMIYeAWYLGeE,It Takes More,Taking Back Sunday,Happiness Is,on_repeat,122.00,75.00,34.00,13.00,153.00,2B,1,1.25,3.000,0.9600,0.1386,0.9707,4.7134,https://open.spotify.com/track/6tW4k4hJRYTMIYeAWYLGeE
14,1JIffDQIhTeOeqYW66uu9e,The Dark Forest,Muse,The Wow! Signal,on_repeat,147.00,88.00,40.00,19.00,127.00,8B,1,0.05,3.000,0.9983,0.1386,0.9593,4.7133,https://open.spotify.com/track/1JIffDQIhTeOeqYW66uu9e
15,6aCBjSb87RizdH8lVBIRW7,Good Things Go,Linkin Park,From Zero,on_repeat,161.00,76.00,54.00,31.00,127.00,7A,1,1.24,3.000,0.9602,0.1386,0.9685,4.7030,https://open.spotify.com/track/6aCBjSb87RizdH8lVBIRW7
16,2X8DqCikgiVk3214hbHEpz,Doing The Right Thing,Daughter,Not To Disappear,on_repeat,118.00,65.00,41.00,12.00,136.00,5A,1,1.28,3.000,0.9590,0.1386,0.9672,4.6952,https://open.spotify.com/track/2X8DqCikgiVk3214hbHEpz
17,0EfsDEYaSjGYd66Pr881nq,Cry Baby,The Neighbourhood,Wiped Out!,yes,158.00,66.00,58.00,34.00,108.00,9A,1,0.08,1.500,0.9973,0.1386,1.0460,2.5690,https://open.spotify.com/track/0EfsDEYaSjGYd66Pr881nq
