rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
1,5OLvTcn4P3pZQ4erbwg6ro,Unravelling,Muse,The Wow! Signal,on_repeat,183.00,83.00,54.00,46.00,88.00,9B,1,0.05,3.000,0.9983,0.1386,1.0453,5.1360,https://open.spotify.com/track/5OLvTcn4P3pZQ4erbwg6ro
2,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,Dreamland,on_repeat,182.00,53.00,76.00,53.00,81.00,1B,1,1.28,3.000,0.9591,0.1386,1.0482,5.0883,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
3,3TP8KZt9tJGyeBRVyDysp9,Better If Worse,"HAFFWAY,Matt Maeson",Better If Worse (with Matt Maeson),on_repeat,183.00,81.00,54.00,48.00,124.00,11A,1,1.30,3.000,0.9585,0.1386,1.0477,5.0853,https://open.spotify.com/track/3TP8KZt9tJGyeBRVyDysp9
4,2cRPkU3kkSK93bd65uLqzk,Smoking Gun,"Inpatient,Ren,Chris Webby",Smoking Gun,on_repeat,183.00,36.00,79.00,68.00,93.00,2B,1,0.05,3.000,0.9983,0.1386,1.0291,5.0566,https://open.spotify.com/track/2cRPkU3kkSK93bd65uLqzk
5,2Ggr9IfS70wYQacW8nZKPG,labour,Paris Paloma,labour,on_repeat,166.00,57.00,65.00,44.00,84.00,10A,1,1.30,3.000,0.9585,0.1386,1.0365,5.0309,https://open.spotify.com/track/2Ggr9IfS70wYQacW8nZKPG
6,2gGCt2yXxDxDITx19sxwJJ,"We Bad, We Know","ZOI,Byfox","We Bad, We Know",on_repeat,174.00,59.00,74.00,41.00,112.00,9B,1,0.05,3.000,0.9983,0.1386,1.0087,4.9563,https://open.spotify.com/track/2gGCt2yXxDxDITx19sxwJJ
7,0FD5inFAFMXLM4o7JjNs1v,SCISSORS,Transviolet,SCISSORS,on_repeat,183.00,89.00,45.00,49.00,170.00,9B,1,0.05,3.000,0.9983,0.1386,1.0076,4.9508,https://open.spotify.com/track/0FD5inFAFMXLM4o7JjNs1v
8,3jfHclM5oNBSUvuBS7OgPj,Absolution,Switchfoot,Absolution,on_repeat,168.00,87.00,54.00,27.00,91.00,11B,1,1.30,3.000,0.9585,0.1386,1.0188,4.9447,https://open.spotify.com/track/3jfHclM5oNBSUvuBS7OgPj
9,5916POJDlPQRBbe1SJc7uK,Good Girl,Paris Paloma,Good Girl,on_repeat,166.00,77.00,62.00,27.00,129.00,9B,1,1.30,3.000,0.9586,0.1386,1.0065,4.8853,https://open.spotify.com/track/5916POJDlPQRBbe1SJc7uK
10,7fa34IepKo01jV34GTMxQC,Third Side of the Moon,Modest Mouse,An Eraser And A Maze,on_repeat,180.00,71.00,48.00,61.00,171.00,12B,1,1.30,3.000,0.9586,0.1386,1.0006,4.8567,https://open.spotify.com/track/7fa34IepKo01jV34GTMxQC
