rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,5qeLeyIWCPe1FpdJLQTUDW,The Wild Boys,Duran Duran,Decade,currently_listening,116.00,217.00,84.00,74.00,59.00,10A,1,2026-07-12T00:42:16.930Z,https://open.spotify.com/track/5qeLeyIWCPe1FpdJLQTUDW
2,0aYQsp1vZZcX0JBEJvKF7N,Words As Weapons,Seether,Isolate And Medicate (Deluxe Edition),currently_listening,110.00,210.00,90.00,59.00,61.00,4A,1,2026-07-12T00:56:14.660Z,https://open.spotify.com/track/0aYQsp1vZZcX0JBEJvKF7N
3,1LPGwuFgIzbJoShfDdw7MY,Youth,Glass Animals,How To Be A Human Being,currently_listening,96.00,216.00,72.00,65.00,79.00,8A,1,2026-07-12T01:21:01.952Z,https://open.spotify.com/track/1LPGwuFgIzbJoShfDdw7MY
4,3qsLiIMrQAq12sY3kWAoWm,Low Life,Crobot,Motherbrain,currently_listening,76.00,222.00,91.00,55.00,76.00,2B,1,2026-07-12T00:58:17.643Z,https://open.spotify.com/track/3qsLiIMrQAq12sY3kWAoWm
5,6aBmVhShJV8rY9YAh4xxo6,Shadow On The Sea,CHAMPS,The Hard Interchange,currently_listening,110.00,245.00,81.00,83.00,81.00,9A,1,2026-07-12T01:06:16.689Z,https://open.spotify.com/track/6aBmVhShJV8rY9YAh4xxo6
6,4yZaGXHJ4b6ToBBAIdK25W,HIT ME HARDER,3OH!3,HIT ME HARDER,currently_listening,123.00,226.00,87.00,64.00,75.00,3A,1,2026-07-12T00:37:43.977Z,https://open.spotify.com/track/4yZaGXHJ4b6ToBBAIdK25W
7,1SF8piqsZWn86DajVKih8F,Kacey Talk,YoungBoy Never Broke Again,Top,currently_listening,127.00,226.00,61.00,88.00,77.00,3A,1,2026-07-12T01:04:05.244Z,https://open.spotify.com/track/1SF8piqsZWn86DajVKih8F
8,4E3DhWlhgxDUCUIGeLIRV6,Floor It,Bear Hands,The Key to What,currently_listening,132.00,227.00,72.00,76.00,79.00,4B,1,2026-07-12T01:06:38.269Z,https://open.spotify.com/track/4E3DhWlhgxDUCUIGeLIRV6
9,4Yf5bqU3NK4kNOypcrLYwU,Faint,Linkin Park,Meteora,currently_listening,135.00,214.00,98.00,55.00,61.00,12B,1,2026-07-12T00:53:51.344Z,https://open.spotify.com/track/4Yf5bqU3NK4kNOypcrLYwU
10,0babKgXwpYCxbmgTc2Ikrh,The Way She Looks,Two Feet,The Way She Looks,currently_listening,135.00,212.00,90.00,54.00,68.00,11A,1,2026-07-12T01:24:16.992Z,https://open.spotify.com/track/0babKgXwpYCxbmgTc2Ikrh
11,0TkKxuAP37iUqSzQMi3CsL,Poison,MEG MYERS,Daughter in the Choir,currently_listening,123.00,200.00,65.00,71.00,64.00,8B,1,2026-07-12T00:49:28.747Z,https://open.spotify.com/track/0TkKxuAP37iUqSzQMi3CsL
