rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,4mHEAiQ3TqXizTGJEMZrEo,Monroe,Angus & Julia Stone,Monroe,save_for_later,160.00,234.00,62.00,79.00,93.00,5A,1,2026-07-13T00:08:54.727Z,https://open.spotify.com/track/4mHEAiQ3TqXizTGJEMZrEo
2,4vGKLADQksmUcPAVHu7oab,Yours Forever (feat. Matt Maeson),"Bishop Briggs,Matt Maeson",Yours Forever (feat. Matt Maeson),save_for_later,143.00,131.00,57.00,49.00,25.00,6A,1,2026-07-13T00:31:01.185Z,https://open.spotify.com/track/4vGKLADQksmUcPAVHu7oab
3,5gmJlzd7GyggoqLedD7vKV,Hollow,"Flume,Emma Louise",Palaces,save_for_later,105.00,161.00,58.00,53.00,50.00,4A,1,2026-07-13T00:33:22.688Z,https://open.spotify.com/track/5gmJlzd7GyggoqLedD7vKV
4,0KseHCMXqZZkoKn4UJfWlO,Smile,Foreign Air,Smile (Remix),save_for_later,100.00,181.00,65.00,59.00,57.00,8B,1,2026-07-13T00:25:49.357Z,https://open.spotify.com/track/0KseHCMXqZZkoKn4UJfWlO
5,25dJMz1RMvCjoodJ2jI6BV,MOONWALKIN',GLU,MY DEMONS EP,save_for_later,144.00,157.00,58.00,56.00,43.00,12A,1,2026-07-13T00:33:32.368Z,https://open.spotify.com/track/25dJMz1RMvCjoodJ2jI6BV
6,2cRPkU3kkSK93bd65uLqzk,Smoking Gun,"Inpatient,Ren,Chris Webby",Smoking Gun,save_for_later,93.00,183.00,36.00,79.00,68.00,2B,1,2026-07-13T00:18:14.442Z,https://open.spotify.com/track/2cRPkU3kkSK93bd65uLqzk
7,6SkGAtFv38tQjouh7UeNpu,Where The Silence Goes,LEAP,One Million Pieces,save_for_later,170.00,178.00,91.00,47.00,40.00,9B,1,2026-07-13T00:24:42.662Z,https://open.spotify.com/track/6SkGAtFv38tQjouh7UeNpu
8,7vZ9v4c0ft0ro30awMw32V,Cryogen,Muse,The Wow! Signal,save_for_later,133.00,185.00,96.00,39.00,50.00,9B,1,2026-07-13T00:07:57.445Z,https://open.spotify.com/track/7vZ9v4c0ft0ro30awMw32V
9,2ssHVnC8IEkQouNXfPDfAe,Hexagons,Muse,The Wow! Signal,save_for_later,141.00,123.00,80.00,18.00,25.00,9A,1,2026-07-13T00:08:10.832Z,https://open.spotify.com/track/2ssHVnC8IEkQouNXfPDfAe
10,1JIffDQIhTeOeqYW66uu9e,The Dark Forest,Muse,The Wow! Signal,save_for_later,127.00,147.00,88.00,40.00,19.00,8B,1,2026-07-13T00:08:17.600Z,https://open.spotify.com/track/1JIffDQIhTeOeqYW66uu9e
11,15y1BArk8UmePx9hqQDh42,The Sickness In You & I,Muse,The Wow! Signal,save_for_later,84.00,153.00,85.00,37.00,31.00,10B,1,2026-07-13T00:08:24.692Z,https://open.spotify.com/track/15y1BArk8UmePx9hqQDh42
12,5OLvTcn4P3pZQ4erbwg6ro,Unravelling,Muse,The Wow! Signal,save_for_later,88.00,183.00,83.00,54.00,46.00,9B,1,2026-07-13T00:08:30.176Z,https://open.spotify.com/track/5OLvTcn4P3pZQ4erbwg6ro
13,5LYJ631w9ps5h9tdvac7yP,Easy Lover,"Philip Bailey,Phil Collins",Chinese Wall (Expanded Edition),save_for_later,129.00,259.00,92.00,74.00,93.00,3B,1,2026-07-15T20:43:14.128Z,https://open.spotify.com/track/5LYJ631w9ps5h9tdvac7yP
14,0FD5inFAFMXLM4o7JjNs1v,SCISSORS,Transviolet,SCISSORS,save_for_later,170.00,183.00,89.00,45.00,49.00,9B,1,2026-07-13T00:18:25.593Z,https://open.spotify.com/track/0FD5inFAFMXLM4o7JjNs1v
