rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,2yd5awkWGIYfUtIeNDWgrs,I'm Not the One,3OH!3,Streets Of Gold,skip_for_now,152.00,164.00,80.00,44.00,40.00,6A,2,2026-07-18T04:54:24.981Z,https://open.spotify.com/track/2yd5awkWGIYfUtIeNDWgrs
2,1LjHre9uHSLMuUrKsl6ppX,Touchin on My,3OH!3,Streets Of Gold,skip_for_now,84.00,195.00,88.00,54.00,53.00,3B,2,2026-07-18T04:54:34.700Z,https://open.spotify.com/track/1LjHre9uHSLMuUrKsl6ppX
3,1GztqCrCuLKpoZyzUXCd5i,Hard To LøVë,Aaron Carter,LØVË,skip_for_now,128.00,192.00,67.00,69.00,56.00,10B,2,2026-07-18T05:17:43.573Z,https://open.spotify.com/track/1GztqCrCuLKpoZyzUXCd5i
4,5UKeFkVeUfvP6S43I8s9mt,Jailbreak,AC/DC,'74 Jailbreak,skip_for_now,132.00,200.00,84.00,57.00,59.00,11B,2,2026-07-12T21:38:19.943Z,https://open.spotify.com/track/5UKeFkVeUfvP6S43I8s9mt
5,58ge6dfP91o9oXMzq3XkIS,505,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),skip_for_now,140.00,160.00,85.00,52.00,23.00,8B,2,2026-07-13T00:40:26.123Z,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
6,1akgiRM3mN2nxu2AX6ACCW,I Love College,Asher Roth,Asleep In The Bread Aisle,skip_for_now,86.00,220.00,83.00,71.00,66.00,4B,2,2026-07-18T04:37:59.913Z,https://open.spotify.com/track/1akgiRM3mN2nxu2AX6ACCW
7,0wDEiGfq4pw7FAkYKpkwMo,Trojans,Atlas Genius,When It Was Now,skip_for_now,140.00,208.00,82.00,72.00,54.00,9B,2,2026-07-18T04:52:19.743Z,https://open.spotify.com/track/0wDEiGfq4pw7FAkYKpkwMo
8,2NvnY0snMQqVMBWSJ6QjL2,Poisonous Kisses,Avi on Fire,Win,skip_for_now,138.00,195.00,79.00,55.00,61.00,4A,2,2026-07-18T04:37:59.883Z,https://open.spotify.com/track/2NvnY0snMQqVMBWSJ6QjL2
9,28GUjBGqZVcAV4PHSYzkj2,So Good,B.o.B,Strange Clouds,skip_for_now,86.00,215.00,90.00,66.00,59.00,9B,2,2026-07-19T22:57:52.959Z,https://open.spotify.com/track/28GUjBGqZVcAV4PHSYzkj2
10,0yQw3d0iQDjMrxaVHFv77J,Strange Clouds (feat. Lil Wayne),"B.o.B,Lil Wayne",Strange Clouds,skip_for_now,74.00,200.00,67.00,53.00,80.00,1A,2,2026-07-19T22:57:52.958Z,https://open.spotify.com/track/0yQw3d0iQDjMrxaVHFv77J
11,3twEx52dboO1CqWu5x1i2h,Fire,Barns Courtney,Fire,skip_for_now,108.00,164.00,64.00,55.00,45.00,3A,2,2026-07-18T04:37:59.916Z,https://open.spotify.com/track/3twEx52dboO1CqWu5x1i2h
12,2a49PgBuO22WcmKaR3qcYJ,Satisfaction,Bay Rays,Satisfaction,skip_for_now,135.00,172.00,86.00,37.00,49.00,9B,2,2026-07-18T04:37:59.928Z,https://open.spotify.com/track/2a49PgBuO22WcmKaR3qcYJ
13,4ZJPwET9Jrgpkqi4Vo3Yg8,Bad Bitch,"Bebe Rexha,Ty Dolla $ign",All Your Fault: Pt. 1,skip_for_now,140.00,165.00,62.00,66.00,37.00,7B,2,2026-07-18T04:51:26.359Z,https://open.spotify.com/track/4ZJPwET9Jrgpkqi4Vo3Yg8
14,6fq5GyXeT7kfzkK97b9rGC,Better to Lie,"benny blanco,Jesse®,Swae Lee",FRIENDS KEEP SECRETS,skip_for_now,155.00,194.00,62.00,77.00,55.00,3A,2,2026-07-18T05:17:43.574Z,https://open.spotify.com/track/6fq5GyXeT7kfzkK97b9rGC
15,5ogtb9bGQoH8CjZNxmbNHR,Huggin & Kissin,Big Black Delta,Big Black Delta (Deluxe),skip_for_now,136.00,158.00,94.00,26.00,38.00,8B,2,2026-07-18T05:17:43.612Z,https://open.spotify.com/track/5ogtb9bGQoH8CjZNxmbNHR
16,5VKQzU9v4siYcZMoAKrWwO,The Fire,Bishop Briggs,Bishop Briggs,skip_for_now,96.00,153.00,50.00,62.00,41.00,3A,2,2026-07-18T04:37:59.906Z,https://open.spotify.com/track/5VKQzU9v4siYcZMoAKrWwO
17,6EE19skJ32p58xihYj2Waa,She's Out Of Her Mind,blink-182,California,skip_for_now,180.00,203.00,97.00,45.00,61.00,8B,2,2026-07-18T04:51:26.355Z,https://open.spotify.com/track/6EE19skJ32p58xihYj2Waa
18,39PrQCuTLOgApfoGPKDdnc,Tearing Me Up - Radio Edit,Bob Moses,Tearing Me Up (Radio Edit),skip_for_now,115.00,133.00,49.00,68.00,16.00,9B,2,2026-07-18T04:37:59.864Z,https://open.spotify.com/track/39PrQCuTLOgApfoGPKDdnc
19,6Bj6CdIxDsBIQjDPsElCTs,Little Numbers - Acoustic Version,BOY,Mutual Friends Acoustic EP,skip_for_now,96.00,195.00,48.00,64.00,83.00,1B,2,2026-07-18T01:03:51.374Z,https://open.spotify.com/track/6Bj6CdIxDsBIQjDPsElCTs
20,7FknJlzX8D9UlVLzrF7gWb,Turbulence,Broken Hands,Turbulence,skip_for_now,143.00,138.00,78.00,43.00,17.00,12A,2,2026-07-18T04:37:59.913Z,https://open.spotify.com/track/7FknJlzX8D9UlVLzrF7gWb
21,4iLqG9SeJSnt0cSPICSjxv,Attention,Charlie Puth,Attention,skip_for_now,100.00,218.00,63.00,77.00,78.00,2A,2,2026-07-18T04:37:59.933Z,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
22,65eRcjlStTnk8opG5eIQ8Z,25 or 6 to 4,Chicago,Chicago IX: Chicago's Greatest Hits,skip_for_now,148.00,225.00,87.00,61.00,77.00,9B,2,2026-07-19T22:57:52.895Z,https://open.spotify.com/track/65eRcjlStTnk8opG5eIQ8Z
23,5fP4gyPutyvVQ6Vx2vjyAZ,Can We Hang On,Cold War Kids,Can We Hang On ?,skip_for_now,75.00,174.00,76.00,53.00,45.00,10B,2,2026-07-18T04:37:59.892Z,https://open.spotify.com/track/5fP4gyPutyvVQ6Vx2vjyAZ
24,5aramQ0GUxy5EMs7XI94GP,Hospital Beds - Live Rising,Cold War Kids,Hospital Beds (Live Rising),skip_for_now,98.00,140.00,48.00,45.00,47.00,12B,2,2026-07-13T00:54:29.486Z,https://open.spotify.com/track/5aramQ0GUxy5EMs7XI94GP
25,5aJiAeG0x2dxYeE7ac2xhl,So Tied Up,"Cold War Kids,Bishop Briggs",So Tied Up,skip_for_now,105.00,233.00,90.00,59.00,84.00,5A,2,2026-07-18T04:37:59.878Z,https://open.spotify.com/track/5aJiAeG0x2dxYeE7ac2xhl
26,3qsLiIMrQAq12sY3kWAoWm,Low Life,Crobot,Motherbrain,skip_for_now,76.00,222.00,91.00,55.00,76.00,2B,2,2026-07-18T04:56:11.489Z,https://open.spotify.com/track/3qsLiIMrQAq12sY3kWAoWm
27,20aDJhWpujO3SaS11eZ3PW,Amsterdam,Daughter,If You Leave,skip_for_now,131.00,133.00,49.00,60.00,24.00,8A,2,2026-07-18T01:43:52.463Z,https://open.spotify.com/track/20aDJhWpujO3SaS11eZ3PW
28,0RHCkpiQtUcC6aEhjhLL1D,Human,Daughter,If You Leave,skip_for_now,160.00,193.00,86.00,51.00,56.00,3B,2,2026-07-18T01:43:52.461Z,https://open.spotify.com/track/0RHCkpiQtUcC6aEhjhLL1D
29,1WHo8i7PAnlk6EElCRUhuQ,Lifeforms,Daughter,If You Leave,skip_for_now,154.00,68.00,24.00,38.00,6.00,10A,2,2026-07-18T01:43:52.460Z,https://open.spotify.com/track/1WHo8i7PAnlk6EElCRUhuQ
