rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,Back In Black,currently_listening,188.00,177.00,70.00,31.00,76.00,11B,1,2026-07-14T03:29:54.933Z,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj
2,69QHm3pustz01CJRwdo20z,Hells Bells,AC/DC,Back In Black,currently_listening,107.00,156.00,87.00,39.00,30.00,9A,2,2026-07-20T02:24:59.890Z,https://open.spotify.com/track/69QHm3pustz01CJRwdo20z
3,2KmSnPWWCIsEomVsKnbE1a,Big Balls,AC/DC,Dirty Deeds Done Dirt Cheap,currently_listening,107.00,167.00,63.00,62.00,42.00,11B,1,2026-07-14T03:31:39.549Z,https://open.spotify.com/track/2KmSnPWWCIsEomVsKnbE1a
4,2d4e45fmUnguxh6yqC7gNT,Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,currently_listening,136.00,209.00,91.00,67.00,51.00,10A,1,2026-07-14T03:30:05.910Z,https://open.spotify.com/track/2d4e45fmUnguxh6yqC7gNT
5,17lu4tymfnhmcIDlzBbtAb,For Those About to Rock (We Salute You),AC/DC,For Those About to Rock (We Salute You),currently_listening,134.00,176.00,92.00,37.00,47.00,12B,1,2026-07-14T03:30:12.257Z,https://open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb
6,7nemcVsXVFZF01iqpIIo2Y,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,High Voltage,currently_listening,136.00,185.00,86.00,46.00,53.00,5B,1,2026-07-14T03:30:40.219Z,https://open.spotify.com/track/7nemcVsXVFZF01iqpIIo2Y
7,7LRMbd3LEoV5wZJvXT1Lwb,T.N.T,AC/DC,High Voltage,currently_listening,126.00,195.00,76.00,75.00,44.00,11B,1,2026-07-14T03:31:17.715Z,https://open.spotify.com/track/7LRMbd3LEoV5wZJvXT1Lwb
8,6Wn3pdFtAcnYJyJVITwt7N,Girls Got Rhythm,AC/DC,Highway to Hell,currently_listening,138.00,203.00,98.00,51.00,54.00,9A,1,2026-07-14T03:31:56.144Z,https://open.spotify.com/track/6Wn3pdFtAcnYJyJVITwt7N
9,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,Highway to Hell,currently_listening,116.00,190.00,91.00,57.00,42.00,11A,2,2026-07-20T02:24:59.913Z,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
10,7zscdQe9CjzXnqT3P1Ey7K,If You Want Blood (You've Got It),AC/DC,Highway to Hell,currently_listening,141.00,196.00,93.00,49.00,54.00,10B,1,2026-07-14T03:30:34.933Z,https://open.spotify.com/track/7zscdQe9CjzXnqT3P1Ey7K
11,57bgtoPSgt236HzfBOd8kj,Thunderstruck,AC/DC,The Razors Edge,currently_listening,134.00,165.00,89.00,50.00,26.00,12B,1,2026-07-14T03:31:22.701Z,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj
12,0Ti2dlF2xLjXblvdU5fCxM,Miss Murder,AFI,DECEMBERUNDERGROUND,currently_listening,144.00,187.00,87.00,31.00,69.00,4B,1,2026-07-20T02:25:00.063Z,https://open.spotify.com/track/0Ti2dlF2xLjXblvdU5fCxM
13,5Z8EDau8uNcP1E8JvmfkZe,School's Out,Alice Cooper,School's Out,currently_listening,134.00,139.00,75.00,29.00,35.00,7B,1,2026-07-20T02:24:59.939Z,https://open.spotify.com/track/5Z8EDau8uNcP1E8JvmfkZe
14,5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know,Arctic Monkeys,AM,currently_listening,85.00,149.00,53.00,55.00,41.00,7B,1,2026-07-20T02:25:00.150Z,https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst
15,0NdTUS4UiNYCNn5FgVqKQY,Snap Out Of It,Arctic Monkeys,AM,currently_listening,130.00,224.00,64.00,73.00,87.00,4A,1,2026-07-20T02:25:00.154Z,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY
16,7ueP5u2qkdZbIPN2YA6LR0,Sail,AWOLNATION,Megalithic Symphony,currently_listening,119.00,154.00,44.00,83.00,27.00,3B,1,2026-07-20T02:25:00.140Z,https://open.spotify.com/track/7ueP5u2qkdZbIPN2YA6LR0
17,3UQA4UTVqcI0VtSQ38nlq1,Let It Ride,Bachman-Turner Overdrive,Bachman-Turner Overdrive II,currently_listening,104.00,228.00,82.00,64.00,82.00,11A,2,2026-07-20T02:24:59.910Z,https://open.spotify.com/track/3UQA4UTVqcI0VtSQ38nlq1
18,5yqS1eBrDMx7bbcGilON0N,Down Here Waiting,Blue October,Down Here Waiting,currently_listening,150.00,227.00,95.00,54.00,78.00,10B,1,2026-07-20T02:25:00.227Z,https://open.spotify.com/track/5yqS1eBrDMx7bbcGilON0N
19,4eeUqdnR6FHq6F9DL4ndbK,Hallelujah - Live,Bon Jovi,2000s Pop Rock For Kids,currently_listening,175.00,64.00,28.00,22.00,14.00,1A,1,2026-07-14T03:58:06.041Z,https://open.spotify.com/track/4eeUqdnR6FHq6F9DL4ndbK
