rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,45s88Xopo6KvHc0PQ05aGg,My Generation - Mono Version,The Who,The Who Sings My Generation (U.S. Version),currently_listening,95.00,181.00,79.00,30.00,72.00,5A,1,2026-07-14T04:02:32.249Z,https://open.spotify.com/track/45s88Xopo6KvHc0PQ05aGg
2,52MSDG99lVCtdqVHmqGgJF,Spaghetti Western,Maudlin Strangers,Spaghetti Western,currently_listening,100.00,188.00,95.00,57.00,36.00,4A,1,2026-08-29T04:59:10.449Z,https://open.spotify.com/track/52MSDG99lVCtdqVHmqGgJF
3,6Xxvdy1m9TX9HTxOzQcfuV,Grigio Girls,Lady Gaga,Joanne (Deluxe),currently_listening,128.00,179.00,51.00,74.00,54.00,3B,1,2026-07-14T03:19:34.091Z,https://open.spotify.com/track/6Xxvdy1m9TX9HTxOzQcfuV
4,2qDqybiDVMxdEN20HcJJEr,Cold Math (settling up),Rhett Blood,Cold Math (settling up),currently_listening,150.00,173.00,65.00,65.00,43.00,4A,1,2026-08-29T04:59:10.436Z,https://open.spotify.com/track/2qDqybiDVMxdEN20HcJJEr
5,23IJ5wLRhEZ9DOuia5mPiZ,Who Are You,The Who,Who Are You,currently_listening,156.00,179.00,65.00,65.00,49.00,11B,2,2026-07-20T02:24:59.922Z,https://open.spotify.com/track/23IJ5wLRhEZ9DOuia5mPiZ
6,0y0W8zIjxv0swTYlg450tP,Sleepless in a Hotel Room,Luke Combs,The Way I Am,currently_listening,160.00,177.00,75.00,46.00,56.00,4B,1,2026-08-29T04:59:10.437Z,https://open.spotify.com/track/0y0W8zIjxv0swTYlg450tP
7,3cAV6C1QhgW6B83LjvE9T4,Tompkins Square Park,Mumford & Sons,Wilder Mind (Deluxe),currently_listening,162.00,165.00,75.00,47.00,43.00,7A,1,2026-07-14T03:52:52.590Z,https://open.spotify.com/track/3cAV6C1QhgW6B83LjvE9T4
8,3etNLnzuLqShLyEbSwIiQF,Thieves & Kings,The Peach Kings,Thieves & Kings,currently_listening,160.00,160.00,73.00,43.00,44.00,11B,1,2026-08-29T04:59:10.438Z,https://open.spotify.com/track/3etNLnzuLqShLyEbSwIiQF
9,7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga,Bruno Mars",MAYHEM,currently_listening,158.00,162.00,60.00,52.00,50.00,11A,1,2026-07-14T03:19:03.941Z,https://open.spotify.com/track/7so0lgd0zP2Sbgs2d7a1SZ
10,1C1PabZfidunDI3xEj0D0H,Get Happy,Matt Maeson,Get Happy,currently_listening,168.00,164.00,87.00,42.00,35.00,11B,1,2026-07-14T03:40:21.696Z,https://open.spotify.com/track/1C1PabZfidunDI3xEj0D0H
11,50GOcJ4oPhKmUxcdiqWBqx,Hell Nah,Rainbow Kitten Surprise,bones,currently_listening,170.00,160.00,72.00,48.00,40.00,3B,1,2026-07-14T03:42:26.450Z,https://open.spotify.com/track/50GOcJ4oPhKmUxcdiqWBqx
12,3iD7f8biGSkrgGB609uzCR,True Colors - 2016 Remaster,Phil Collins,The Singles (Expanded),currently_listening,172.00,165.00,52.00,63.00,50.00,2B,1,2026-07-14T04:06:13.988Z,https://open.spotify.com/track/3iD7f8biGSkrgGB609uzCR
13,2g7gviEeJr6pyxO7G35EWQ,Paradise By the Dashboard Light,Meat Loaf,Bat Out Of Hell,currently_listening,173.00,169.00,87.00,33.00,49.00,10B,2,2026-07-20T02:24:59.949Z,https://open.spotify.com/track/2g7gviEeJr6pyxO7G35EWQ
14,660u9agQuREtEDmETVWSts,Three Imaginary Boys - 2005 Remaster,The Cure,Three Imaginary Boys (Deluxe Edition),currently_listening,170.00,171.00,63.00,60.00,48.00,10A,1,2026-07-14T03:43:43.610Z,https://open.spotify.com/track/660u9agQuREtEDmETVWSts
15,6DmfWj5kOa1fX8AwN9byOn,L.A. Woman,The Doors,L.A. Woman,currently_listening,171.00,178.00,73.00,35.00,70.00,10B,1,2026-07-14T04:04:02.492Z,https://open.spotify.com/track/6DmfWj5kOa1fX8AwN9byOn
16,7fa34IepKo01jV34GTMxQC,Third Side of the Moon,Modest Mouse,An Eraser And A Maze,currently_listening,171.00,180.00,71.00,48.00,61.00,12B,1,2026-07-14T03:41:22.852Z,https://open.spotify.com/track/7fa34IepKo01jV34GTMxQC
17,3iU2qsthCTo5EeTE03l3Si,Doors,Noah Kahan,The Great Divide,currently_listening,164.00,191.00,64.00,60.00,67.00,10A,1,2026-07-14T03:33:17.628Z,https://open.spotify.com/track/3iU2qsthCTo5EeTE03l3Si
18,5NAiPIEzxAexFE3ucV18Q8,Run For Cover,The Killers,Wonderful Wonderful,currently_listening,165.00,192.00,95.00,47.00,50.00,7B,2,2026-08-29T04:59:10.453Z,https://open.spotify.com/track/5NAiPIEzxAexFE3ucV18Q8
19,0yfNXxlyXdmP0ue1iJijx1,Come Undone,Duran Duran,Duran Duran,currently_listening,174.00,204.00,79.00,54.00,71.00,4B,1,2026-07-14T03:00:03.987Z,https://open.spotify.com/track/0yfNXxlyXdmP0ue1iJijx1
20,3geDKfdu4kDaqKdyCEFQuY,From Here On Out,The Killers,Battle Born (Deluxe Edition),currently_listening,165.00,213.00,92.00,50.00,71.00,1B,1,2026-08-29T04:59:10.452Z,https://open.spotify.com/track/3geDKfdu4kDaqKdyCEFQuY
21,0E5VCfEC70ubAAHfjRasAK,Hot Patootie - Bless My Soul,Meat Loaf,The Rocky Horror Picture Show - Original Soundtrack,currently_listening,163.00,209.00,76.00,47.00,86.00,3B,1,2026-07-14T04:09:42.913Z,https://open.spotify.com/track/0E5VCfEC70ubAAHfjRasAK
22,2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,Linkin Park,The Emptiness Machine,currently_listening,184.00,215.00,87.00,47.00,81.00,9B,1,2026-07-20T02:25:00.237Z,https://open.spotify.com/track/2PnlsTsOTLE5jnBnNe2K0A
23,4bZRYFisUYwyOLJDPYnj6u,Rollin' (The Ballad of Big & Rich),Big & Rich,Horse of a Different Color,currently_listening,188.00,211.00,95.00,49.00,67.00,8B,2,2026-08-29T04:59:10.446Z,https://open.spotify.com/track/4bZRYFisUYwyOLJDPYnj6u
24,7KRgvWk0O6gyT00LFHkt1P,She Hates Me,Dierks Bentley,Broken Branches,currently_listening,204.00,208.00,85.00,43.00,80.00,9B,1,2026-08-29T04:59:10.445Z,https://open.spotify.com/track/7KRgvWk0O6gyT00LFHkt1P
25,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,Back In Black,currently_listening,188.00,177.00,70.00,31.00,76.00,11B,1,2026-07-14T03:29:54.933Z,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj
26,3z1PqYwMtct2Dm4R9lhWnT,Gunpowder & Lead,Miranda Lambert,Crazy Ex-Girlfriend,currently_listening,188.00,159.00,91.00,33.00,35.00,8B,1,2026-08-29T04:59:10.439Z,https://open.spotify.com/track/3z1PqYwMtct2Dm4R9lhWnT
27,19QT1L9qUNKHYNbYqawaX8,Beautiful Mess,Diamond Rio,Completely,currently_listening,177.00,162.00,66.00,48.00,48.00,3B,1,2026-08-29T04:59:10.438Z,https://open.spotify.com/track/19QT1L9qUNKHYNbYqawaX8
28,3A5rfmGdSmfcNqIURUJt4z,All I Need Is You,NOMARKMORE,Exhibition Number Zero,currently_listening,176.00,166.00,53.00,47.00,66.00,1A,1,2026-07-14T03:40:49.328Z,https://open.spotify.com/track/3A5rfmGdSmfcNqIURUJt4z
29,5xyACR2lzIyzFepF4qlAas,Not Meant to Be,Theory of a Deadman,Scars & Souvenirs (Special Edition),currently_listening,143.00,146.00,78.00,42.00,26.00,3B,1,2026-07-20T02:25:00.088Z,https://open.spotify.com/track/5xyACR2lzIyzFepF4qlAas
