packet_index,slot,seed_track_id,track_id,tier,name,artists,album,bpm,mood_score,key_step,distance,spotify_url
2,1,1OV5oUwrL4iw0UTfZy3pGe,1OV5oUwrL4iw0UTfZy3pGe,yes,Cringe,Matt Maeson,Who Killed Matt Maeson,126.000,160.000,1,0.000000,https://open.spotify.com/track/1OV5oUwrL4iw0UTfZy3pGe
2,2,1OV5oUwrL4iw0UTfZy3pGe,4W6tDPKAb5RTZaixgrcWWm,yes,Hallucinogenics,Matt Maeson,The Hearse,122.000,153.000,1,0.246008,https://open.spotify.com/track/4W6tDPKAb5RTZaixgrcWWm
2,3,1OV5oUwrL4iw0UTfZy3pGe,5wU6jk9kxYzFGUpeE6T2Q5,yes,Crystals,Of Monsters and Men,Beneath The Skin,132.000,166.000,1,0.287633,https://open.spotify.com/track/5wU6jk9kxYzFGUpeE6T2Q5
2,4,1OV5oUwrL4iw0UTfZy3pGe,2MO6XvzlEBKA0PoRqAt9J9,yes,American Blood,Dead Poet Society,American Blood,118.000,167.000,1,0.369169,https://open.spotify.com/track/2MO6XvzlEBKA0PoRqAt9J9
16,1,2gnZad0pb6QtUqMLTj2AjI,2gnZad0pb6QtUqMLTj2AjI,on_repeat,Please Don't Leave Me,P!nk,Funhouse (Expanded Edition),138.000,219.000,1,0.000000,https://open.spotify.com/track/2gnZad0pb6QtUqMLTj2AjI
16,2,2gnZad0pb6QtUqMLTj2AjI,2skmOCFU64Bg7Ytkgwliwe,yes,All For You,Sister Hazel,...Somewhere More Familiar,137.000,202.000,2,0.607194,https://open.spotify.com/track/2skmOCFU64Bg7Ytkgwliwe
16,3,2gnZad0pb6QtUqMLTj2AjI,6FDtusHKRJdlHLApla3VSa,yes,Capricorn,Elderbrook,Capricorn,121.000,255.000,1,0.987311,https://open.spotify.com/track/6FDtusHKRJdlHLApla3VSa
16,4,2gnZad0pb6QtUqMLTj2AjI,6HojDglE8E3EA7SbTLE8VF,maybe,Love To See You Cry,Enrique Iglesias,Escape,123.000,223.000,3,1.117920,https://open.spotify.com/track/6HojDglE8E3EA7SbTLE8VF
18,1,0A2d4khGCCkWJS0SAZNxoP,0A2d4khGCCkWJS0SAZNxoP,yes,Real,Olly Alexander (Years & Years),Communion (Deluxe),114.000,190.000,1,0.000000,https://open.spotify.com/track/0A2d4khGCCkWJS0SAZNxoP
18,2,0A2d4khGCCkWJS0SAZNxoP,6bpcvTmxA0iVRCBER7xw1a,yes,Driver,Billy Raffoul,Driver,115.000,159.000,1,0.699637,https://open.spotify.com/track/6bpcvTmxA0iVRCBER7xw1a
