rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
1,2d4e45fmUnguxh6yqC7gNT,Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,on_repeat,209.00,91.00,67.00,51.00,136.00,10A,1,3.20,3.000,0.9036,0.1386,1.0421,4.9724,https://open.spotify.com/track/2d4e45fmUnguxh6yqC7gNT
2,5PKnZzkjs2y3WTbIYtv5Fq,Magic Bus - Mono Edit,The Who,The Kids Are Alright,on_repeat,230.00,95.00,63.00,72.00,92.00,9B,1,3.16,3.000,0.9047,0.1386,1.0402,4.9646,https://open.spotify.com/track/5PKnZzkjs2y3WTbIYtv5Fq
3,7LRMbd3LEoV5wZJvXT1Lwb,T.N.T,AC/DC,High Voltage,on_repeat,195.00,76.00,75.00,44.00,126.00,11B,0,0.01,3.000,0.9996,0.0000,1.0091,4.5403,https://open.spotify.com/track/7LRMbd3LEoV5wZJvXT1Lwb
4,0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,Stick Season,on_repeat,196.00,50.00,66.00,80.00,118.00,11B,0,14.04,3.000,0.6812,0.0000,1.0398,4.1818,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv
5,2gnZad0pb6QtUqMLTj2AjI,Please Don't Leave Me,P!nk,Funhouse (Expanded Edition),on_repeat,219.00,85.00,59.00,75.00,138.00,2B,0,14.05,3.000,0.6811,0.0000,1.0262,4.1271,https://open.spotify.com/track/2gnZad0pb6QtUqMLTj2AjI
6,22VHOlVYBqytsrAqV8yXBK,Dial Drunk,"Noah Kahan,Post Malone",Dial Drunk (with Post Malone),on_repeat,197.00,61.00,67.00,69.00,112.00,4B,0,14.04,3.000,0.6812,0.0000,1.0239,4.1180,https://open.spotify.com/track/22VHOlVYBqytsrAqV8yXBK
7,0z1b34WikhOH9ZxU8QDWcv,One Headlight,The Wallflowers,Bringing Down The Horse,on_repeat,199.00,54.00,70.00,75.00,108.00,10B,0,14.00,3.000,0.6819,0.0000,1.0062,4.0479,https://open.spotify.com/track/0z1b34WikhOH9ZxU8QDWcv
8,7hOfyNuj2dLc0HAEYVDIYS,El Perdón - Forgiveness,"Nicky Jam,Enrique Iglesias",Fénix,on_repeat,211.00,72.00,74.00,65.00,90.00,4B,0,14.00,3.000,0.6819,0.0000,0.9654,3.8835,https://open.spotify.com/track/7hOfyNuj2dLc0HAEYVDIYS
9,2SGyf0hCuB81F85cHXuRjl,So Cold,Balu Brigada,Portal,yes,222.00,77.00,66.00,79.00,111.00,3A,1,3.19,1.500,0.9038,0.1386,1.0476,2.4994,https://open.spotify.com/track/2SGyf0hCuB81F85cHXuRjl
10,6voIJ7OWwRabSZDC77D5Hp,Trouble’s Coming,Royal Blood,Typhoons,yes,228.00,69.00,78.00,81.00,112.00,12A,1,3.21,1.500,0.9033,0.1386,1.0221,2.4381,https://open.spotify.com/track/6voIJ7OWwRabSZDC77D5Hp
11,7feSbMqJGg9yL0s6ypxy9S,Girls on Film,Duran Duran,Decade,yes,223.00,86.00,71.00,66.00,132.00,10A,1,3.19,1.500,0.9040,0.1386,0.9892,2.3602,https://open.spotify.com/track/7feSbMqJGg9yL0s6ypxy9S
12,0babKgXwpYCxbmgTc2Ikrh,The Way She Looks,Two Feet,The Way She Looks,yes,212.00,90.00,54.00,68.00,135.00,11A,1,3.21,1.500,0.9033,0.1386,0.9826,2.3440,https://open.spotify.com/track/0babKgXwpYCxbmgTc2Ikrh
