rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
1,5DIBVDJOHh7djepAjKHWCO,Heart Like A Truck,Lainey Wilson,Bell Bottom Country,on_repeat,161.00,63.00,59.00,39.00,140.00,11B,1,2.09,3.000,0.9349,0.1386,1.0234,4.9310,https://open.spotify.com/track/5DIBVDJOHh7djepAjKHWCO
2,69QHm3pustz01CJRwdo20z,Hells Bells,AC/DC,Back In Black,on_repeat,156.00,87.00,39.00,30.00,107.00,9A,1,3.21,3.000,0.9033,0.1386,1.0057,4.7977,https://open.spotify.com/track/69QHm3pustz01CJRwdo20z
3,02eD9ymfJOJOhM97HYp5R9,The House That Built Me,Miranda Lambert,Revolution,on_repeat,104.00,30.00,53.00,21.00,81.00,7B,0,14.00,3.000,0.6819,0.0000,0.9769,3.9297,https://open.spotify.com/track/02eD9ymfJOJOhM97HYp5R9
4,7mjSHL2Eb0kAwiKbvNNyD9,Wild World,Yusuf / Cat Stevens,Tea For The Tillerman (Remastered 2020),on_repeat,159.00,54.00,48.00,57.00,153.00,8B,0,14.00,3.000,0.6818,0.0000,0.9518,3.8287,https://open.spotify.com/track/7mjSHL2Eb0kAwiKbvNNyD9
5,4O2rRsoSPb5aN7N3tG6Y3v,Northern Attitude,Noah Kahan,Stick Season,on_repeat,147.00,63.00,52.00,32.00,121.00,5B,0,14.04,3.000,0.6812,0.0000,0.9509,3.8243,https://open.spotify.com/track/4O2rRsoSPb5aN7N3tG6Y3v
6,1HxvdVlvQH5NUPi1wsq5L1,Legendary,Welshly Arms,Legendary,yes,159.00,63.00,53.00,43.00,142.00,11A,1,2.11,1.500,0.9342,0.1386,1.0346,2.4920,https://open.spotify.com/track/1HxvdVlvQH5NUPi1wsq5L1
7,6UWmNaS12bUJzFBuQB6e7j,Grave Digger,Matt Maeson,Grave Digger,yes,137.00,44.00,56.00,37.00,140.00,11A,1,3.17,1.500,0.9043,0.1386,1.0340,2.4672,https://open.spotify.com/track/6UWmNaS12bUJzFBuQB6e7j
8,7jSyWNuHjjwJXr1SQCCAhB,Hurricane,Thirty Seconds To Mars,This Is War,yes,156.00,75.00,53.00,28.00,125.00,3A,1,3.14,1.500,0.9052,0.1386,1.0306,2.4599,https://open.spotify.com/track/7jSyWNuHjjwJXr1SQCCAhB
9,1OV5oUwrL4iw0UTfZy3pGe,Cringe,Matt Maeson,Who Killed Matt Maeson,yes,160.00,47.00,73.00,40.00,126.00,7B,1,3.16,1.500,0.9047,0.1386,1.0014,2.3900,https://open.spotify.com/track/1OV5oUwrL4iw0UTfZy3pGe
10,4W6tDPKAb5RTZaixgrcWWm,Hallucinogenics,Matt Maeson,The Hearse,yes,153.00,60.00,61.00,32.00,122.00,8B,1,3.16,1.500,0.9047,0.1386,1.0013,2.3897,https://open.spotify.com/track/4W6tDPKAb5RTZaixgrcWWm
11,7yT4NJt5rgmVoMJMGPULcj,Backseat,Balu Brigada,Backseat,yes,138.00,81.00,35.00,22.00,126.00,3B,1,2.09,1.500,0.9349,0.1386,0.9675,2.3309,https://open.spotify.com/track/7yT4NJt5rgmVoMJMGPULcj
12,4wFXTN7ADsBxIyJfzvaHGf,What's Wrong,Foreign Air,Smile,yes,133.00,72.00,31.00,30.00,176.00,6B,1,3.19,1.500,0.9039,0.1386,0.9532,2.2742,https://open.spotify.com/track/4wFXTN7ADsBxIyJfzvaHGf
13,3nEotpBFeXq0OJstuHzwDP,God Needs The Devil,Jonah Kagen,God Needs The Devil,yes,137.00,53.00,55.00,29.00,81.00,8A,0,14.03,1.500,0.6813,0.0000,1.0432,2.0978,https://open.spotify.com/track/3nEotpBFeXq0OJstuHzwDP
14,4Az17HfqonKSWNsaLgTBeK,If I Told You,Darius Rucker,When Was The Last Time,yes,150.00,64.00,54.00,32.00,84.00,11B,0,13.99,1.500,0.6820,0.0000,1.0391,2.0902,https://open.spotify.com/track/4Az17HfqonKSWNsaLgTBeK
