rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
1,3Bclyko7WmwM2oGmKj8sue,I Will Wait,Mumford & Sons,Babel (Deluxe Version),on_repeat,169.00,76.00,48.00,45.00,131.00,3B,1,3.12,3.000,0.9057,0.1386,1.0179,4.8598,https://open.spotify.com/track/3Bclyko7WmwM2oGmKj8sue
2,3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,Darius Rucker,True Believers,on_repeat,178.00,66.00,54.00,58.00,148.00,11B,1,1.98,3.000,0.9380,0.1386,0.9898,4.7739,https://open.spotify.com/track/3xdjjKMcMOFgo1eQrfbogM
3,57bgtoPSgt236HzfBOd8kj,Thunderstruck,AC/DC,The Razors Edge,on_repeat,165.00,89.00,50.00,26.00,134.00,12B,0,0.00,3.000,0.9999,0.0000,1.0179,4.5806,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj
4,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,Back In Black,on_repeat,177.00,70.00,31.00,76.00,188.00,11B,0,0.00,3.000,1.0000,0.0000,1.0067,4.5302,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj
5,17lu4tymfnhmcIDlzBbtAb,For Those About to Rock (We Salute You),AC/DC,For Those About to Rock (We Salute You),on_repeat,176.00,92.00,37.00,47.00,134.00,12B,0,0.00,3.000,1.0000,0.0000,0.9685,4.3582,https://open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb
6,7nemcVsXVFZF01iqpIIo2Y,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,High Voltage,on_repeat,185.00,86.00,46.00,53.00,136.00,5B,0,0.00,3.000,1.0000,0.0000,0.9669,4.3508,https://open.spotify.com/track/7nemcVsXVFZF01iqpIIo2Y
7,0A0RBBTrgfq9eClnw6ZXT7,Future Starts Slow,The Kills,Blood Pressures,yes,189.00,74.00,68.00,47.00,128.00,2B,1,2.08,1.500,0.9352,0.1386,1.0404,2.5067,https://open.spotify.com/track/0A0RBBTrgfq9eClnw6ZXT7
8,3jfHclM5oNBSUvuBS7OgPj,Absolution,Switchfoot,Absolution,yes,168.00,87.00,54.00,27.00,91.00,11B,1,3.20,1.500,0.9036,0.1386,1.0488,2.5021,https://open.spotify.com/track/3jfHclM5oNBSUvuBS7OgPj
9,0Fifn4lBIGM5LG18Whp1Dx,Corners,The Fray,Through the Years: The Best of The Fray,yes,164.00,71.00,59.00,34.00,126.00,8A,1,3.12,1.500,0.9057,0.1386,1.0438,2.4919,https://open.spotify.com/track/0Fifn4lBIGM5LG18Whp1Dx
10,2MO6XvzlEBKA0PoRqAt9J9,American Blood,Dead Poet Society,American Blood,yes,167.00,73.00,55.00,39.00,118.00,6B,1,2.08,1.500,0.9352,0.1386,1.0238,2.4666,https://open.spotify.com/track/2MO6XvzlEBKA0PoRqAt9J9
11,2YB7LLj8xZcd4pDs0UBM6i,Don't Speak,Culture Wars,Don't Speak,yes,177.00,90.00,40.00,47.00,154.00,1A,1,3.18,1.500,0.9040,0.1386,1.0252,2.4461,https://open.spotify.com/track/2YB7LLj8xZcd4pDs0UBM6i
12,5fbQCQt91LsVgXusFS0CCD,Disorder - 2007 Remaster,Joy Division,Unknown Pleasures (Collector's Edition),yes,186.00,80.00,32.00,74.00,85.00,3A,1,3.19,1.500,0.9040,0.1386,1.0230,2.4408,https://open.spotify.com/track/5fbQCQt91LsVgXusFS0CCD
