rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,4MJpRELMm9Sa70kJqwi8by,Living in Paradise,"Bon Jovi,Avril Lavigne",Forever (Legendary Edition),save_for_later,140.00,199.00,82.00,61.00,56.00,1B,1,2026-07-14T03:58:39.550Z,https://open.spotify.com/track/4MJpRELMm9Sa70kJqwi8by
2,7mCHJYr4E23AXPt5ntMCPA,Legendary,"Bon Jovi,James Bay",Forever (Legendary Edition),save_for_later,130.00,219.00,93.00,54.00,72.00,3B,1,2026-07-14T03:58:25.384Z,https://open.spotify.com/track/7mCHJYr4E23AXPt5ntMCPA
3,489qD0Sn4Zs7XBMsExTP5R,Waves,"Bon Jovi,Jason Isbell",Forever (Legendary Edition),save_for_later,160.00,155.00,75.00,46.00,34.00,10A,1,2026-07-14T03:59:26.693Z,https://open.spotify.com/track/489qD0Sn4Zs7XBMsExTP5R
4,08G3FAarAmXbX5szqZ3vwV,Living Proof,"Bon Jovi,Jelly Roll",Living Proof (with Jelly Roll),save_for_later,123.00,226.00,86.00,61.00,79.00,8A,1,2026-07-14T03:58:43.554Z,https://open.spotify.com/track/08G3FAarAmXbX5szqZ3vwV
5,6qZ5GReTiCxI4dzYqGURtf,Seeds,"Bon Jovi,Ryan Tedder",Forever (Legendary Edition),save_for_later,132.00,179.00,90.00,53.00,36.00,5B,1,2026-07-14T03:59:11.207Z,https://open.spotify.com/track/6qZ5GReTiCxI4dzYqGURtf
6,0J2hNHOmXLd7MInTXQksXr,Alleycat,Mumford & Sons,Prizefighter (Extended Edition),save_for_later,120.00,171.00,55.00,73.00,43.00,1B,1,2026-07-14T03:48:43.569Z,https://open.spotify.com/track/0J2hNHOmXLd7MInTXQksXr
7,5qDy4LfAmyGB1Rn8Zykgsh,Begin Again,Mumford & Sons,Prizefighter (Extended Edition),save_for_later,115.00,162.00,70.00,60.00,32.00,10B,1,2026-07-14T03:48:52.478Z,https://open.spotify.com/track/5qDy4LfAmyGB1Rn8Zykgsh
8,29VPLXU0isqFzRJAwdIdBm,Clover,Mumford & Sons,Prizefighter (Extended Edition),save_for_later,182.00,80.00,37.00,26.00,17.00,3B,1,2026-07-14T03:48:56.662Z,https://open.spotify.com/track/29VPLXU0isqFzRJAwdIdBm
9,7A9rw57UOQavL06dcvpJ3G,Conversation With My Son (Gangsters & Angels),Mumford & Sons,Prizefighter (Extended Edition),save_for_later,93.00,110.00,46.00,33.00,31.00,1B,1,2026-07-14T03:49:02.056Z,https://open.spotify.com/track/7A9rw57UOQavL06dcvpJ3G
10,0vE7cenp4SPtOMqxMBjq5y,Here - Mumford & Sons Version,Mumford & Sons,Prizefighter (Extended Edition),save_for_later,156.00,165.00,62.00,56.00,47.00,6B,1,2026-07-14T03:50:38.069Z,https://open.spotify.com/track/0vE7cenp4SPtOMqxMBjq5y
