rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,2AT8iROs4FQueDv2c8q2KE,R U Mine,Arctic Monkeys,AM,skip_for_now,97.00,167.00,76.00,29.00,62.00,11A,1,2026-07-20T02:25:00.152Z,https://open.spotify.com/track/2AT8iROs4FQueDv2c8q2KE
2,4bZRYFisUYwyOLJDPYnj6u,Rollin' (The Ballad of Big & Rich),Big & Rich,Horse of a Different Color,skip_for_now,188.00,211.00,95.00,49.00,67.00,8B,1,2026-07-20T02:25:00.096Z,https://open.spotify.com/track/4bZRYFisUYwyOLJDPYnj6u
3,1gzIbdFnGJ226LTl0Cn2SX,White Wedding - Pt. 1,Billy Idol,Billy Idol,skip_for_now,147.00,221.00,81.00,67.00,73.00,11B,1,2026-07-20T02:24:59.951Z,https://open.spotify.com/track/1gzIbdFnGJ226LTl0Cn2SX
4,64UioB4Nmwgn2f4cbIpAkl,It's Still Rock and Roll to Me,Billy Joel,Glass Houses,skip_for_now,141.00,197.00,68.00,75.00,54.00,8B,1,2026-07-20T02:24:59.975Z,https://open.spotify.com/track/64UioB4Nmwgn2f4cbIpAkl
5,0vLwL4xuJ3s7SeaCdvMqkY,Call Me,Blondie,Best Of Blondie,skip_for_now,142.00,196.00,63.00,55.00,78.00,10B,1,2026-07-20T02:24:59.985Z,https://open.spotify.com/track/0vLwL4xuJ3s7SeaCdvMqkY
6,4v2rkl1mC3zVAz0nXMx9r4,Heart Of Glass,Blondie,Parallel Lines,skip_for_now,115.00,211.00,65.00,77.00,69.00,12B,1,2026-07-20T02:24:59.954Z,https://open.spotify.com/track/4v2rkl1mC3zVAz0nXMx9r4
7,59CLe8stbcx4XYBWdsfbwK,One Way Or Another,Blondie,Parallel Lines,skip_for_now,162.00,222.00,92.00,44.00,86.00,10B,1,2026-07-20T02:24:59.980Z,https://open.spotify.com/track/59CLe8stbcx4XYBWdsfbwK
8,4mbscHErDrJvBYZNRNjeSj,Hate Me,Blue October,Foiled,skip_for_now,93.00,134.00,69.00,46.00,19.00,9A,1,2026-07-20T02:26:21.146Z,https://open.spotify.com/track/4mbscHErDrJvBYZNRNjeSj
9,3GfOAdcoc3X5GPiiXmpBjK,Song 2,Blur,Blur: The Best Of,skip_for_now,130.00,223.00,71.00,66.00,86.00,4B,1,2026-07-20T02:25:00.029Z,https://open.spotify.com/track/3GfOAdcoc3X5GPiiXmpBjK
10,0oerlffJSzhRVvtDfLcp3N,Wanted Dead Or Alive,Bon Jovi,Slippery When Wet,skip_for_now,150.00,131.00,80.00,25.00,26.00,9B,1,2026-07-20T02:24:59.998Z,https://open.spotify.com/track/0oerlffJSzhRVvtDfLcp3N
11,0rmGAIH9LNJewFw7nKzZnc,You Give Love A Bad Name,Bon Jovi,Slippery When Wet,skip_for_now,123.00,231.00,96.00,54.00,81.00,5A,1,2026-07-20T02:24:59.997Z,https://open.spotify.com/track/0rmGAIH9LNJewFw7nKzZnc
12,5vmRQ3zELMLUQPo2FLQ76x,Smalltown Boy,Bronski Beat,The Age of Consent,skip_for_now,135.00,221.00,58.00,69.00,94.00,4A,1,2026-07-20T02:24:59.973Z,https://open.spotify.com/track/5vmRQ3zELMLUQPo2FLQ76x
13,7vOLJwP5O0woITaIQWOoUX,Why,Bronski Beat,The Age of Consent,skip_for_now,138.00,196.00,78.00,57.00,61.00,4A,1,2026-07-20T02:24:59.974Z,https://open.spotify.com/track/7vOLJwP5O0woITaIQWOoUX
14,1B241LRKmK6qDDTZfUajmm,Cocoon,Catfish and the Bottlemen,The Balcony,skip_for_now,133.00,169.00,91.00,45.00,33.00,6A,1,2026-07-20T02:25:00.162Z,https://open.spotify.com/track/1B241LRKmK6qDDTZfUajmm
15,6ThVbNunEIjQxRNn0gk6Yg,Red,Catfish and the Bottlemen,The Ride,skip_for_now,135.00,156.00,85.00,54.00,17.00,6A,1,2026-07-20T02:25:00.159Z,https://open.spotify.com/track/6ThVbNunEIjQxRNn0gk6Yg
16,1JkZg3eMQTmTn93E8Yd3UL,I Want You to Want Me,Cheap Trick,In Color,skip_for_now,93.00,201.00,46.00,81.00,74.00,10B,1,2026-07-20T02:25:00.004Z,https://open.spotify.com/track/1JkZg3eMQTmTn93E8Yd3UL
17,35Bv4QuokBrmWya208VcK2,SCARING ME,cleopatrick,DOOM,skip_for_now,135.00,139.00,66.00,59.00,14.00,12A,1,2026-07-20T02:25:00.222Z,https://open.spotify.com/track/35Bv4QuokBrmWya208VcK2
18,3gxEZXUjrNbl3TlSrTGbR5,Modern Love - 2018 Remaster,David Bowie,Let's Dance (2018 Remaster),skip_for_now,183.00,224.00,94.00,36.00,94.00,8B,1,2026-07-20T02:24:59.964Z,https://open.spotify.com/track/3gxEZXUjrNbl3TlSrTGbR5
19,1aZLIbKEdsyqxyD6iNcrbA,Pour Some Sugar On Me,Def Leppard,Hysteria,skip_for_now,85.00,179.00,95.00,27.00,57.00,12A,1,2026-07-20T02:25:00.001Z,https://open.spotify.com/track/1aZLIbKEdsyqxyD6iNcrbA
20,39lSeqnyjZJejRuaREfyLL,Hungry Like the Wolf - 2009 Remaster,Duran Duran,Rio (Collector's Edition),skip_for_now,128.00,219.00,81.00,69.00,69.00,8B,1,2026-07-20T02:24:59.953Z,https://open.spotify.com/track/39lSeqnyjZJejRuaREfyLL
21,3SPcBPzvbmWLl8NU5efx4W,Telephone Line,Electric Light Orchestra,A New World Record,skip_for_now,71.00,105.00,37.00,47.00,21.00,11B,1,2026-07-20T02:24:59.945Z,https://open.spotify.com/track/3SPcBPzvbmWLl8NU5efx4W
22,5Fpe2DMiC7BujUQeZFY6IV,A Little Less Conversation,Elvis Presley,Almost in Love,skip_for_now,116.00,215.00,76.00,57.00,82.00,11B,1,2026-07-20T02:24:59.930Z,https://open.spotify.com/track/5Fpe2DMiC7BujUQeZFY6IV
23,0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Evanescence,Fallen,skip_for_now,95.00,157.00,94.00,33.00,30.00,9A,1,2026-07-20T02:25:00.038Z,https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp
24,7q6CybWAg3uYLgS5tDWqmd,Imaginary,Evanescence,Fallen,skip_for_now,150.00,143.00,75.00,40.00,28.00,9A,1,2026-07-20T02:25:00.039Z,https://open.spotify.com/track/7q6CybWAg3uYLgS5tDWqmd
25,7Gjj6NxSsVwXfOXUjvjCXv,Sisters of the Moon - 2015 Remaster,Fleetwood Mac,Tusk (Deluxe Edition),skip_for_now,115.00,168.00,53.00,69.00,46.00,8A,1,2026-07-20T02:24:59.944Z,https://open.spotify.com/track/7Gjj6NxSsVwXfOXUjvjCXv
26,1I6l01BaBgBCVkfQCpIlR6,Truckin' - 2013 Remaster,Grateful Dead,American Beauty (2013 Remaster),skip_for_now,127.00,194.00,62.00,64.00,68.00,10A,1,2026-07-20T02:24:59.918Z,https://open.spotify.com/track/1I6l01BaBgBCVkfQCpIlR6
27,7LbfuQVct78YoghmoPtsQ8,Casey Jones - 2013 Remaster,Grateful Dead,Workingman's Dead,skip_for_now,100.00,191.00,41.00,67.00,83.00,8B,1,2026-07-20T02:24:59.916Z,https://open.spotify.com/track/7LbfuQVct78YoghmoPtsQ8
28,5zH710lFSLtkHbMkslLDjR,Crazy On You,Heart,Dreamboat Annie,skip_for_now,130.00,128.00,46.00,44.00,38.00,8A,1,2026-07-20T02:24:59.907Z,https://open.spotify.com/track/5zH710lFSLtkHbMkslLDjR
29,4sUlsy0tPv9n5nqrqeA0lE,Magic Man,Heart,Dreamboat Annie,skip_for_now,104.00,161.00,44.00,44.00,73.00,8B,1,2026-07-20T02:24:59.906Z,https://open.spotify.com/track/4sUlsy0tPv9n5nqrqeA0lE
30,5nN1jGnCadYk1jYm6oV5zN,What About Love,Heart,Heart,skip_for_now,161.00,118.00,63.00,25.00,30.00,7A,1,2026-07-20T02:24:59.956Z,https://open.spotify.com/track/5nN1jGnCadYk1jYm6oV5zN
31,4KfSdst7rW39C0sfhArdrz,Barracuda,Heart,Little Queen,skip_for_now,137.00,191.00,69.00,55.00,67.00,9A,1,2026-07-20T02:24:59.942Z,https://open.spotify.com/track/4KfSdst7rW39C0sfhArdrz
32,3tZwKujD64Ad6vlDVxZOrg,Dark Blue - 2015 Remastered,Jack's Mannequin,Everything In Transit,skip_for_now,163.00,159.00,94.00,32.00,33.00,5B,1,2026-07-20T02:25:00.061Z,https://open.spotify.com/track/3tZwKujD64Ad6vlDVxZOrg
33,6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,Bleed American,skip_for_now,162.00,239.00,85.00,64.00,90.00,10B,1,2026-07-20T02:25:00.028Z,https://open.spotify.com/track/6GG73Jik4jUlQCkKg9JuGO
34,7pu8AhGUxHZSCWTkQ2eb5M,Bad Reputation,Joan Jett & the Blackhearts,Bad Reputation (Expanded Edition),skip_for_now,204.00,217.00,97.00,38.00,82.00,2B,1,2026-07-20T02:24:59.978Z,https://open.spotify.com/track/7pu8AhGUxHZSCWTkQ2eb5M
35,5Eald1GAoLr6NNtOkgOaMO,Cherry Bomb,Joan Jett & the Blackhearts,Glorious Results of a Misspent Youth (Expanded Edition),skip_for_now,129.00,186.00,93.00,53.00,40.00,1B,1,2026-07-20T02:24:59.990Z,https://open.spotify.com/track/5Eald1GAoLr6NNtOkgOaMO
36,5EmjBlrR2TzVzyveICMllj,Dirty Deeds,Joan Jett & the Blackhearts,The Hit List,skip_for_now,137.00,211.00,80.00,65.00,66.00,10B,1,2026-07-20T02:24:59.993Z,https://open.spotify.com/track/5EmjBlrR2TzVzyveICMllj
37,2HXixVqzzm9rEUIMAWzshl,I Hate Myself for Loving You,Joan Jett & the Blackhearts,Up Your Alley,skip_for_now,118.00,210.00,88.00,61.00,61.00,11B,1,2026-07-20T02:24:59.991Z,https://open.spotify.com/track/2HXixVqzzm9rEUIMAWzshl
38,4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),skip_for_now,127.00,206.00,79.00,48.00,79.00,9B,1,2026-07-20T02:24:59.896Z,https://open.spotify.com/track/4DMKwE2E2iYDKY01C335Uw
39,0YoAVHXeEPPzZxK0xPQqYn,Point of Know Return,Kansas,Point Of Know Return (Expanded Edition),skip_for_now,136.00,193.00,59.00,69.00,65.00,7B,1,2026-07-20T02:24:59.895Z,https://open.spotify.com/track/0YoAVHXeEPPzZxK0xPQqYn
40,34x6hEJgGAOQvmlMql5Ige,Danger Zone - From  Top Gun  Original Soundtrack,Kenny Loggins,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",skip_for_now,157.00,209.00,90.00,54.00,65.00,2A,1,2026-07-20T02:24:59.966Z,https://open.spotify.com/track/34x6hEJgGAOQvmlMql5Ige
41,1wEeNtO7z41aUqC80shxqK,You Keep Me Hangin On,Kim Wilde,Another Step,skip_for_now,123.00,208.00,68.00,69.00,71.00,6A,1,2026-07-20T02:25:00.005Z,https://open.spotify.com/track/1wEeNtO7z41aUqC80shxqK
42,3LaHsdzzmvhx6TJedpomVy,Kids In America,Kim Wilde,Kim Wilde,skip_for_now,160.00,155.00,65.00,56.00,34.00,12B,1,2026-07-20T02:25:00.007Z,https://open.spotify.com/track/3LaHsdzzmvhx6TJedpomVy
43,0UFDKFqW2oGspYeYqo9wjA,Bleed It Out,Linkin Park,Minutes to Midnight,skip_for_now,140.00,211.00,97.00,54.00,60.00,1B,1,2026-07-20T02:25:00.079Z,https://open.spotify.com/track/0UFDKFqW2oGspYeYqo9wjA
