track_id,artists,name,bpm,energy,dance,valence
57ydzJ2LQRRN2NTxnVBpDr,Genesis,Afterglow - Live in Paris,,,,
2LT3fzmWhJlLOAAxYGHKt1,Genesis,"Cuckoo Cocoon (Live at the Shrine Auditorium, Los Angeles, CA, 1/24/75) - 2025 Remaster",,,,
1h3kqAwEqF5Tk15dsy5gZ1,Genesis,Dance on a Volcano - Live in Paris,,,,
3EUgeab9fMgKoYbvxK2HUh,Genesis,Firth of Fifth - Live in Paris,,,,
5k9PWIkHRCKtWYeHWIWmSh,Genesis,Squonk - Live in Paris,,,,
7LlV2UxBOaIkkIdEsKfQPN,Genesis,Supper's Ready - Live in Paris,,,,
6TJ8V3WLj10vqycYW2amLb,Genesis,The Carpet Crawlers - Live in Paris,,,,
5k10LV4157WEzdFmB97NQR,Genesis,The Cinema Show - 2007 Stereo Mix,,,,
7qsxfQtjxW71omrFoDQLVM,Genesis,The Lamb Lies Down on Broadway - Live in Paris,,,,
2Ms1KUhLjXQDQplj18G6do,Genesis,Your Own Special Way - 2007 Remaster,,,,
4NK49OnNDP3oJcTGs89XSg,Matt Maeson,Beggar's Song,,,,
3d7kOTeOELWHXwh4sfJ2Tv,Peter Gabriel,That Voice Again - 2012 Remaster,,,,
7Em7L9CjNgqdKDum72KQDt,Peter Gabriel,Wallflower,,,,
2claYrMjdarDxaKBO7ppTG,Peter Gabriel,"We Do What We're Told (Milgram's 37) - 2012 Remaster",,,,
1UpmVez0EGjEVT2fOnJZ4z,Phil Collins,Doesn't Anybody Stay Together Anymore - 2016 Remaster,,,,
3iwy6SFYKp1g6HfVr9oEAI,Phil Collins,Like China - 2016 Remaster,,,,
5zE9OJvFz9VYJJoz8MQkoG,Phil Collins,The Roof Is Leaking - 2015 Remaster,,,,
071E5EnVXEXQTZLywihxXV,Phil Collins,Thru These Walls - 2016 Remaster,,,,
