rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,2KmSnPWWCIsEomVsKnbE1a,Big Balls,AC/DC,Dirty Deeds Done Dirt Cheap,currently_listening,107.00,167.00,63.00,62.00,42.00,11B,3,2026-07-19T06:00:39.319Z,https://open.spotify.com/track/2KmSnPWWCIsEomVsKnbE1a
2,05TOt5Vz4StdjMpEdFPlvB,All I Ask,Adele,25,currently_listening,142.00,122.00,28.00,59.00,35.00,12B,3,2026-07-19T06:00:39.199Z,https://open.spotify.com/track/05TOt5Vz4StdjMpEdFPlvB
3,1ayDPRAjTlTtvh3Oc1Zr3B,Ramblin' Man,Allman Brothers Band,Brothers And Sisters (Deluxe Edition),currently_listening,179.00,205.00,82.00,31.00,92.00,3B,1,2026-08-01T21:11:28.311Z,https://open.spotify.com/track/1ayDPRAjTlTtvh3Oc1Zr3B
4,47BBI51FKFwOMlIiX6m8ya,I Want It That Way,Backstreet Boys,Millennium,currently_listening,99.00,186.00,69.00,69.00,48.00,11A,3,2026-07-19T06:00:38.681Z,https://open.spotify.com/track/47BBI51FKFwOMlIiX6m8ya
5,7qUTZEf6bgiApJEXpMAH5y,Can't Smile Without You,Barry Manilow,Even Now,currently_listening,98.00,142.00,52.00,42.00,48.00,9B,3,2026-07-19T06:00:38.648Z,https://open.spotify.com/track/7qUTZEf6bgiApJEXpMAH5y
6,49MHCPzvMLXhRjDantBMVH,Just the Way You Are,Billy Joel,The Stranger (Legacy Edition),currently_listening,139.00,155.00,45.00,59.00,51.00,9B,3,2026-07-19T06:00:39.791Z,https://open.spotify.com/track/49MHCPzvMLXhRjDantBMVH
7,4vGKLADQksmUcPAVHu7oab,Yours Forever (feat. Matt Maeson),"Bishop Briggs,Matt Maeson",Yours Forever (feat. Matt Maeson),currently_listening,143.00,131.00,57.00,49.00,25.00,6A,2,2026-07-13T02:03:15.790Z,https://open.spotify.com/track/4vGKLADQksmUcPAVHu7oab
8,3mj46XKJ2aEm1z7ZvbwyLi,We've Got Tonight,Bob Seger,Stranger In Town,currently_listening,130.00,130.00,45.00,52.00,33.00,1B,3,2026-07-19T06:00:39.061Z,https://open.spotify.com/track/3mj46XKJ2aEm1z7ZvbwyLi
9,6Ceejf3zBXvAhIY9DbP1Pr,Something To Talk About,Bonnie Raitt,Luck Of The Draw,currently_listening,103.00,239.00,64.00,80.00,95.00,3B,2,2026-07-19T06:00:38.799Z,https://open.spotify.com/track/6Ceejf3zBXvAhIY9DbP1Pr
10,40W8Mm9t3ZO1iNQlls35lL,If,Bread,Manna,currently_listening,98.00,91.00,18.00,39.00,34.00,11B,1,2026-08-01T21:11:28.312Z,https://open.spotify.com/track/40W8Mm9t3ZO1iNQlls35lL
