rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,22dkeAApcTHKbnVaJTehVV,Quiet Hearts,Amy Stroup,The Other Side of Love Sessions,favorites_archive,112.00,161.00,50.00,57.00,54.00,8B,1,2026-07-15T07:46:04.566Z,https://open.spotify.com/track/22dkeAApcTHKbnVaJTehVV
2,1jlG3KJ3gdYmhfuySFfpO1,I'm with You,Avril Lavigne,Let Go,favorites_archive,152.00,108.00,41.00,46.00,21.00,11B,1,2026-07-13T06:35:26.366Z,https://open.spotify.com/track/1jlG3KJ3gdYmhfuySFfpO1
3,36vTL8WP4ZoD1bbUaW0V3E,Bad Company - 2015 Remaster,Bad Company,Bad Company (Deluxe),favorites_archive,114.00,146.00,47.00,55.00,44.00,4B,1,2026-07-15T07:41:35.106Z,https://open.spotify.com/track/36vTL8WP4ZoD1bbUaW0V3E
4,5FMXrphygZ4z3gVDHGWxgl,Copacabana (At the Copa) - Short Version,Barry Manilow,Dance Vault Mixes - Copacabana (At The Copa),favorites_archive,117.00,217.00,90.00,61.00,66.00,6A,1,2026-07-13T06:31:45.429Z,https://open.spotify.com/track/5FMXrphygZ4z3gVDHGWxgl
5,4ErUhFToT1yX52MeHqH8OY,Wind Beneath My Wings,Bette Midler,Experience The Divine (Greatest Hits),favorites_archive,124.00,115.00,46.00,51.00,18.00,6B,1,2026-07-15T06:57:12.668Z,https://open.spotify.com/track/4ErUhFToT1yX52MeHqH8OY
6,2JCTiiJQFWQNC0Zp8rsJRB,(I've Had) The Time Of My Life - theme from the motion picture  Dirty Dancing,"Bill Medley,Jennifer Warnes",The Best Of Bill Medley,favorites_archive,108.00,195.00,78.00,66.00,51.00,11A,1,2026-07-15T07:30:23.763Z,https://open.spotify.com/track/2JCTiiJQFWQNC0Zp8rsJRB
7,6eBK3edMW7bEzecF1eCezc,(Everything I Do) I Do It For You,Bryan Adams,Waking Up The Neighbours,favorites_archive,131.00,115.00,37.00,53.00,25.00,3B,1,2026-07-15T07:47:53.851Z,https://open.spotify.com/track/6eBK3edMW7bEzecF1eCezc
8,49RUdNvwSiUTC8fBh4KKoC,Nobody Does It Better,Carly Simon,The Spy Who Loved Me (Original Motion Picture Soundtrack),favorites_archive,135.00,111.00,40.00,37.00,34.00,6B,1,2026-07-13T06:25:44.066Z,https://open.spotify.com/track/49RUdNvwSiUTC8fBh4KKoC
9,4OJFkrRQqol4FsPesF8eu4,Saturday in the Park - 2002 Remaster,Chicago,Chicago V (Expanded & Remastered),favorites_archive,114.00,204.00,76.00,67.00,61.00,9B,1,2026-07-13T06:36:22.182Z,https://open.spotify.com/track/4OJFkrRQqol4FsPesF8eu4
10,0KMGxYKeUzK9wc5DZCt3HT,If You Leave Me Now,Chicago,Chicago X,favorites_archive,104.00,127.00,56.00,43.00,28.00,1B,1,2026-07-15T07:16:04.640Z,https://open.spotify.com/track/0KMGxYKeUzK9wc5DZCt3HT
11,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,favorites_archive,138.00,153.00,62.00,49.00,42.00,4A,1,2026-07-15T06:59:17.793Z,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b
12,0mUyMawtxj1CJ76kn9gIZK,Bad Day,Daniel Powter,Daniel Powter,favorites_archive,140.00,191.00,79.00,60.00,52.00,5B,1,2026-07-13T06:32:06.377Z,https://open.spotify.com/track/0mUyMawtxj1CJ76kn9gIZK
13,6rG4bDP9eK16QTtVQKw9zZ,Changes - 1999 Remaster,David Bowie,Best of Bowie,favorites_archive,114.00,129.00,36.00,54.00,39.00,8B,1,2026-07-15T07:14:07.631Z,https://open.spotify.com/track/6rG4bDP9eK16QTtVQKw9zZ
14,1g2nJvSNGFj145mRiT6usx,Run Joey Run,David Geddes,Run Joey Run,favorites_archive,147.00,125.00,48.00,41.00,36.00,6B,1,2026-07-13T06:39:25.045Z,https://open.spotify.com/track/1g2nJvSNGFj145mRiT6usx
15,5Pgwi0iizu96RHxJ4xL3SH,Strawberry Wine,Deana Carter,Did I Shave My Legs For This?,favorites_archive,123.00,123.00,45.00,57.00,21.00,3B,1,2026-07-15T07:40:01.955Z,https://open.spotify.com/track/5Pgwi0iizu96RHxJ4xL3SH
16,2QgWuCtBpNIpl5trmKCxRf,American Pie,Don McLean,The Best Of Don McLean,favorites_archive,138.00,154.00,51.00,53.00,50.00,9B,1,2026-07-13T06:25:25.698Z,https://open.spotify.com/track/2QgWuCtBpNIpl5trmKCxRf
17,3yIF4ZfaHPnPxG8tDPoNls,MacArthur Park - Single Version,Donna Summer,On The Radio: Greatest Hits Volumes I & II,favorites_archive,131.00,171.00,67.00,57.00,47.00,9A,1,2026-07-13T06:26:08.881Z,https://open.spotify.com/track/3yIF4ZfaHPnPxG8tDPoNls
18,5L5ErMQqrAoVrGdENv4tkR,Don't Turn Off The Lights,Enrique Iglesias,Escape,favorites_archive,103.00,182.00,85.00,77.00,20.00,9B,1,2026-07-13T06:31:38.431Z,https://open.spotify.com/track/5L5ErMQqrAoVrGdENv4tkR
19,24Gxm7Eh7tO83E26LG0CsY,Hero,Enrique Iglesias,Escape,favorites_archive,152.00,137.00,65.00,57.00,15.00,9B,1,2026-07-13T06:31:32.097Z,https://open.spotify.com/track/24Gxm7Eh7tO83E26LG0CsY
20,4bokvPXjX8yJ7botcbR7SX,D-U-C-K-I-E,Ernie,"Sesame Street: Sesame Road, Vol. 2",favorites_archive,137.00,143.00,33.00,55.00,55.00,10B,1,2026-07-15T07:51:28.415Z,https://open.spotify.com/track/4bokvPXjX8yJ7botcbR7SX
