rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,0NdTUS4UiNYCNn5FgVqKQY,Snap Out Of It,Arctic Monkeys,AM,save_for_later,130.00,224.00,64.00,73.00,87.00,4A,3,2026-07-19T06:00:39.796Z,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY
2,0Y0opRUBGuBOh7sogywclY,Dust,Augustana,"Can't Love, Can't Hurt",save_for_later,146.00,151.00,63.00,38.00,50.00,10A,2,2026-07-16T05:10:41.582Z,https://open.spotify.com/track/0Y0opRUBGuBOh7sogywclY
3,0CnD7Hiw6pae6rLsZw5q5W,Incomplete,Backstreet Boys,Never Gone,save_for_later,134.00,120.00,59.00,44.00,17.00,12B,2,2026-07-16T05:14:55.297Z,https://open.spotify.com/track/0CnD7Hiw6pae6rLsZw5q5W
4,3vx0le45sSoPol4r4sSuk9,Safest Place to Hide,Backstreet Boys,Never Gone,save_for_later,137.00,130.00,54.00,42.00,34.00,12B,2,2026-07-15T07:43:09.227Z,https://open.spotify.com/track/3vx0le45sSoPol4r4sSuk9
5,0AiTIiCQ15NW8QHQwSxKuR,Drowning,Backstreet Boys,The Hits--Chapter One,save_for_later,142.00,183.00,78.00,57.00,48.00,2B,2,2026-07-16T05:09:38.109Z,https://open.spotify.com/track/0AiTIiCQ15NW8QHQwSxKuR
6,4MJpRELMm9Sa70kJqwi8by,Living in Paradise (with Avril Lavigne),"Bon Jovi,Avril Lavigne",Forever (Legendary Edition),save_for_later,140.00,199.00,82.00,61.00,56.00,1B,3,2026-07-19T06:00:39.770Z,https://open.spotify.com/track/4MJpRELMm9Sa70kJqwi8by
7,7mCHJYr4E23AXPt5ntMCPA,Legendary (with James Bay),"Bon Jovi,James Bay",Forever (Legendary Edition),save_for_later,130.00,219.00,93.00,54.00,72.00,3B,3,2026-07-19T06:00:39.766Z,https://open.spotify.com/track/7mCHJYr4E23AXPt5ntMCPA
8,6qZ5GReTiCxI4dzYqGURtf,Seeds (with Ryan Tedder),"Bon Jovi,Ryan Tedder",Forever (Legendary Edition),save_for_later,132.00,179.00,90.00,53.00,36.00,5B,3,2026-07-19T06:00:39.772Z,https://open.spotify.com/track/6qZ5GReTiCxI4dzYqGURtf
9,52VIdyKqp1pJRSyUQaxKUA,Everything I Own,Bread,Baby I'm-a Want You,save_for_later,79.00,116.00,34.00,37.00,45.00,10B,1,2026-08-01T21:11:28.311Z,https://open.spotify.com/track/52VIdyKqp1pJRSyUQaxKUA
10,2QhURnm7mQDxBb5jWkbDug,Don't Panic,Coldplay,Parachutes,save_for_later,122.00,166.00,61.00,60.00,45.00,8B,2,2026-07-15T07:00:49.577Z,https://open.spotify.com/track/2QhURnm7mQDxBb5jWkbDug
11,7ye3N9FfQLnLNH6VxBlZA0,A Murder Of One,Counting Crows,August And Everything After,save_for_later,116.00,154.00,60.00,53.00,41.00,2B,2,2026-07-15T07:00:32.632Z,https://open.spotify.com/track/7ye3N9FfQLnLNH6VxBlZA0
12,3GwIz1pLK6M2M0qp032McP,Anna Begins,Counting Crows,August And Everything After,save_for_later,113.00,144.00,38.00,51.00,55.00,9B,2,2026-07-15T07:33:07.879Z,https://open.spotify.com/track/3GwIz1pLK6M2M0qp032McP
13,4dAN7KcWCWx5jV6dpwtfvN,Just a Song Before I Go,"Crosby, Stills & Nash",CSN,save_for_later,108.00,139.00,23.00,67.00,49.00,10A,1,2026-08-01T21:11:28.314Z,https://open.spotify.com/track/4dAN7KcWCWx5jV6dpwtfvN
14,7txxAtOMwLLnQTpKeBL6bp,Mother,Danzig,Danzig,save_for_later,148.00,147.00,76.00,37.00,34.00,10A,2,2026-07-15T07:57:37.019Z,https://open.spotify.com/track/7txxAtOMwLLnQTpKeBL6bp
15,4QJ9qzD7PHDET2bwlOxXyO,Your Heart Is an Empty Room,Death Cab for Cutie,Plans,save_for_later,112.00,159.00,62.00,57.00,40.00,8B,2,2026-07-15T07:09:20.311Z,https://open.spotify.com/track/4QJ9qzD7PHDET2bwlOxXyO
16,6HuANi4awD1cZX4BgYwiNM,Don't Think of Me,Dido,No Angel,save_for_later,94.00,133.00,61.00,51.00,21.00,1A,2,2026-07-16T05:18:27.869Z,https://open.spotify.com/track/6HuANi4awD1cZX4BgYwiNM
17,5aRWbpGuItECDLfjw0n1Ba,I Don't Think I'm Ever Gonna Figure It Out - Remixed / Remastered,Elliott Smith,Either/Or: Expanded Edition,save_for_later,117.00,158.00,47.00,60.00,51.00,5B,2,2026-07-15T06:57:01.476Z,https://open.spotify.com/track/5aRWbpGuItECDLfjw0n1Ba
18,5XY9FK0mB0BS0u8YB2ehN9,Mona Lisas And Mad Hatters,Elton John,Honky Chateau,save_for_later,129.00,127.00,35.00,51.00,41.00,8B,1,2026-08-01T21:11:28.316Z,https://open.spotify.com/track/5XY9FK0mB0BS0u8YB2ehN9
19,2MtlU2e5PmuKSrX5mhSjOO,She Says,Howie Day,Australia,save_for_later,93.00,117.00,49.00,44.00,24.00,8B,2,2026-07-16T05:21:12.054Z,https://open.spotify.com/track/2MtlU2e5PmuKSrX5mhSjOO
20,6Jv7kjGkhY2fT4yuBF3aTz,"Lover, You Should've Come Over",Jeff Buckley,Grace,save_for_later,119.00,114.00,60.00,39.00,15.00,10B,3,2026-07-19T06:00:39.600Z,https://open.spotify.com/track/6Jv7kjGkhY2fT4yuBF3aTz
21,0iqw0363zakBuKC8nYdAgE,This Way,Jewel,This Way,save_for_later,105.00,164.00,57.00,61.00,46.00,2B,2,2026-07-15T07:04:52.074Z,https://open.spotify.com/track/0iqw0363zakBuKC8nYdAgE
22,6I12mvWNzSvgFneNmj0rWH,Till We Run Out Of Road,Jewel,This Way,save_for_later,146.00,130.00,49.00,47.00,34.00,11B,2,2026-07-15T07:44:11.614Z,https://open.spotify.com/track/6I12mvWNzSvgFneNmj0rWH
23,7hzjac02NodsflrJiSVg2X,Who'll Stop The Rain (John's Version),John Fogerty,Legacy: the Creedence Clearwater Revival years (John's Version),save_for_later,124.00,187.00,76.00,59.00,52.00,9B,2,2026-07-16T04:59:55.488Z,https://open.spotify.com/track/7hzjac02NodsflrJiSVg2X
24,0gUDchNtzVseoWpTHbU3aQ,Play The Game Tonight,Kansas,The Best Of Kansas,save_for_later,118.00,138.00,50.00,66.00,22.00,7A,2,2026-07-15T07:52:00.272Z,https://open.spotify.com/track/0gUDchNtzVseoWpTHbU3aQ
25,4D1n1ttCvJ3uCOrEp5UKl0,Gravity,LFO,Life Is Good,save_for_later,106.00,186.00,74.00,62.00,50.00,9B,2,2026-07-15T07:58:53.834Z,https://open.spotify.com/track/4D1n1ttCvJ3uCOrEp5UKl0
26,64XSAtXpCJUmadm3fkpH4z,Back 2 Good,Matchbox Twenty,Yourself or Someone Like You,save_for_later,89.00,154.00,50.00,56.00,48.00,9B,2,2026-07-15T07:25:33.604Z,https://open.spotify.com/track/64XSAtXpCJUmadm3fkpH4z
27,3T4XoaK3RZ3XTEDgeZRV1T,Kody,Matchbox Twenty,Yourself or Someone Like You,save_for_later,95.00,171.00,64.00,52.00,55.00,4B,2,2026-07-15T07:28:57.514Z,https://open.spotify.com/track/3T4XoaK3RZ3XTEDgeZRV1T
28,34Tm4hB6lC8vIFZwlVO1Su,Shame,Matchbox Twenty,Yourself or Someone Like You,save_for_later,126.00,161.00,68.00,55.00,38.00,1B,2,2026-07-15T07:13:22.001Z,https://open.spotify.com/track/34Tm4hB6lC8vIFZwlVO1Su
29,4vHv0wijsOm4HROUXXdMwZ,Fear,OneRepublic,Waking Up (Deluxe),save_for_later,110.00,156.00,55.00,54.00,47.00,9B,2,2026-07-15T06:50:49.582Z,https://open.spotify.com/track/4vHv0wijsOm4HROUXXdMwZ
