rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
1,0MxKHJEhhFOJsvYak4Q5Bu,Bringin' Da Noise,*NSYNC,No Strings Attached,skip_for_now,112.00,260.00,97.00,76.00,87.00,12B,1,2026-07-19T06:00:38.679Z,https://open.spotify.com/track/0MxKHJEhhFOJsvYak4Q5Bu
2,0B7Hp8MXbiK8HoXqqYqTkW,Space Cowboy (Yippie-Yi-Yay) (feat. Lisa  Left Eye  Lopes),"*NSYNC,Lisa  Left Eye  Lopes",No Strings Attached,skip_for_now,114.00,239.00,98.00,71.00,70.00,3A,1,2026-07-19T06:00:38.678Z,https://open.spotify.com/track/0B7Hp8MXbiK8HoXqqYqTkW
3,5HQEmiV2lKnSO6qa2fsR7x,I'm Not In Love,10cc,The Original Soundtrack,skip_for_now,134.00,108.00,52.00,40.00,16.00,12B,1,2026-07-19T06:00:39.603Z,https://open.spotify.com/track/5HQEmiV2lKnSO6qa2fsR7x
4,4RY96Asd9IefaL3X4LOLZ8,In Da Club,50 Cent,Get Rich Or Die Tryin',skip_for_now,90.00,243.00,72.00,90.00,81.00,11A,1,2026-07-19T06:00:39.214Z,https://open.spotify.com/track/4RY96Asd9IefaL3X4LOLZ8
5,4PZeAR798a3CDoZoncSXZb,One,A Chorus Line Ensemble (2006),A Chorus Line (New Broadway Cast Recording (2006)),skip_for_now,132.00,124.00,35.00,55.00,34.00,6A,1,2026-07-19T06:00:39.416Z,https://open.spotify.com/track/4PZeAR798a3CDoZoncSXZb
6,7CvOnbFdnIoXMQ4eFCo5lB,Around the World (La La La La La),"A Touch Of Class,Pete Konemann",Planet Pop,skip_for_now,132.00,228.00,98.00,62.00,68.00,8A,1,2026-07-19T06:00:38.808Z,https://open.spotify.com/track/7CvOnbFdnIoXMQ4eFCo5lB
7,3RPjcyceIs824Edmp5ZqAE,That's How I Beat Shaq,Aaron Carter,Aaron's Party (Come Get It),skip_for_now,106.00,234.00,80.00,89.00,65.00,11A,1,2026-07-19T06:00:39.674Z,https://open.spotify.com/track/3RPjcyceIs824Edmp5ZqAE
8,0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,ABBA,Arrival,skip_for_now,101.00,216.00,87.00,54.00,75.00,11B,1,2026-07-19T06:00:38.817Z,https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr
9,5OFcGy4Uq3tO7EsQf46e7l,Who’s On First,Abbott & Costello,Who's On First,skip_for_now,113.00,180.00,31.00,71.00,78.00,7B,1,2026-07-19T06:00:39.676Z,https://open.spotify.com/track/5OFcGy4Uq3tO7EsQf46e7l
10,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,Highway to Hell,skip_for_now,116.00,190.00,91.00,57.00,42.00,11A,1,2026-07-19T06:00:39.318Z,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
